FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.269,-0.1239,0.6796,-0.5462,-0.8736,-1.2064,-1.1837,-1.1626,-0.6922,-1.0274,-0.5173,0.0513,-0.7536,-0.5531,-0.2004,-0.2113,-0.17,-0.4379,0.0958,-0.1249,-0.3109,0.1113,0.1948,-0.3324,-0.4139,-0.1348,-0.1354,-0.0314,0.165,-1.1265
0.2113,-0.3965,0.4656,-0.7335,-0.9881,-1.1935,-1.1856,-1.0442,-0.6235,-1.0258,-0.4919,0.0887,-0.7199,-0.5987,-0.2459,-0.3952,-0.326,-0.5435,-0.0469,-0.2461,-0.3729,0.0857,0.164,-0.2885,-0.3012,-0.0125,-0.0205,0.1047,0.0227,-0.8871
0.1521,-0.6313,0.255,-0.8992,-1.0885,-1.1782,-1.1865,-0.9318,-0.5583,-1.0237,-0.4692,0.1175,-0.6976,-0.6437,-0.2847,-0.5533,-0.4623,-0.6378,-0.1813,-0.351,-0.4326,0.0472,0.1222,-0.2625,-0.2066,0.0913,0.0735,0.2211,-0.115,-0.656
0.0929,-0.7963,0.0569,-1.0249,-1.16,-1.1573,-1.1834,-0.8299,-0.4992,-1.0199,-0.4517,0.1297,-0.6931,-0.6839,-0.3095,-0.6611,-0.5592,-0.7072,-0.2937,-0.4223,-0.4832,-0.0078,0.0665,-0.2647,-0.1415,0.1617,0.1312,0.3019,-0.2381,-0.4418
0.0412,-0.8693,-0.1161,-1.0937,-1.1876,-1.1244,-1.1722,-0.7403,-0.4483,-1.0133,-0.4412,0.1191,-0.7076,-0.7131,-0.3139,-0.698,-0.5994,-0.7391,-0.3698,-0.4442,-0.515,-0.0756,-0.0018,-0.2984,-0.1121,0.1887,0.143,0.3368,-0.338,-0.2528
0.0099,-0.8402,-0.249,-1.092,-1.1578,-1.07,-1.1476,-0.6618,-0.4065,-1.0021,-0.4393,0.0825,-0.7364,-0.7228,-0.2928,-0.6507,-0.5708,-0.7237,-0.3959,-0.4046,-0.5161,-0.1449,-0.0761,-0.3593,-0.1185,0.1692,0.1072,0.3218,-0.409,-0.096
0.0136,-0.7131,-0.3275,-1.0115,-1.0606,-0.9838,-1.1035,-0.5911,-0.3738,-0.9843,-0.4462,0.0199,-0.769,-0.7032,-0.2437,-0.5158,-0.469,-0.6558,-0.3614,-0.2975,-0.4746,-0.1984,-0.1456,-0.4352,-0.1547,0.1063,0.0296,0.26,-0.4483,0.0238
0.0638,-0.5041,-0.3415,-0.8519,-0.8917,-0.8565,-1.034,-0.5234,-0.3492,-0.9574,-0.4606,-0.0652,-0.7904,-0.6452,-0.1672,-0.3009,-0.2985,-0.5356,-0.2609,-0.1246,-0.3811,-0.2164,-0.1961,-0.5087,-0.2099,0.0095,-0.0765,0.1611,-0.4564,0.1045
0.1648,-0.2377,-0.287,-0.6204,-0.6532,-0.6827,-0.9339,-0.453,-0.3297,-0.9173,-0.4786,-0.165,-0.7835,-0.541,-0.0661,-0.0236,-0.0729,-0.369,-0.0956,0.1047,-0.2302,-0.1806,-0.2123,-0.5594,-0.2699,-0.1069,-0.1924,0.0399,-0.4361,0.1464
0.3116,0.0587,-0.1666,-0.331,-0.3529,-0.4612,-0.7985,-0.3741,-0.3103,-0.8588,-0.4938,-0.2685,-0.7309,-0.385,0.0557,0.2917,0.1886,-0.1668,0.1267,0.3756,-0.0222,-0.0776,-0.1798,-0.5671,-0.3192,-0.2254,-0.2969,-0.0857,-0.3917,0.1522
0.4918,0.3606,0.011,-0.002,-0.0031,-0.1959,-0.6247,-0.2807,-0.2845,-0.7749,-0.4971,-0.362,-0.6186,-0.1752,0.194,0.6189,0.4641,0.0566,0.3928,0.6702,0.2377,0.0983,-0.0877,-0.5155,-0.3435,-0.3279,-0.369,-0.1974,-0.3287,0.1261
0.6874,0.6492,0.2328,0.3467,0.3806,0.1047,-0.4113,-0.1682,-0.2451,-0.6589,-0.4785,-0.4315,-0.4377,0.0863,0.345,0.934,0.7328,0.2856,0.6856,0.9709,0.5391,0.3434,0.0692,-0.395,-0.3322,-0.398,-0.3919,-0.2789,-0.2539,0.0737
