FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-1.4058,1.4057,0.406,0.873,0.8642,0.5614,0.2129,0.2259,0.0204,0.0497,-0.0172,0.07,0.2595,0.53,0.4755,0.6823,0.8421,-0.3725,0.2286,1.0198,0.7243,0.4046,-0.1328,0.11,-0.0799,0.0862,0.9195,0.1408,0.2528,-0.9553
-0.8636,1.092,0.3758,0.7186,0.7373,0.3397,0.2958,0.1473,-0.0344,0.019,0.047,0.182,0.2875,0.491,0.2447,0.4908,0.5059,-0.2752,0.0152,0.8695,0.6453,0.3508,-0.1325,0.1769,-0.0268,0.1407,0.9113,0.2757,0.4429,-0.7654
-0.3775,0.803,0.3387,0.5774,0.6195,0.1426,0.3784,0.0752,-0.0821,-0.0014,0.1058,0.2889,0.3223,0.4612,0.06,0.3223,0.2074,-0.1853,-0.1667,0.7316,0.578,0.3109,-0.1122,0.2523,0.0345,0.203,0.913,0.4075,0.6069,-0.6083
0.0134,0.5559,0.2851,0.4568,0.5158,-0.0134,0.4556,0.015,-0.1172,-0.0089,0.1522,0.3822,0.3664,0.4437,-0.0558,0.1916,-0.0234,-0.1171,-0.2942,0.6133,0.5281,0.2922,-0.0615,0.3376,0.1072,0.2751,0.9286,0.53,0.7265,-0.5021
0.2822,0.3595,0.2074,0.3605,0.4277,-0.1197,0.5225,-0.0288,-0.1355,-0.0033,0.1824,0.4547,0.4179,0.4378,-0.0949,0.1041,-0.1724,-0.0815,-0.3591,0.5167,0.496,0.295,0.0185,0.4287,0.1893,0.3533,0.9542,0.6361,0.7908,-0.4553
0.4166,0.2142,0.1023,0.2882,0.3544,-0.1757,0.5755,-0.0521,-0.134,0.014,0.1969,0.5016,0.4713,0.4395,-0.0658,0.0554,-0.2422,-0.0832,-0.3684,0.4399,0.4778,0.3129,0.1151,0.5167,0.2736,0.4291,0.9786,0.7196,0.7967,-0.4644
0.4192,0.1149,-0.027,0.2379,0.2942,-0.1868,0.6138,-0.052,-0.1112,0.0418,0.2004,0.5217,0.5196,0.4435,0.0082,0.0349,-0.2477,-0.1193,-0.3392,0.3785,0.467,0.3351,0.2086,0.59,0.3502,0.4914,0.988,0.7758,0.7493,-0.5137
0.3078,0.0549,-0.1697,0.2078,0.2469,-0.1611,0.6397,-0.0278,-0.0663,0.0795,0.2003,0.518,0.557,0.4452,0.0949,0.0307,-0.208,-0.1791,-0.2916,0.329,0.4577,0.3512,0.2791,0.6386,0.4099,0.5306,0.9711,0.803,0.6601,-0.5772
0.1138,0.0282,-0.3092,0.1972,0.2139,-0.1069,0.6583,0.019,-0.0002,0.1278,0.2045,0.4967,0.5815,0.4424,0.1597,0.0337,-0.1398,-0.2461,-0.2413,0.2901,0.4467,0.3541,0.313,0.6568,0.4468,0.5412,0.9234,0.8021,0.5443,-0.6228
-0.1221,0.0295,-0.4265,0.2055,0.1973,-0.0324,0.6745,0.0839,0.0838,0.187,0.2184,0.465,0.5943,0.435,0.1738,0.0399,-0.0541,-0.3013,-0.1956,0.2627,0.4335,0.3423,0.3072,0.6444,0.46,0.5232,0.8488,0.7759,0.4176,-0.6193
-0.3551,0.0527,-0.5063,0.2301,0.1968,0.0531,0.6903,0.159,0.1785,0.2551,0.2424,0.4284,0.599,0.4242,0.1219,0.049,0.0431,-0.3267,-0.1543,0.248,0.4197,0.3191,0.2684,0.6061,0.4529,0.4817,0.7577,0.7278,0.2933,-0.5448
-0.5439,0.0881,-0.5408,0.2645,0.2077,0.1382,0.7035,0.2336,0.2728,0.3267,0.2705,0.3889,0.5988,0.4104,0.0075,0.0617,0.1468,-0.3084,-0.1134,0.245,0.4061,0.2898,0.2098,0.549,0.4309,0.4243,0.663,0.6602,0.18,-0.3943
-0.6582,0.1233,-0.5323,0.2983,0.2207,0.21,0.7079,0.2961,0.3526,0.3937,0.2925,0.3442,0.5949,0.3923,-0.1457,0.0777,0.2488,-0.2381,-0.0699,0.2496,0.3922,0.2594,0.1462,0.4809,0.3999,0.359,0.5762,0.5744,0.0806,-0.1834
-0.6831,0.1446,-0.4915,0.3196,0.2241,0.2558,0.6954,0.3359,0.404,0.4471,0.2965,0.2901,0.5856,0.368,-0.2981,0.0943,0.3364,-0.1152,-0.0252,0.2549,0.3756,0.2312,0.0904,0.4087,0.3649,0.2927,0.5042,0.4724,-0.0068,0.0536
-0.6213,0.1416,-0.4348,0.3183,0.2068,0.2662,0.6594,0.3457,0.4163,0.48,0.2731,0.2231,0.5671,0.3355,-0.4036,0.1069,0.3943,0.053,0.015,0.2529,0.3535,0.2062,0.0509,0.3386,0.3293,0.2307,0.4482,0.3578,-0.0871,0.2709
-0.4907,0.11,-0.3803,0.2889,0.162,0.2368,0.5969,0.323,0.3851,0.4897,0.2188,0.1428,0.5355,0.2942,-0.4224,0.1103,0.4089,0.2499,0.0423,0.2373,0.3233,0.1839,0.0314,0.2753,0.2956,0.1771,0.4047,0.2373,-0.1656,0.4234
-0.3189,0.0527,-0.3439,0.2312,0.089,0.1687,0.5098,0.2699,0.314,0.4783,0.1372,0.0537,0.4879,0.2455,-0.3341,0.1005,0.3723,0.4503,0.0489,0.2042,0.2842,0.1634,0.031,0.2231,0.2661,0.135,0.3673,0.1211,-0.2454,0.4784
