FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.3817,-0.7056,-0.3394,-0.9708,-1.053,-0.7197,-0.8618,-0.5887,-0.449,-0.968,-0.5378,-0.1975,-1.3237,-1.1396,-0.7256,-1.0256,-0.8225,-0.3207,-1.0365,-1.1529,-1.3662,-1.0868,-0.9666,-1.12,-0.6869,-0.495,-1.1485,-0.5026,-0.1862,1.1545
-0.3822,-0.7203,-0.3663,-0.9263,-0.9863,-0.6647,-0.8307,-0.5195,-0.4014,-0.9384,-0.5442,-0.1475,-1.3128,-1.1073,-0.7263,-1.0489,-0.8039,-0.3342,-1.0405,-1.1492,-1.3607,-1.0993,-0.9521,-1.1581,-0.7445,-0.5835,-1.242,-0.569,-0.1342,1.0774
-0.3601,-0.7391,-0.3953,-0.8791,-0.897,-0.5992,-0.7693,-0.4364,-0.3465,-0.8809,-0.5406,-0.1084,-1.2554,-1.0483,-0.7117,-1.0673,-0.7734,-0.3294,-1.0282,-1.1304,-1.3288,-1.0911,-0.9322,-1.1653,-0.7857,-0.6487,-1.3056,-0.6306,-0.0888,0.9997
-0.3217,-0.7632,-0.4261,-0.8383,-0.7988,-0.5339,-0.6878,-0.3495,-0.2915,-0.8011,-0.5274,-0.0841,-1.1594,-0.9691,-0.6851,-1.0818,-0.7321,-0.3068,-1,-1.099,-1.276,-1.061,-0.9066,-1.1402,-0.8059,-0.6804,-1.3353,-0.6787,-0.0538,0.9257
-0.2798,-0.7964,-0.4613,-0.814,-0.7072,-0.4807,-0.5993,-0.2694,-0.2434,-0.7079,-0.5069,-0.0764,-1.0387,-0.8804,-0.657,-1.0979,-0.688,-0.2758,-0.9633,-1.0622,-1.213,-1.0151,-0.8813,-1.088,-0.8048,-0.6729,-1.3318,-0.7058,-0.0298,0.8604
-0.2504,-0.8436,-0.5052,-0.8154,-0.6373,-0.4501,-0.5173,-0.2065,-0.2089,-0.6125,-0.483,-0.0843,-0.911,-0.7955,-0.6425,-1.1249,-0.6547,-0.2526,-0.9317,-1.031,-1.1537,-0.9662,-0.8676,-1.0194,-0.7863,-0.626,-1.2997,-0.7072,-0.0149,0.8098
-0.2482,-0.9098,-0.5614,-0.8489,-0.6007,-0.4491,-0.4534,-0.1688,-0.1931,-0.5265,-0.4606,-0.1043,-0.7945,-0.7276,-0.6572,-1.1728,-0.648,-0.2557,-0.9214,-1.0174,-1.1122,-0.9304,-0.8795,-0.9485,-0.7576,-0.5454,-1.2464,-0.6819,-0.0051,0.7802
-0.2815,-0.9975,-0.6316,-0.9162,-0.6037,-0.4796,-0.4151,-0.1613,-0.1994,-0.4605,-0.4441,-0.1308,-0.704,-0.6872,-0.7122,-1.2492,-0.6814,-0.3008,-0.9469,-1.0312,-1.0993,-0.923,-0.9291,-0.8894,-0.7265,-0.4415,-1.1798,-0.6334,0.0039,0.7771
-0.3504,-1.1049,-0.7134,-1.0141,-0.6459,-0.5379,-0.4054,-0.1851,-0.2284,-0.4222,-0.4363,-0.1572,-0.6487,-0.68,-0.8101,-1.3561,-0.7614,-0.3959,-1.0161,-1.0773,-1.1199,-0.9536,-1.0227,-0.8531,-0.7,-0.3269,-1.107,-0.5679,0.015,0.8041
-0.446,-1.2251,-0.8007,-1.1343,-0.7216,-0.6161,-0.4236,-0.2377,-0.2782,-0.415,-0.4377,-0.1773,-0.6315,-0.7063,-0.9441,-1.4882,-0.8851,-0.5387,-1.1281,-1.1545,-1.1721,-1.024,-1.1585,-0.8451,-0.6819,-0.2138,-1.0331,-0.494,0.0289,0.8615
