FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.143,0.3338,-0.7934,1.1004,1.0721,0.6253,0.629,0.4166,0.2664,0.4068,0.5796,0.5409,1.0451,2.02,-0.0818,0.7161,0.2336,0.6668,0.309,1.9349,2.4696,0.8542,0.8773,0.669,0.2906,0.3606,0.0703,0.3103,1.0722,-1.0591
-0.2049,0.2249,-0.7128,0.8665,0.9191,0.47,0.4477,0.3259,0.2428,0.2226,0.3856,0.5941,0.9634,1.847,-0.1445,0.5979,0.1672,0.4248,0.2579,1.8178,2.3284,0.7388,0.7334,0.6418,0.3739,0.4752,0.2293,0.3057,0.576,-0.8704
-0.2752,0.1044,-0.6536,0.6317,0.7559,0.3062,0.2644,0.2334,0.2132,0.0437,0.1971,0.6279,0.8681,1.6646,-0.2065,0.4688,0.0948,0.1895,0.1998,1.6829,2.1691,0.6153,0.5822,0.6011,0.4532,0.5767,0.3709,0.2926,0.1308,-0.7017
-0.3577,-0.0344,-0.6276,0.3979,0.5779,0.1301,0.0811,0.1387,0.1725,-0.1257,0.019,0.6262,0.7513,1.4684,-0.2688,0.3238,0.0125,-0.0312,0.1299,1.5195,1.9811,0.4807,0.4226,0.5376,0.5225,0.6517,0.4781,0.2647,-0.2258,-0.5633
-0.4521,-0.1904,-0.6373,0.1706,0.3869,-0.056,-0.0984,0.0433,0.1175,-0.2827,-0.1452,0.5793,0.6092,1.2571,-0.3313,0.1646,-0.0804,-0.2293,0.0471,1.3244,1.7607,0.3367,0.2571,0.4464,0.5741,0.6883,0.537,0.2167,-0.4719,-0.4614
-0.5524,-0.354,-0.6752,-0.0406,0.1918,-0.2431,-0.2676,-0.0487,0.0482,-0.425,-0.2932,0.487,0.4437,1.0346,-0.3924,0.0006,-0.1804,-0.396,-0.0448,1.1045,1.5138,0.1909,0.0921,0.3284,0.5998,0.6784,0.5401,0.1465,-0.6036,-0.3982
-0.6481,-0.5075,-0.7261,-0.2229,0.0085,-0.4153,-0.4169,-0.1315,-0.0322,-0.5494,-0.4229,0.3582,0.2639,0.8107,-0.4482,-0.1517,-0.2792,-0.5221,-0.1367,0.8756,1.2552,0.0558,-0.0619,0.1917,0.5929,0.6191,0.4883,0.0557,-0.6321,-0.3723
-0.7253,-0.6291,-0.7709,-0.3617,-0.1432,-0.5534,-0.5342,-0.1987,-0.1175,-0.6514,-0.5319,0.2103,0.085,0.6008,-0.4927,-0.2721,-0.3645,-0.5993,-0.2156,0.6604,1.0076,-0.0526,-0.1913,0.0506,0.5504,0.5147,0.3913,-0.0486,-0.5794,-0.3798
-0.7697,-0.6982,-0.7915,-0.4447,-0.2439,-0.6386,-0.6059,-0.2447,-0.1995,-0.7243,-0.6165,0.0655,-0.073,0.4234,-0.5186,-0.3406,-0.422,-0.6225,-0.2667,0.4834,0.7965,-0.1186,-0.2823,-0.0764,0.4751,0.377,0.2668,-0.1548,-0.4731,-0.4138
-0.7698,-0.7004,-0.7751,-0.4639,-0.2787,-0.6575,-0.6198,-0.2655,-0.2685,-0.76,-0.6719,-0.0531,-0.1892,0.2972,-0.519,-0.3424,-0.4381,-0.5921,-0.2771,0.3658,0.6456,-0.13,-0.3232,-0.1696,0.3765,0.2244,0.1374,-0.2472,-0.3421,-0.4651
