FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.34,-0.0041,0.0707,-0.0419,-0.3209,-0.126,-0.9325,-0.4806,-0.26,-0.5888,-0.4524,-0.7217,-1.8653,-1.7016,-0.1011,-0.1927,-0.068,0.2689,-0.7057,-0.5542,-1.1338,-1.6039,-0.9135,-2.3848,-0.7924,-0.704,-1.6268,-0.8656,-0.184,0.5386
0.2907,-0.0886,0.0894,-0.1558,-0.3635,-0.1441,-0.9396,-0.465,-0.2786,-0.5965,-0.4212,-0.761,-2.0205,-1.8578,-0.2068,-0.251,-0.1979,0.1904,-0.8758,-0.5781,-1.2252,-1.8761,-1.1178,-2.7103,-0.9419,-0.876,-1.8736,-0.9682,-0.1729,0.7492
0.2952,-0.1211,0.1551,-0.212,-0.3578,-0.1098,-0.8633,-0.4094,-0.2787,-0.5594,-0.3683,-0.7622,-2.0475,-1.909,-0.2556,-0.2464,-0.2798,0.1227,-0.968,-0.5409,-1.2381,-2.0488,-1.2839,-2.8954,-1.0727,-1.0127,-2.0207,-1.0288,-0.1773,0.9244
0.3373,-0.1164,0.2462,-0.2146,-0.3061,-0.0304,-0.7132,-0.3201,-0.2611,-0.487,-0.3036,-0.7314,-1.9507,-1.8567,-0.2565,-0.1971,-0.32,0.0627,-0.9871,-0.4604,-1.1823,-2.1144,-1.4009,-2.9285,-1.1736,-1.1028,-2.0595,-1.0473,-0.1995,1.0221
0.3996,-0.0892,0.3417,-0.169,-0.2089,0.0862,-0.5007,-0.2012,-0.2198,-0.3852,-0.2317,-0.6741,-1.7414,-1.7059,-0.2221,-0.125,-0.3289,0.0074,-0.9447,-0.3556,-1.0687,-2.0733,-1.4604,-2.8093,-1.2338,-1.1357,-1.9897,-1.025,-0.2349,1.0078
0.4661,-0.0522,0.4248,-0.0825,-0.0667,0.2315,-0.2384,-0.0552,-0.145,-0.256,-0.1516,-0.5934,-1.4377,-1.4663,-0.1659,-0.0519,-0.3193,-0.0458,-0.8575,-0.2439,-0.9092,-1.9361,-1.4599,-2.5496,-1.245,-1.1044,-1.8192,-0.9637,-0.2736,0.8635
0.5239,-0.0153,0.4832,0.0343,0.1164,0.3954,0.0576,0.1148,-0.0286,-0.101,-0.0589,-0.4916,-1.0647,-1.1548,-0.1018,0.0029,-0.3051,-0.0998,-0.7455,-0.1405,-0.7171,-1.7227,-1.4047,-2.1745,-1.2049,-1.0074,-1.5637,-0.8665,-0.3028,0.5936
0.5642,0.0132,0.5095,0.1657,0.3291,0.5645,0.3662,0.3009,0.1298,0.0748,0.0501,-0.3709,-0.6531,-0.796,-0.0425,0.0252,-0.299,-0.1577,-0.6302,-0.0581,-0.5083,-1.4614,-1.3081,-1.7203,-1.1184,-0.8511,-1.2457,-0.7387,-0.3111,0.2246
0.5831,0.0267,0.5005,0.2917,0.5505,0.7216,0.6613,0.4886,0.3187,0.261,0.1746,-0.2352,-0.2384,-0.4216,0.0019,0.0079,-0.3106,-0.2225,-0.5308,-0.0057,-0.3003,-1.1851,-1.1893,-1.2316,-0.9974,-0.6499,-0.8924,-0.5877,-0.2917,-0.2001
0.5821,0.021,0.4578,0.3911,0.7533,0.8479,0.9142,0.6577,0.5158,0.4412,0.3077,-0.0908,0.1433,-0.0664,0.0257,-0.048,-0.3437,-0.2956,-0.4613,0.0121,-0.1108,-0.9258,-1.0696,-0.7562,-0.8583,-0.4237,-0.5334,-0.4235,-0.2441,-0.6287
0.569,-0.0044,0.3886,0.4459,0.9077,0.9261,1.098,0.7859,0.6921,0.5962,0.4372,0.0533,0.4587,0.2361,0.0289,-0.133,-0.3946,-0.3761,-0.4273,-0.0031,0.0458,-0.71,-0.9678,-0.3389,-0.7188,-0.1952,-0.1977,-0.257,-0.1743,-1.0117
0.5565,-0.045,0.3051,0.4457,0.9882,0.9446,1.1927,0.8543,0.8188,0.7072,0.5473,0.1855,0.6818,0.4588,0.0171,-0.2305,-0.4525,-0.4596,-0.4258,-0.0439,0.1595,-0.5547,-0.8977,-0.0167,-0.5945,0.0142,0.0883,-0.1009,-0.0936,-1.3103
