FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
1.2852,2.4277,1.9503,2.2927,2.5764,2.3514,1.6622,0.9567,0.5206,1.0918,0.1363,0.193,1.8894,2.4715,1.6839,3.1383,1.3094,0.8098,1.5658,2.8763,2.8776,1.8293,1.6966,0.7556,0.2201,0.3983,-0.0584,-0.0741,1.25,1.1034
1.1953,2.1121,1.7095,2.0043,2.2702,2.1251,1.6096,1.0063,0.6012,1.1179,0.2547,0.0734,1.6495,2.2632,1.3882,2.6046,1.1221,0.5999,1.3222,2.5633,2.5725,1.6701,1.4907,1.0124,0.1941,0.2973,-0.1702,-0.259,1.12,0.8724
1.0874,1.7962,1.4609,1.7135,1.9668,1.8945,1.5482,1.0346,0.665,1.1281,0.3562,-0.0445,1.4188,2.055,1.1019,2.0946,0.9438,0.4009,1.0944,2.2519,2.2776,1.5169,1.2962,1.2389,0.178,0.211,-0.2657,-0.4299,0.9813,0.6577
0.9505,1.4829,1.1998,1.4209,1.67,1.6577,1.472,1.0256,0.6985,1.1096,0.4277,-0.1571,1.2063,1.8464,0.8327,1.6319,0.7828,0.2255,0.8965,1.9445,1.9995,1.3751,1.1249,1.4077,0.1779,0.1509,-0.3297,-0.5703,0.8269,0.4728
0.7789,1.1766,0.9254,1.1299,1.3845,1.415,1.3767,0.9704,0.6937,1.054,0.4614,-0.2603,1.0199,1.639,0.5861,1.2342,0.646,0.0832,0.7374,1.6441,1.7432,1.2485,0.9846,1.5029,0.1964,0.1236,-0.3531,-0.6666,0.6528,0.323
0.574,0.883,0.6423,0.8462,1.1157,1.1691,1.2603,0.8684,0.6486,0.9592,0.4555,-0.3499,0.8651,1.4351,0.3647,0.9108,0.5375,-0.0213,0.6194,1.3544,1.5104,1.1381,0.8772,1.5218,0.2313,0.1303,-0.3331,-0.7091,0.4594,0.2048
0.3442,0.6093,0.3601,0.5777,0.8688,0.9243,1.123,0.7275,0.5679,0.8297,0.414,-0.4211,0.7432,1.2373,0.1687,0.6626,0.458,-0.0896,0.5373,1.0791,1.299,1.0417,0.7993,1.4731,0.2767,0.1669,-0.2735,-0.6929,0.2523,0.1088
0.1035,0.3631,0.0931,0.3329,0.6485,0.6861,0.9678,0.5627,0.4618,0.6755,0.3459,-0.468,0.6513,1.0475,-0.0039,0.4835,0.4039,-0.1284,0.4805,0.8215,1.1037,0.9542,0.7428,1.3728,0.3239,0.2247,-0.1827,-0.6184,0.0429,0.0237
-0.1302,0.1518,-0.1427,0.1205,0.4581,0.4606,0.8002,0.3924,0.3437,0.5106,0.2627,-0.4846,0.5817,0.866,-0.1553,0.362,0.3684,-0.1483,0.4347,0.5847,0.9176,0.868,0.6966,1.2398,0.3633,0.2926,-0.0727,-0.4916,-0.1531,-0.0591
-0.3383,-0.0184,-0.3322,-0.052,0.2984,0.2537,0.6276,0.2348,0.2273,0.3502,0.1766,-0.4657,0.5242,0.6925,-0.287,0.2845,0.3423,-0.1604,0.3861,0.3712,0.7344,0.7753,0.6484,1.0916,0.3863,0.3587,0.0436,-0.3233,-0.3178,-0.1423
