FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
3.1669,2.6425,1.9562,3.227,4.559,3.421,4.8722,3.8093,4.6357,3.931,4.6428,1.9741,3.5141,3.673,4.1253,2.6142,3.4752,2.5446,4.0464,3.0223,3.6993,4.3243,2.9985,3.3456,2.0463,1.3682,2.5945,0.8666,-0.751,-6.6737
3.4547,2.9586,2.183,3.5349,4.8351,3.6855,4.8438,3.8252,4.4461,3.7818,4.2798,1.5771,3.4615,3.8073,4.436,2.9671,3.6794,2.7919,4.2683,3.3846,3.9899,4.4485,2.9859,3.1599,1.7109,0.8947,2.2735,0.4263,-0.7878,-6.7163
3.7624,3.2702,2.4311,3.8494,5.1486,4.0084,4.8943,3.8608,4.3036,3.7123,3.996,1.2817,3.4988,4.0003,4.814,3.3221,3.9093,3.0494,4.5136,3.7421,4.2986,4.5856,2.993,3.0443,1.419,0.481,2.0423,0.0811,-0.8398,-6.8736
4.0884,3.5762,2.7011,4.167,5.4909,4.3767,5.0242,3.9133,4.2102,3.7253,3.8002,1.1004,3.6384,4.263,5.2579,3.6799,4.1779,3.312,4.7889,4.0968,4.6307,4.7514,3.0395,3.0243,1.203,0.1599,1.928,-0.1489,-0.9038,-7.1571
4.4283,3.8782,2.9892,4.4852,5.8512,4.7692,5.2255,3.9784,4.1638,3.8173,3.6939,1.0363,3.8843,4.5995,5.7522,4.044,4.4963,3.5712,5.1002,4.4543,4.991,4.96,3.1404,3.1169,1.0885,-0.041,1.9469,-0.2513,-0.9749,-7.5587
4.7769,4.182,3.2876,4.8046,6.2189,5.1619,5.4848,4.0518,4.16,3.9805,3.6719,1.0842,4.2332,5.0077,6.2698,4.4208,4.8716,3.8187,5.4522,4.8239,5.3832,5.2221,3.3044,3.3289,1.091,-0.1029,2.1027,-0.223,-1.0484,-8.0517
5.1281,4.4949,3.5858,5.1271,6.5854,5.532,5.7849,4.1294,4.1936,4.2032,3.7243,1.2308,4.6739,5.4786,6.7772,4.8175,5.3032,4.0483,5.8462,5.215,5.8086,5.5427,3.5333,3.6553,1.2144,-0.0194,2.3863,-0.0703,-1.1194,-8.596
5.4739,4.8216,3.8696,5.4529,6.9423,5.8607,6.106,4.2072,4.2586,4.4707,3.8372,1.4564,5.1867,5.9951,7.2402,5.2375,5.7803,4.2565,6.2765,5.6318,6.2618,5.9178,3.8209,4.0784,1.4498,0.2009,2.7765,0.1899,-1.1841,-9.1458
5.8029,5.1582,4.1218,5.7754,7.2785,6.1321,6.4266,4.281,4.3483,4.7652,3.9944,1.7362,5.7433,6.5315,7.6302,5.6754,6.2791,4.442,6.7277,6.0676,6.728,6.3332,4.1526,4.5691,1.777,0.5337,3.2413,0.5312,-1.2402,-9.6582
6.0998,5.4891,4.3228,6.0786,7.5785,6.334,6.7242,4.3459,4.455,5.0661,4.178,2.0425,6.3078,7.0548,7.9272,6.1136,6.7649,4.6033,7.1738,6.5021,7.1821,6.7644,4.5067,5.0891,2.1662,0.9413,3.7418,0.9195,-1.2862,-10.0987
