FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.296,0.0657,0.2469,0.2044,0.3645,0.6351,0.5931,0.9946,0.9605,0.6286,0.2286,-0.4013,0.3242,0.2403,0.3986,0.0567,0.3711,0.2949,0.3371,0.2567,0.2697,0.4445,0.399,0.244,0.7847,0.3716,0.2205,0.5447,0.1463,0.0503
0.3185,0.0936,0.2751,0.1974,0.3299,0.5421,0.5545,0.8107,0.8084,0.6042,0.2061,-0.388,0.2911,0.2504,0.4815,0.114,0.5033,0.4271,0.3999,0.3241,0.3088,0.5108,0.4751,0.1528,0.6788,0.2799,0.0935,0.5037,0.2491,0.1262
0.3592,0.157,0.3264,0.2177,0.3099,0.4551,0.5198,0.6318,0.646,0.5663,0.1994,-0.3394,0.2803,0.2685,0.5735,0.1832,0.6558,0.567,0.487,0.4047,0.3482,0.5797,0.5484,0.0795,0.5107,0.1756,-0.0113,0.4626,0.3718,0.2195
0.418,0.2466,0.3933,0.26,0.3002,0.3769,0.4795,0.4647,0.4776,0.5074,0.2011,-0.2632,0.2841,0.2895,0.668,0.2612,0.8171,0.7009,0.5908,0.4932,0.3819,0.6417,0.6068,0.0256,0.2978,0.0646,-0.0883,0.4266,0.5024,0.3272
0.4921,0.3503,0.4664,0.316,0.2958,0.3092,0.4238,0.3095,0.3055,0.4209,0.2024,-0.169,0.2908,0.3075,0.7563,0.3447,0.9725,0.8154,0.6989,0.5835,0.4054,0.6852,0.6373,-0.0138,0.0591,-0.0487,-0.1392,0.3986,0.6273,0.4443
0.5747,0.4554,0.5354,0.3763,0.2916,0.2521,0.3446,0.1612,0.1316,0.3031,0.1956,-0.0672,0.288,0.3177,0.8284,0.4303,1.1055,0.899,0.7956,0.6689,0.4157,0.6981,0.6283,-0.047,-0.1864,-0.1608,-0.1701,0.3783,0.7332,0.5637
0.654,0.5495,0.5909,0.4315,0.284,0.2048,0.2382,0.0127,-0.041,0.1552,0.1757,0.0325,0.2661,0.317,0.8735,0.5128,1.1989,0.9431,0.8635,0.7415,0.4117,0.6711,0.5721,-0.0823,-0.4204,-0.2676,-0.1884,0.3624,0.8081,0.6753
0.7139,0.621,0.6241,0.4725,0.2706,0.1644,0.1063,-0.1423,-0.2073,-0.0159,0.1417,0.1227,0.2216,0.3048,0.8817,0.5847,1.2362,0.9416,0.8859,0.793,0.3944,0.5992,0.4668,-0.1249,-0.6257,-0.3638,-0.1992,0.3468,0.8418,0.7667
0.7362,0.6589,0.6265,0.4911,0.2498,0.1267,-0.0431,-0.3063,-0.3595,-0.1969,0.0971,0.1994,0.1584,0.2831,0.8443,0.6353,1.2031,0.8905,0.8494,0.8145,0.3654,0.4834,0.3168,-0.1745,-0.7872,-0.4425,-0.2032,0.3268,0.8266,0.8243
0.7035,0.6522,0.5897,0.4789,0.2197,0.0853,-0.1973,-0.4762,-0.4886,-0.37,0.0482,0.2619,0.0865,0.2554,0.7547,0.6507,1.089,0.7875,0.746,0.7964,0.3265,0.3304,0.1317,-0.2254,-0.8922,-0.496,-0.1974,0.2994,0.758,0.8345
0.6022,0.59,0.505,0.4278,0.1766,0.0328,-0.3413,-0.6438,-0.5859,-0.5153,0.0024,0.3121,0.0186,0.2241,0.6097,0.6151,0.8885,0.6316,0.5737,0.729,0.2765,0.1509,-0.0756,-0.2691,-0.9321,-0.5171,-0.1769,0.2624,0.635,0.7863
0.4256,0.4631,0.3657,0.3303,0.115,-0.0383,-0.4608,-0.7959,-0.6452,-0.6147,-0.0348,0.3527,-0.0339,0.1884,0.4092,0.5138,0.6028,0.4234,0.3367,0.6028,0.2106,-0.043,-0.2908,-0.2969,-0.9035,-0.5011,-0.1379,0.2147,0.4606,0.6727
0.1749,0.2667,0.1692,0.1816,0.0282,-0.1332,-0.5453,-0.9172,-0.6641,-0.6561,-0.061,0.3851,-0.0657,0.143,0.1576,0.3366,0.241,0.167,0.0449,0.4107,0.1192,-0.2404,-0.5008,-0.3041,-0.8096,-0.4479,-0.0814,0.154,0.2421,0.4928
-0.1383,0.0041,-0.0796,-0.0177,-0.0891,-0.2536,-0.5901,-0.993,-0.6449,-0.6351,-0.0781,0.4084,-0.0786,0.0797,-0.1359,0.0832,-0.1794,-0.1289,-0.2869,0.1511,-0.0083,-0.4333,-0.6949,-0.2913,-0.6605,-0.3629,-0.0136,0.0766,-0.0092,0.2528
