FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.5946,0.2942,0.045,0.2028,0.0508,-0.024,0.2512,0.1203,0.7261,0.4678,0.4851,0.2982,0.6155,0.446,0.7134,0.715,1.0096,0.6555,0.9387,0.5046,0.1971,0.5903,0.5616,0.3331,0.0826,0.5989,0.5253,0.3853,0.4956,0.2709
0.5011,0.2318,-0.0484,0.1238,-0.0221,-0.1369,0.253,0.0627,0.7584,0.4866,0.5177,0.3106,0.6478,0.4591,0.6879,0.6581,1.0108,0.643,0.9254,0.4611,0.188,0.614,0.5853,0.4039,0.1633,0.6728,0.6149,0.4306,0.5816,0.2891
0.4405,0.2265,-0.1021,0.098,-0.0413,-0.2052,0.2977,0.0228,0.8012,0.5295,0.5487,0.3293,0.7223,0.5209,0.6849,0.6397,1.0403,0.6547,0.9366,0.4538,0.226,0.6614,0.6,0.4993,0.2437,0.745,0.7166,0.4894,0.6594,0.3242
0.4119,0.266,-0.1201,0.1199,-0.0113,-0.231,0.3766,0.002,0.8472,0.5879,0.5712,0.3494,0.8281,0.6229,0.6978,0.6526,1.085,0.679,0.9609,0.4767,0.3044,0.7202,0.594,0.6033,0.3115,0.8041,0.8146,0.553,0.7266,0.3738
0.4069,0.3297,-0.1121,0.1752,0.0543,-0.2243,0.4745,-0.0022,0.8867,0.6506,0.5794,0.3664,0.948,0.75,0.7135,0.6829,1.1273,0.698,0.9829,0.5184,0.4099,0.7737,0.557,0.697,0.3555,0.84,0.8937,0.6129,0.7794,0.4324
0.4132,0.3948,-0.0899,0.2447,0.1374,-0.1995,0.5731,0.0044,0.9101,0.7058,0.5699,0.3776,1.0629,0.8836,0.7164,0.7144,1.1494,0.6926,0.9875,0.5657,0.5258,0.8051,0.483,0.7622,0.3682,0.8456,0.9417,0.6623,0.8134,0.4921
0.4189,0.442,-0.0641,0.31,0.2187,-0.1713,0.6548,0.0146,0.9106,0.7441,0.5425,0.3825,1.1555,1.0055,0.6937,0.7335,1.1389,0.6483,0.9641,0.607,0.6354,0.801,0.3725,0.785,0.347,0.8187,0.9519,0.6966,0.8248,0.5441
0.415,0.4596,-0.0421,0.3567,0.2824,-0.152,0.706,0.021,0.8858,0.7594,0.4999,0.3822,1.2136,1.1006,0.6388,0.732,1.0912,0.5593,0.9093,0.6349,0.7245,0.7542,0.232,0.7578,0.2942,0.7613,0.923,0.7139,0.811,0.5799
0.3975,0.4447,-0.0275,0.3769,0.3176,-0.1492,0.7185,0.0179,0.8382,0.7492,0.4465,0.3778,1.231,1.1583,0.5527,0.7072,1.0096,0.4291,0.8261,0.6459,0.7828,0.6648,0.0725,0.6798,0.2158,0.6788,0.8588,0.7138,0.7715,0.5932
0.3652,0.4005,-0.0222,0.3677,0.3184,-0.166,0.6892,0.0016,0.7748,0.7132,0.387,0.3684,1.2066,1.1723,0.4415,0.6607,0.9025,0.268,0.7217,0.6386,0.8034,0.5386,-0.0929,0.5559,0.1196,0.5783,0.7653,0.6959,0.708,0.5817
0.3176,0.3327,-0.0286,0.3291,0.2826,-0.2033,0.6188,-0.0294,0.7048,0.6523,0.3244,0.3506,1.1412,1.1394,0.3132,0.5939,0.7781,0.089,0.6035,0.6104,0.7812,0.3847,-0.2526,0.3956,0.0142,0.4679,0.6494,0.6593,0.6248,0.5481
0.2518,0.2448,-0.0524,0.2605,0.2086,-0.2622,0.5094,-0.0752,0.6377,0.5661,0.2587,0.3174,1.0349,1.0574,0.1725,0.5055,0.6404,-0.0974,0.4757,0.5549,0.7109,0.2128,-0.3989,0.2103,-0.0918,0.3563,0.5171,0.6023,0.5291,0.4998
0.1603,0.1351,-0.1029,0.1584,0.0944,-0.3456,0.363,-0.1348,0.5812,0.4532,0.1875,0.2596,0.8853,0.9231,0.0174,0.3887,0.4868,-0.2864,0.3368,0.4613,0.5861,0.0301,-0.5301,0.0115,-0.1905,0.2529,0.3731,0.523,0.4302,0.4492
0.032,-0.0042,-0.1927,0.0159,-0.0638,-0.4586,0.1813,-0.2057,0.5408,0.3107,0.1072,0.1684,0.6866,0.732,-0.1609,0.2314,0.3071,-0.48,0.1793,0.3148,0.3988,-0.1608,-0.6507,-0.1909,-0.2741,0.1681,0.2208,0.4209,0.3383,0.4118
-0.1461,-0.1852,-0.3346,-0.1762,-0.2703,-0.6072,-0.0338,-0.2837,0.5207,0.1372,0.0155,0.0384,0.4323,0.4791,-0.3769,0.019,0.0871,-0.6862,-0.0086,0.0994,0.1406,-0.3618,-0.7708,-0.39,-0.3354,0.1133,0.0633,0.2983,0.2632,0.404
-0.3854,-0.4211,-0.5392,-0.4266,-0.5285,-0.7956,-0.2781,-0.3617,0.5246,-0.0658,-0.0862,-0.1294,0.1175,0.1605,-0.646,-0.2628,-0.1883,-0.9156,-0.2403,-0.1982,-0.1952,-0.5794,-0.9032,-0.5823,-0.368,0.1,-0.0951,0.1624,0.2122,0.44
-0.6925,-0.7227,-0.8121,-0.7413,-0.8391,-1.0252,-0.5442,-0.4296,0.5573,-0.2909,-0.1911,-0.3257,-0.2572,-0.2245,-0.9801,-0.6245,-0.5309,-1.1788,-0.5276,-0.586,-0.612,-0.8225,-1.0613,-0.7672,-0.3675,0.1386,-0.2484,0.0248,0.1889,0.5285
-1.0671,-1.0948,-1.151,-1.1209,-1.1987,-1.2922,-0.8195,-0.4756,0.6242,-0.5247,-0.2878,-0.5334,-0.6835,-0.6705,-1.3835,-1.0696,-0.9462,-1.4826,-0.8778,-1.0637,-1.1072,-1.0999,-1.2561,-0.9461,-0.3326,0.2349,-0.3893,-0.1,0.1921,0.6707
-1.4993,-1.5327,-1.5454,-1.558,-1.5972,-1.5873,-1.0864,-0.4872,0.7304,-0.7469,-0.3616,-0.7294,-1.1425,-1.164,-1.8494,-1.5917,-1.4299,-1.8274,-1.2909,-1.6205,-1.6699,-1.4167,-1.4933,-1.1202,-0.266,0.3877,-0.5097,-0.1966,0.2165,0.8586
-1.9693,-2.0201,-1.9752,-2.0344,-2.0157,-1.8945,-1.3211,-0.4532,0.8794,-0.9314,-0.3966,-0.888,-1.603,-1.6799,-2.3579,-2.172,-1.9662,-2.2046,-1.7556,-2.2329,-2.2767,-1.7693,-1.7695,-1.2877,-0.175,0.5859,-0.6009,-0.2518,0.254,1.0753
-2.4454,-2.5266,-2.4106,-2.5193,-2.4244,-2.1899,-1.494,-0.3658,1.0716,-1.0477,-0.3782,-0.9835,-2.0206,-2.1793,-2.875,-2.7762,-2.5244,-2.5942,-2.2464,-2.8624,-2.8896,-2.1411,-2.0702,-1.44,-0.0703,0.8091,-0.6535,-0.2558,0.2952,1.2965
-2.8849,-3.0068,-2.8122,-2.9682,-2.781,-2.4413,-1.5709,-0.2211,1.3025,-1.0629,-0.2943,-0.9924,-2.3387,-2.6091,-3.3537,-3.3542,-3.0594,-2.964,-2.7222,-3.455,-3.4543,-2.4995,-2.3683,-1.5594,0.0358,1.0285,-0.6566,-0.2031,0.3318,1.4936
-3.2346,-3.4024,-3.1331,-3.3243,-3.0327,-2.6094,-1.5163,-0.0214,1.5616,-0.9456,-0.137,-0.8961,-2.493,-2.9046,-3.7365,-3.8409,-3.5119,-3.2699,-3.1268,-3.9435,-3.9022,-2.7966,-2.6245,-1.6191,0.1311,1.2117,-0.5977,-0.0918,0.3576,1.6372
-3.4352,-3.6462,-3.3217,-3.5232,-3.1208,-2.6503,-1.2988,0.224,1.8306,-0.6721,0.0957,-0.6823,-2.419,-2.9958,-3.9603,-4.162,-3.8137,-3.459,-3.3935,-4.2522,-4.1566,-2.9729,-2.7905,-1.5852,0.2069,1.3276,-0.4636,0.0765,0.3694,1.7011
-3.4272,-3.6712,-3.3276,-3.5016,-2.9902,-2.5226,-0.8985,0.4978,2.0824,-0.232,0.3978,-0.3483,-2.0632,-2.8187,-3.9631,-4.2419,-3.8947,-3.4759,-3.452,-4.306,-4.1428,-2.9651,-2.8145,-1.4225,0.2593,1.3522,-0.2425,0.2973,0.368,1.6661
-3.1604,-3.4217,-3.1095,-3.208,-2.5998,-2.1953,-0.3143,0.7749,2.2825,0.3656,0.7536,0.097,-1.3953,-2.3274,-3.6939,-4.0163,-3.6938,-3.271,-3.2403,-4.0428,-3.8013,-2.7172,-2.6484,-1.1021,0.2905,1.273,0.0724,0.5626,0.3574,1.5238
-2.6039,-2.8653,-2.6439,-2.6151,-1.9337,-1.6564,0.4308,1.0242,2.392,1.0888,1.1379,0.6323,-0.4183,-1.507,-3.1232,-3.4457,-3.1711,-2.8106,-2.7161,-3.4266,-3.1021,-2.1928,-2.2579,-0.61,0.3076,1.0911,0.4782,0.8597,0.3441,1.2789
-1.7563,-2.0037,-1.9333,-1.7287,-1.0098,-0.9206,1.289,1.2123,2.374,1.8845,1.5176,1.2238,0.8248,-0.3821,-2.2522,-2.5269,-2.3191,-2.087,-1.8695,-2.4585,-2.0556,-1.3857,-1.6313,0.0463,0.3215,0.8209,0.9596,1.1713,0.3358,0.9498
-0.6518,-0.8775,-1.0113,-0.5931,0.118,-0.0312,2.1906,1.3092,2.2011,2.6833,1.8555,1.8282,2.252,0.9803,-1.1193,-1.3,-1.17,-1.1246,-0.7301,-1.1834,-0.7169,-0.327,-0.787,0.8346,0.3428,0.4874,1.4873,1.4753,0.34,0.5661
0.639,0.4347,0.0578,0.7114,1.3632,0.9424,3.0526,1.2936,1.8622,3.4088,2.1156,2.3962,3.7496,2.4763,0.1999,0.1512,0.2024,0.0179,0.6301,0.3109,0.816,0.9139,0.2239,1.6984,0.3792,0.122,2.0198,1.7468,0.3626,0.1659
2.0146,1.8251,1.1845,2.077,2.6169,1.9129,3.79,1.1575,1.3678,3.9885,2.2688,2.8789,5.1869,3.9766,1.5985,1.7077,1.6886,1.2523,2.1029,1.9016,2.4136,2.2355,1.321,2.5636,0.4322,-0.2427,2.5078,1.9603,0.4075,-0.2103
3.3544,3.1696,2.2653,3.3822,3.7623,2.7875,4.328,0.9084,0.7511,4.3647,2.2973,3.2335,6.4334,5.3442,2.9508,3.229,3.156,2.4711,3.5566,3.4461,3.9308,3.5171,2.4038,3.3481,0.4966,-0.5774,2.9009,2.0934,0.4757,-0.5247
4.5341,4.3446,3.1961,4.5075,4.6909,3.4816,4.6127,0.5685,0.0647,4.5022,2.1982,3.4292,7.3774,6.4525,4.1289,4.572,4.4664,3.5619,4.853,4.8001,5.2264,4.635,3.3661,3.9741,0.5613,-0.8594,3.1558,2.1304,0.5651,-0.7483
5.4425,5.243,3.8868,5.3507,5.3168,3.9298,4.6187,0.1712,-0.6258,4.393,1.983,3.4511,7.9408,7.2022,5.0201,5.6102,5.4938,4.4223,5.8672,5.8367,6.1811,5.4807,4.1112,4.3795,0.6122,-1.0736,3.2429,2.0646,0.6705,-0.8639
5.9956,5.7868,4.2724,5.8392,5.5875,4.0954,4.351,-0.2437,-1.2516,4.0553,1.6761,3.301,8.0876,7.5336,5.5413,6.2491,6.142,4.9734,6.504,6.4625,6.7122,5.9754,4.5658,4.5269,0.6357,-1.2131,3.151,1.8997,0.7842,-0.8673
6.1468,5.9354,4.3212,5.937,5.489,3.9726,3.8423,-0.6366,-1.7506,3.5286,1.3092,2.9966,7.8255,7.4315,5.649,6.437,6.3552,5.1696,6.7101,6.628,6.7826,6.0802,4.6902,4.4078,0.6223,-1.2776,2.888,1.6484,0.8974,-0.7662
5.8907,5.688,4.0361,5.6475,5.0444,3.5845,3.1465,-0.9726,-2.0767,2.8661,0.916,2.5667,7.2001,6.924,5.3421,6.1694,6.1242,5.0021,6.479,6.3319,6.4022,5.7994,4.4822,4.0424,0.5691,-1.2712,2.4788,1.3306,1.0013,-0.5763
5.2612,5.0807,3.4525,5.0098,4.3084,2.9774,2.329,-1.2263,-2.2063,2.1249,0.5257,2.0455,6.2841,6.0747,4.6591,5.4857,5.4838,4.4975,5.8492,5.618,5.624,5.1773,3.9754,3.4749,0.4812,-1.201,1.9603,0.9691,1.0889,-0.3173
4.3245,4.179,2.6306,4.0922,3.3577,2.2119,1.4571,-1.3834,-2.14,1.3574,0.1587,1.467,5.1638,4.9718,3.6689,4.4611,4.5049,3.7107,4.8953,4.5669,4.5341,4.2894,3.2319,2.7651,0.3698,-1.0757,1.3745,0.5863,1.1553,-0.0088
3.1687,3.0679,1.6462,2.9815,2.2798,1.3546,0.5919,-1.4409,-1.9001,0.606,-0.1751,0.8603,3.9263,3.7148,2.4596,3.1943,3.2824,2.7151,3.7151,3.2829,3.2387,3.2296,2.3308,1.9788,0.2507,-0.9047,0.7625,0.2012,1.1978,0.3327
1.8914,1.8403,0.5797,1.7719,1.1621,0.47,-0.2167,-1.4052,-1.5248,-0.0998,-0.4745,0.2474,2.65,2.4022,1.1264,1.7946,1.9218,1.5931,2.4161,1.8801,1.8504,2.0974,1.3573,1.1795,0.1405,-0.6982,0.1603,-0.172,1.2148,0.6947
0.5889,0.5869,-0.493,0.5542,0.083,-0.3854,-0.9326,-1.2898,-1.0598,-0.7423,-0.7442,-0.3564,1.3991,1.1218,-0.239,0.3685,0.5265,0.4254,1.1017,0.4686,0.4748,0.9855,0.3908,0.4213,0.054,-0.4663,-0.4038,-0.5236,1.2049,1.0677
-0.6543,-0.613,-1.508,-0.5936,-0.895,-1.1665,-1.5325,-1.1112,-0.5501,-1.3113,-0.9893,-0.9393,0.2224,-0.0562,-1.5568,-0.9912,-0.8129,-0.7156,-0.1392,-0.8571,-0.7994,-0.0297,-0.5022,-0.2544,0.0019,-0.2185,-0.9082,-0.8463,1.1668,1.444
-1.7715,-1.6979,-2.4175,-1.6125,-1.7292,-1.8416,-2.0035,-0.8874,-0.0335,-1.7994,-1.211,-1.489,-0.8444,-1.082,-2.7638,-2.2126,-2.0257,-1.7717,-1.2394,-2.0266,-1.9079,-0.8931,-1.2737,-0.8197,-0.0094,0.0377,-1.3364,-1.1329,1.0991,1.8157
-2.7184,-2.6275,-3.1914,-2.4657,-2.3968,-2.392,-2.3397,-0.6348,0.4637,-2.1968,-1.4032,-1.9887,-1.7747,-1.9259,-3.8162,-3.2496,-3.0648,-2.7007,-2.1566,-2.9973,-2.8134,-1.5733,-1.8956,-1.2584,0.0223,0.2984,-1.6736,-1.373,1.0015,2.1735
-3.4736,-3.3833,-3.8169,-3.1386,-2.8933,-2.8113,-2.5396,-0.368,0.9279,-2.4884,-1.5508,-2.4144,-2.5469,-2.5757,-4.689,-4.0819,-3.9074,-3.4778,-2.8734,-3.7546,-3.504,-2.0611,-2.3582,-1.5627,0.0968,0.5642,-1.9037,-1.5512,0.8759,2.5057
-4.0375,-3.9667,-4.297,-3.6366,-3.2285,-3.1038,-2.6033,-0.0979,1.3572,-2.653,-1.631,-2.7347,-3.1407,-3.0323,-5.3752,-4.713,-4.5524,-4.0939,-3.3936,-4.3079,-3.9894,-2.3653,-2.6673,-1.73,0.2125,0.8402,-2.0082,-1.6465,0.7272,2.7986
-4.4283,-4.3956,-4.6474,-3.9803,-3.4218,-3.2824,-2.5318,0.1677,1.7582,-2.665,-1.6162,-2.9135,-3.5354,-3.3044,-5.8833,-5.1648,-5.0162,-4.5539,-3.7365,-4.6847,-4.2938,-2.507,-2.8398,-1.7601,0.3675,1.1348,-1.9674,-1.6341,0.5629,3.0385
-4.6757,-4.6978,-4.8919,-4.1993,-3.4961,-3.3654,-2.3266,0.4251,2.1417,-2.4993,-1.4797,-2.9161,-3.7102,-3.4033,-6.2331,-5.4705,-5.3259,-4.8727,-3.9298,-4.9215,-4.4476,-2.5126,-2.8977,-1.6537,0.5599,1.4574,-1.7625,-1.4898,0.3924,3.2138
-4.8137,-4.9054,-5.0575,-4.3256,-3.4738,-3.3728,-1.9902,0.6743,2.5182,-2.1368,-1.2014,-2.7158,-3.646,-3.3392,-6.4507,-5.6656,-5.512,-5.0708,-4.0016,-5.0553,-4.4801,-2.4074,-2.8635,-1.412,0.7879,1.8149,-1.3803,-1.1952,0.2258,3.3178
-4.8732,-5.0475,-5.1688,-4.3871,-3.3723,-3.3224,-1.5276,0.9181,2.8946,-1.5704,-0.7733,-2.3019,-3.3301,-3.1194,-6.5626,-5.7811,-5.601,-5.1691,-3.9753,-5.1157,-4.4135,-2.2116,-2.7557,-1.0376,1.0494,2.2089,-0.8183,-0.7443,0.0735,3.3501
-4.8771,-5.1456,-5.2437,-4.4037,-3.2028,-3.2265,-0.9483,1.1607,3.2714,-0.811,-0.2046,-1.685,-2.761,-2.7491,-6.5906,-5.8372,-5.6116,-5.1848,-3.8664,-5.121,-4.2606,-1.938,-2.5873,-0.5375,1.3409,2.6329,-0.0891,-0.1486,-0.0544,3.3174
-4.8386,-5.2112,-5.292,-4.3855,-2.9714,-3.0914,-0.2688,1.4057,3.6415,0.1097,0.4769,-0.8994,-1.9538,-2.2347,-6.5489,-5.8423,-5.552,-5.1293,-3.6821,-5.0769,-4.0254,-1.5929,-2.3654,0.0746,1.6564,3.0719,0.7762,0.5613,-0.1476,3.2323
-4.7622,-5.246,-5.3158,-4.3342,-2.6821,-2.9185,0.4849,1.6533,3.9907,1.1384,1.2257,-0.0017,-0.9445,-1.588,-6.4439,-5.7943,-5.4223,-5.0074,-3.4236,-4.9789,-3.7073,-1.179,-2.0933,0.7764,1.987,3.5033,1.7287,1.3366,-0.1969,3.1109
-4.6474,-5.2447,-5.3124,-4.2469,-2.34,-2.7078,1.2769,1.899,4.2997,2.204,1.9831,0.9344,0.2099,-0.8306,-6.2765,-5.6847,-5.2175,-4.8196,-3.0899,-4.818,-3.3056,-0.6987,-1.7724,1.5357,2.3208,3.9007,2.7053,2.1165,-0.1943,2.9701
-4.4933,-5.1991,-5.278,-4.1194,-1.9547,-2.4613,2.0626,2.1329,4.547,3.2251,2.6846,1.8272,1.4344,0.0044,-6.0466,-5.5047,-4.9331,-4.5647,-2.6817,-4.5857,-2.8247,-0.1587,-1.405,2.3125,2.6438,4.237,3.6347,2.8357,-0.1358,2.825
-4.3023,-5.1022,-5.2108,-3.9504,-1.5416,-2.1848,2.7929,2.341,4.7134,4.1205,3.269,2.5977,2.6434,0.8737,-5.7567,-5.2506,-4.5697,-4.2432,-2.2052,-4.2793,-2.2775,0.4282,-0.9953,3.0617,2.9413,4.4889,4.4471,3.4334,-0.0217,2.6872
-4.0821,-4.952,-5.1134,-3.7435,-1.1212,-1.8891,3.4206,2.5086,4.786,4.8213,3.688,3.1803,3.7514,1.7277,-5.4149,-4.9272,-4.1364,-3.8604,-1.6743,-3.9052,-1.6861,1.0417,-0.5509,3.7391,3.1995,4.6404,5.0834,3.8627,0.1426,2.563
-3.8458,-4.7535,-4.9934,-3.5084,-0.7169,-1.589,3.9074,2.6233,4.7608,5.2818,3.9137,3.5328,4.6849,2.5174,-5.0361,-4.5492,-3.6512,-3.4276,-1.1102,-3.4794,-1.0795,1.6563,-0.0826,4.3071,3.4078,4.6852,5.504,4.0968,0.3467,2.4542
-3.6101,-4.5203,-4.8622,-3.2599,-0.3518,-1.3013,4.2304,2.6779,4.6453,5.4866,3.9431,3.6423,5.3931,3.2022,-4.6403,-4.1397,-3.14,-2.9627,-0.5395,-3.0254,-0.49,2.2439,0.3962,4.7404,3.5598,4.6278,5.6955,4.1332,0.5771,2.3581
-3.3921,-4.2725,-4.7334,-3.0163,-0.0453,-1.0427,4.3862,2.673,4.4576,5.4537,3.7994,3.5275,5.8551,3.7556,-4.25,-3.7267,-2.6323,-2.4882,0.0094,-2.5714,0.052,2.7787,0.8702,5.03,3.6547,4.4833,5.672,3.9945,0.8185,2.2697
-3.2062,-4.0345,-4.6207,-2.7969,0.1893,-0.828,4.3916,2.6172,4.2247,5.2312,3.5275,3.235,6.0827,4.1695,-3.8859,-3.3385,-2.1571,-2.0282,0.511,-2.1453,0.5227,3.2408,1.3234,5.1846,3.697,4.2757,5.4738,3.7238,1.0562,2.183
-3.0619,-3.8305,-4.5352,-2.6194,0.3465,-0.6681,4.2806,2.5257,3.9788,4.8887,3.1871,2.8319,6.1165,4.4533,-3.5636,-2.9996,-1.7377,-1.6043,0.9456,-1.7705,0.9081,3.6192,1.7398,5.2287,3.6962,4.0342,5.1603,3.3785,1.2788,2.093
-2.9627,-3.6811,-4.4849,-2.4976,0.4282,-0.57,4.099,2.4177,3.7529,4.5061,2.8424,2.3945,6.0177,4.6314,-3.2921,-2.7271,-1.3896,-1.2322,1.302,-1.4637,1.2058,3.9124,2.1043,5.1978,3.6646,3.7894,4.8008,3.0204,1.4799,1.9967
-2.907,-3.6001,-4.4737,-2.4391,0.4434,-0.5355,3.8957,2.313,3.5761,4.1597,2.5524,1.9957,5.8574,4.737,-3.0734,-2.5298,-1.1185,-0.9206,1.5778,-1.2327,1.4236,4.1275,2.4048,5.1315,3.6158,3.5691,4.4633,2.706,1.6587,1.8944
-2.8898,-3.5921,-4.5019,-2.4437,0.4065,-0.5615,3.716,2.2279,3.4693,3.9114,2.3612,1.6947,5.7039,4.8061,-2.905,-2.4079,-0.9214,-0.6708,1.7784,-1.0769,1.5773,4.278,2.6335,5.0677,3.5629,3.3952,4.2046,2.4791,1.8201,1.7894
-2.9047,-3.6526,-4.5674,-2.5036,0.3353,-0.6402,3.5943,2.1732,3.443,3.8004,2.2927,1.529,5.6127,4.8712,-2.7815,-2.3542,-0.7886,-0.4774,1.9151,-0.9882,1.6874,4.3811,2.7891,5.0364,3.5174,3.2819,4.0636,2.3651,1.9729,1.6873
-2.9457,-3.7686,-4.6664,-2.6037,0.2491,-0.7593,3.551,2.1523,3.4958,3.8399,2.3488,1.5114,5.6204,4.9576,-2.6969,-2.356,-0.7061,-0.3305,2.0031,-0.9528,1.775,4.4548,2.8776,5.0564,3.4886,3.2353,4.0579,2.3701,2.1281,1.5942
-3.0084,-3.9209,-4.7948,-2.7245,0.1665,-0.904,3.5912,2.1619,3.6165,4.0192,2.5123,1.6324,5.7415,5.0809,-2.6465,-2.3976,-0.6596,-0.2186,2.0578,-0.9543,1.8586,4.5151,2.9112,5.1346,3.4829,3.2547,4.1844,2.4837,2.2959,1.5151
-3.0904,-4.0877,-4.949,-2.8463,0.103,-1.0581,3.7065,2.1941,3.7868,4.3088,2.7527,1.8645,5.9702,5.2463,-2.628,-2.4637,-0.6373,-0.1314,2.092,-0.9764,1.9506,4.5737,2.9051,5.2667,3.5039,3.3336,4.4228,2.6831,2.4824,1.4521
-3.192,-4.249,-5.126,-2.9526,0.0686,-1.2069,3.8783,2.2391,3.9857,4.6675,3.0338,2.1703,6.2841,5.4488,-2.6415,-2.5417,-0.6324,-0.0641,2.114,-1.0056,2.0562,4.6371,2.8748,5.4397,3.5518,3.4616,4.7411,2.9392,2.6875,1.404
-3.316,-4.3909,-5.3233,-3.0341,0.0664,-1.3388,4.0821,2.2882,4.1935,5.0504,3.3197,2.5078,6.6494,5.6748,-2.6908,-2.6245,-0.6444,-0.0192,2.1264,-1.0341,2.1726,4.7051,2.8314,5.6345,3.623,3.6244,5.1003,3.2211,2.9033,1.3661
-3.4674,-4.5079,-5.5386,-3.0898,0.0926,-1.4465,4.2918,2.3359,4.3946,5.4148,3.5803,2.8366,7.0268,5.9046,-2.7824,-2.7114,-0.679,-0.007,2.1257,-1.0603,2.2899,4.772,2.78,5.8286,3.7099,3.8048,5.4592,3.499,3.1146,1.3324
-3.6523,-4.6043,-5.7686,-3.1262,0.137,-1.527,4.4838,2.3814,4.579,5.7256,3.7937,3.1212,7.3767,6.1155,-2.9252,-2.8073,-0.7462,-0.0431,2.1034,-1.0893,2.3934,4.8267,2.7178,5.9989,3.8011,3.9825,5.7782,3.746,3.3014,1.2972
-3.8762,-4.6918,-6.0091,-3.155,0.1868,-1.5805,4.6407,2.428,4.7422,5.959,3.9479,3.3349,7.6647,6.2857,-3.1279,-2.9214,-0.8578,-0.144,2.0482,-1.1308,2.4669,4.8548,2.6359,6.124,3.8823,4.1355,6.0234,3.9401,3.4441,1.2561
-4.1421,-4.7864,-6.2553,-3.1886,0.2292,-1.6093,4.7531,2.4823,4.8843,6.1049,4.0413,3.4628,7.8671,6.3989,-3.3962,-3.0632,-1.0235,-0.321,1.9491,-1.1956,2.4969,4.8421,2.5224,6.1875,3.9384,4.2416,6.1699,4.0659,3.5286,1.2062
-4.4485,-4.9036,-6.5023,-3.2372,0.2553,-1.6162,4.8214,2.5519,5.0081,6.1676,4.0826,3.5047,7.974,6.4477,-3.7301,-3.2396,-1.2481,-0.5766,1.7986,-1.2923,2.4762,4.7777,2.3674,6.1806,3.9552,4.2819,6.2056,4.117,3.5503,1.1457
-4.7887,-5.0546,-6.7457,-3.306,0.2622,-1.604,4.8549,2.6433,5.1172,6.1639,4.0888,3.4754,7.9911,6.436,-4.1223,-3.4526,-1.5294,-0.9019,1.5956,-1.4245,2.4066,4.6575,2.1672,6.1043,3.922,4.2436,6.1331,4.0972,3.5157,1.0728
-5.1511,-5.2433,-6.9813,-3.3937,0.2539,-1.5748,4.869,2.7594,5.2147,6.1195,4.0819,3.4033,7.9382,6.378,-4.5576,-3.6971,-1.8573,-1.2778,1.3474,-1.5885,2.2996,4.487,1.9275,5.9697,3.8336,4.1235,5.9693,4.0204,3.4416,0.9853
-5.5203,-5.4643,-7.2053,-3.4932,0.2402,-1.5297,4.8822,2.8985,5.3013,6.0636,4.0843,3.3236,7.845,6.2968,-5.0141,-3.9617,-2.2142,-1.6774,1.0694,-1.7733,2.1748,4.2816,1.6649,5.7972,3.6925,3.9294,5.7434,3.9079,3.3514,0.8802
-5.8799,-5.7039,-7.4138,-3.5921,0.2349,-1.4685,4.9121,3.054,5.375,6.0225,4.1122,3.2705,7.7453,6.2195,-5.4655,-4.229,-2.5767,-2.0708,0.7839,-1.9611,2.0572,4.0655,1.4042,5.6138,3.5096,3.6804,5.492,3.7848,3.2703,0.7547
-6.2148,-5.9417,-7.6024,-3.6756,0.2531,-1.39,4.9725,3.2159,5.4317,6.0143,4.1714,3.2682,7.671,6.1724,-5.8849,-4.479,-2.9194,-2.4289,0.5165,-2.1309,1.9724,3.8676,1.1755,5.4489,3.3037,3.4038,5.2526,3.6735,3.2207,0.6078
-6.5135,-6.154,-7.7659,-3.7277,0.3084,-1.2917,5.0705,3.3725,5.4653,6.0453,4.2541,3.3236,7.6464,6.1768,-6.249,-4.6917,-3.2174,-2.7274,0.2923,-2.2614,1.9422,3.7168,1.0079,5.3292,3.0998,3.1309,5.0575,3.5894,3.2187,0.4416
-6.7698,-6.3182,-7.8984,-3.7343,0.4106,-1.1706,5.2062,3.5132,5.4696,6.1089,4.3399,3.424,7.6846,6.2444,-6.5411,-4.8499,-3.4506,-2.9488,0.1323,-2.3343,1.9814,3.6365,0.9241,5.2745,2.9246,2.8912,4.9283,3.5376,3.2722,0.2617
-6.9811,-6.4152,-7.9933,-3.6841,0.5645,-1.0232,5.3733,3.63,5.4394,6.188,4.4006,3.5397,7.7855,6.3765,-6.7534,-4.941,-3.6052,-3.083,0.0505,-2.3374,2.0954,3.641,0.9364,5.2939,2.8024,2.7061,4.8729,3.512,3.3802,0.0779
