FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.6129,-0.4191,-0.1058,-0.1733,-0.0862,0.1013,0.1483,0.2808,0.152,0.3998,0.2241,0.1049,0.1482,0.0962,-0.4033,-0.2832,-0.4368,-0.4009,-0.3349,-0.164,0.1068,-0.0519,-0.2232,-0.015,-0.2236,-0.3417,-0.1037,-0.1201,-0.4251,-0.615
-0.5255,-0.3633,-0.0019,-0.1442,-0.0714,0.1118,0.115,0.169,0.0709,0.3753,0.2155,0.1427,0.1233,0.0876,-0.2516,-0.2317,-0.3872,-0.4367,-0.2706,-0.126,0.0887,-0.0133,-0.1907,-0.0101,-0.1545,-0.3031,-0.0783,-0.1007,-0.4047,-0.6143
-0.419,-0.2863,0.0655,-0.1031,-0.0347,0.117,0.0723,0.0303,-0.0463,0.3053,0.1507,0.1438,0.0934,0.0867,-0.1314,-0.17,-0.3029,-0.4426,-0.1893,-0.0702,0.089,0.0378,-0.1353,-0.0019,-0.067,-0.243,-0.0531,-0.0845,-0.3606,-0.5586
-0.2991,-0.1827,0.0932,-0.0443,0.0292,0.1258,0.036,-0.114,-0.1806,0.2068,0.045,0.1156,0.0724,0.1032,-0.0493,-0.0922,-0.1829,-0.3987,-0.09,0.0069,0.1152,0.1026,-0.0612,0.013,0.0268,-0.1663,-0.0247,-0.0684,-0.2933,-0.4497
-0.173,-0.0535,0.0893,0.0336,0.1201,0.1459,0.0188,-0.2417,-0.3093,0.1,-0.0781,0.072,0.0713,0.1425,0.0009,0.0051,-0.0338,-0.2908,0.0252,0.1041,0.1681,0.1796,0.024,0.0368,0.1153,-0.0782,0.0112,-0.047,-0.2066,-0.2987
-0.0473,0.0941,0.0704,0.1282,0.2321,0.1825,0.0281,-0.3334,-0.4095,0.0044,-0.1911,0.0303,0.0961,0.2051,0.0344,0.1208,0.1315,-0.1175,0.1509,0.2165,0.2426,0.2647,0.1103,0.0701,0.189,0.016,0.0577,-0.0142,-0.1072,-0.1236
0.0728,0.2486,0.0566,0.2335,0.3551,0.2376,0.0654,-0.375,-0.4616,-0.063,-0.268,0.0071,0.1469,0.2864,0.0694,0.2491,0.2959,0.1048,0.2793,0.3355,0.3291,0.3511,0.1868,0.1109,0.2418,0.1114,0.1159,0.035,-0.0027,0.0545
0.1836,0.3964,0.0647,0.3412,0.4759,0.3096,0.1269,-0.3592,-0.4528,-0.0908,-0.2893,0.0141,0.218,0.3776,0.1195,0.3798,0.4412,0.3435,0.4001,0.4499,0.4153,0.4299,0.2429,0.1546,0.2717,0.2026,0.1839,0.1028,0.0988,0.2149
0.2827,0.5248,0.104,0.4419,0.5811,0.3936,0.2048,-0.2863,-0.3789,-0.0744,-0.2465,0.0554,0.2989,0.4664,0.1889,0.4992,0.5517,0.5559,0.5022,0.5472,0.488,0.4914,0.2697,0.1942,0.2795,0.2834,0.2559,0.1858,0.1899,0.3403
0.3685,0.6236,0.1745,0.5259,0.6583,0.4818,0.2888,-0.1644,-0.2464,-0.0169,-0.1439,0.1255,0.3759,0.5386,0.27,0.5923,0.6165,0.7005,0.5746,0.6149,0.5348,0.5257,0.2619,0.2215,0.2678,0.3464,0.3231,0.2755,0.2646,0.4197
0.4402,0.6867,0.2678,0.5849,0.6985,0.5644,0.3669,-0.0091,-0.072,0.071,0.0015,0.2101,0.4338,0.5804,0.3462,0.6463,0.6316,0.7487,0.609,0.6428,0.5459,0.5248,0.2188,0.2281,0.2398,0.3836,0.3744,0.3577,0.3192,0.4498
0.4975,0.7123,0.3698,0.613,0.6969,0.6311,0.4276,0.1584,0.1189,0.173,0.163,0.2885,0.4589,0.5805,0.3971,0.6528,0.6003,0.6921,0.6013,0.6253,0.5153,0.4841,0.1457,0.2067,0.1978,0.3871,0.3981,0.4152,0.3529,0.4356
0.5412,0.7024,0.465,0.6079,0.6538,0.6728,0.4613,0.3143,0.2971,0.2703,0.3101,0.3385,0.4419,0.5333,0.4062,0.6112,0.5323,0.5453,0.5536,0.5628,0.4429,0.4043,0.0535,0.1533,0.1435,0.3509,0.3847,0.4307,0.3689,0.3901
0.5729,0.6629,0.5397,0.5717,0.5751,0.6839,0.4626,0.4368,0.4352,0.3454,0.4153,0.3418,0.3797,0.4404,0.367,0.5289,0.4423,0.342,0.474,0.4632,0.3353,0.2914,-0.0427,0.068,0.0776,0.2725,0.3291,0.391,0.3734,0.3316
0.5952,0.6027,0.5854,0.5115,0.4712,0.664,0.4317,0.5098,0.5133,0.3863,0.46,0.2889,0.2776,0.3122,0.2862,0.4212,0.3466,0.1272,0.3758,0.3411,0.2055,0.1571,-0.1267,-0.0435,0.0008,0.1547,0.2324,0.291,0.3752,0.2803
0.6103,0.5321,0.5995,0.4374,0.3559,0.6182,0.3746,0.5265,0.5234,0.3889,0.4384,0.1816,0.1485,0.166,0.1822,0.3076,0.2604,-0.0535,0.2751,0.2156,0.0714,0.0167,-0.184,-0.1701,-0.0855,0.0062,0.1027,0.1361,0.383,0.2538
0.6199,0.462,0.5851,0.3617,0.2435,0.5558,0.3017,0.4893,0.47,0.3563,0.3583,0.0334,0.0107,0.0227,0.0798,0.2085,0.1953,-0.1647,0.1875,0.1064,-0.0477,-0.1135,-0.2052,-0.2974,-0.1784,-0.1585,-0.046,-0.0578,0.4031,0.2629
0.624,0.4012,0.5485,0.295,0.1458,0.4873,0.2246,0.4089,0.3685,0.2975,0.2378,-0.134,-0.1166,-0.098,0.0037,0.1401,0.1579,-0.1881,0.125,0.0297,-0.136,-0.2187,-0.1875,-0.41,-0.2732,-0.3215,-0.1964,-0.2666,0.4375,0.3088
0.6215,0.356,0.4974,0.2444,0.0691,0.4209,0.1526,0.3002,0.2404,0.2234,0.1005,-0.2947,-0.2175,-0.1827,-0.0282,0.1115,0.1496,-0.1264,0.0945,-0.0056,-0.1846,-0.2887,-0.1351,-0.4949,-0.3636,-0.4638,-0.331,-0.462,0.4832,0.3836
0.6105,0.3283,0.4392,0.2116,0.013,0.3601,0.0903,0.1786,0.1086,0.1436,-0.0303,-0.4248,-0.2834,-0.227,-0.0091,0.1229,0.1673,-0.0005,0.0963,0.0001,-0.1939,-0.3192,-0.0577,-0.544,-0.4423,-0.5689,-0.4356,-0.6172,0.533,0.4724
0.5897,0.3164,0.3804,0.1929,-0.0293,0.3026,0.0367,0.0572,-0.0071,0.0645,-0.136,-0.5061,-0.314,-0.2367,0.0561,0.1663,0.2053,0.1564,0.1257,0.0376,-0.1734,-0.3124,0.0322,-0.5557,-0.5024,-0.6251,-0.5012,-0.7111,0.5784,0.558
0.5597,0.3154,0.3263,0.1807,-0.0685,0.2414,-0.0135,-0.055,-0.0927,-0.0109,-0.2056,-0.5296,-0.3166,-0.2251,0.1532,0.2278,0.2561,0.3083,0.1738,0.0914,-0.139,-0.2761,0.1215,-0.5351,-0.5383,-0.6276,-0.5253,-0.7325,0.612,0.6256
0.5224,0.3183,0.2812,0.1657,-0.116,0.1682,-0.0663,-0.1523,-0.1406,-0.0818,-0.2358,-0.4954,-0.3033,-0.2094,0.2637,0.2905,0.311,0.4249,0.2292,0.1433,-0.1087,-0.2225,0.1982,-0.4919,-0.5473,-0.5794,-0.5115,-0.6808,0.6297,0.6658
0.4811,0.3169,0.2478,0.1395,-0.1793,0.0767,-0.1255,-0.2311,-0.1491,-0.1472,-0.2291,-0.4119,-0.2865,-0.2058,0.3694,0.3382,0.36,0.4872,0.2795,0.177,-0.098,-0.1657,0.2522,-0.4389,-0.53,-0.4902,-0.4682,-0.5661,0.6311,0.6759
0.4384,0.3037,0.2263,0.0971,-0.26,-0.034,-0.1894,-0.2877,-0.1201,-0.204,-0.1913,-0.2934,-0.276,-0.2257,0.4555,0.3575,0.3925,0.4894,0.3125,0.1809,-0.1172,-0.1204,0.2758,-0.389,-0.4915,-0.3757,-0.4074,-0.407,0.6188,0.6587
0.3962,0.2725,0.214,0.0374,-0.3521,-0.1582,-0.2502,-0.3172,-0.0581,-0.2461,-0.1289,-0.1568,-0.2768,-0.2736,0.5108,0.3402,0.3977,0.4368,0.3171,0.1501,-0.169,-0.0996,0.2636,-0.3535,-0.4403,-0.2546,-0.3424,-0.2273,0.5962,0.6197
0.3547,0.2208,0.2055,-0.0358,-0.4435,-0.2837,-0.2956,-0.314,0.0318,-0.265,-0.0476,-0.0192,-0.2885,-0.3467,0.5275,0.2838,0.3663,0.3408,0.2852,0.086,-0.2494,-0.1129,0.2134,-0.3402,-0.3877,-0.1465,-0.2862,-0.0529,0.5663,0.5648
0.313,0.1507,0.1938,-0.1147,-0.519,-0.3951,-0.3118,-0.2724,0.1434,-0.2522,0.0483,0.1047,-0.3069,-0.436,0.4999,0.1916,0.2929,0.215,0.2132,-0.0043,-0.3493,-0.1647,0.1268,-0.3522,-0.3458,-0.0681,-0.2495,0.0928,0.5311,0.4989
0.2701,0.0692,0.1732,-0.1894,-0.5638,-0.477,-0.2879,-0.1895,0.2697,-0.2019,0.1546,0.2041,-0.3254,-0.5284,0.426,0.072,0.1783,0.072,0.103,-0.11,-0.4567,-0.2534,0.0101,-0.3882,-0.3248,-0.0303,-0.2393,0.1926,0.4916,0.4257
0.2248,-0.0132,0.1411,-0.2504,-0.5681,-0.5186,-0.2193,-0.0669,0.4018,-0.1131,0.2667,0.2727,-0.338,-0.6099,0.3092,-0.0633,0.0304,-0.0771,-0.0368,-0.2192,-0.5597,-0.3711,-0.1257,-0.4418,-0.3308,-0.0359,-0.257,0.2378,0.4486,0.3485
0.1767,-0.0853,0.0999,-0.2901,-0.5297,-0.5164,-0.11,0.0882,0.5294,0.0086,0.3784,0.3087,-0.3405,-0.6679,0.1598,-0.2015,-0.1366,-0.2225,-0.1924,-0.3211,-0.6482,-0.5046,-0.2661,-0.5032,-0.3638,-0.0789,-0.2981,0.2302,0.4036,0.271
0.1272,-0.1381,0.0561,-0.3061,-0.4551,-0.4753,0.0278,0.2628,0.6414,0.1522,0.4819,0.3144,-0.3322,-0.6942,-0.0051,-0.3308,-0.3046,-0.3554,-0.3466,-0.4078,-0.7162,-0.6381,-0.3954,-0.5611,-0.4179,-0.1456,-0.353,0.1802,0.3589,0.1979
0.0801,-0.1683,0.0176,-0.3012,-0.3582,-0.4075,0.1762,0.4394,0.7273,0.3027,0.5689,0.2946,-0.3153,-0.6862,-0.1649,-0.443,-0.4553,-0.4677,-0.4817,-0.4762,-0.7619,-0.7554,-0.4988,-0.6044,-0.4823,-0.2184,-0.4092,0.1039,0.3166,0.1343
0.0406,-0.1783,-0.0099,-0.2827,-0.257,-0.3297,0.3152,0.5985,0.779,0.4437,0.6317,0.2551,-0.2946,-0.6474,-0.2994,-0.534,-0.5739,-0.5521,-0.5831,-0.5275,-0.7879,-0.8432,-0.5649,-0.6252,-0.5444,-0.2796,-0.454,0.0187,0.2786,0.0847
0.0153,-0.1757,-0.0255,-0.2604,-0.1694,-0.258,0.4274,0.7221,0.7923,0.5601,0.664,0.2017,-0.2755,-0.5863,-0.3927,-0.604,-0.6519,-0.6027,-0.6418,-0.5661,-0.7997,-0.8928,-0.5875,-0.6201,-0.5922,-0.3162,-0.4783,-0.0616,0.2454,0.052
0.0096,-0.1687,-0.0329,-0.2426,-0.108,-0.205,0.5012,0.7964,0.768,0.6411,0.6626,0.139,-0.2625,-0.5141,-0.4358,-0.6553,-0.6879,-0.6151,-0.6552,-0.5971,-0.8035,-0.9018,-0.5664,-0.5912,-0.6176,-0.3224,-0.4784,-0.129,0.2171,0.0371
0.027,-0.1629,-0.0385,-0.2334,-0.0776,-0.1765,0.5331,0.8145,0.7115,0.6805,0.6278,0.0706,-0.2577,-0.4421,-0.4276,-0.6908,-0.6864,-0.5871,-0.6277,-0.6239,-0.8041,-0.8736,-0.5069,-0.5456,-0.6174,-0.3006,-0.457,-0.1829,0.1935,0.0383
0.0675,-0.1584,-0.0486,-0.2312,-0.0744,-0.1712,0.5266,0.7778,0.632,0.6782,0.5633,-0.0007,-0.2608,-0.3793,-0.375,-0.7119,-0.6562,-0.5205,-0.5688,-0.6465,-0.8035,-0.8168,-0.4193,-0.4936,-0.5937,-0.2599,-0.4225,-0.2285,0.1751,0.0523
0.1279,-0.1497,-0.0662,-0.2295,-0.0882,-0.1825,0.4911,0.6947,0.5407,0.6386,0.4766,-0.0718,-0.2693,-0.3316,-0.2913,-0.7184,-0.6074,-0.4215,-0.4912,-0.662,-0.8012,-0.7434,-0.3167,-0.4471,-0.5534,-0.2139,-0.3864,-0.2735,0.1632,0.0741
0.2021,-0.1281,-0.0895,-0.2197,-0.1059,-0.201,0.4377,0.5796,0.4489,0.5702,0.3774,-0.1389,-0.2803,-0.3011,-0.1937,-0.7096,-0.5493,-0.3025,-0.4085,-0.6658,-0.7945,-0.6668,-0.2129,-0.4174,-0.5059,-0.1769,-0.3606,-0.3248,0.1601,0.0989
0.2823,-0.0853,-0.1116,-0.1945,-0.1159,-0.2182,0.377,0.4491,0.3656,0.483,0.2768,-0.1971,-0.2913,-0.2872,-0.1012,-0.6852,-0.489,-0.1804,-0.3327,-0.6541,-0.781,-0.5998,-0.121,-0.4127,-0.4623,-0.1609,-0.3545,-0.3856,0.1685,0.1222
