FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.0962,-0.8156,0.3293,-1.1659,-1.0433,-0.1544,-0.3716,-0.3571,-0.6126,0.1442,0.4669,1.2666,0.4941,0.06,-0.1689,-0.5771,0.1152,-0.6725,0.6107,-0.3302,-0.2865,0.8002,0.0804,0.6988,0.3089,0.6412,0.8529,0.9658,0.2496,-2.1885
-0.0712,-0.5497,0.3477,-0.9455,-0.8174,0.0188,-0.2168,-0.2966,-0.4471,0.3526,0.6168,1.2465,0.4976,-0.041,-0.2893,-0.4674,-0.1771,-0.6859,0.1951,-0.3655,-0.4381,0.2568,-0.1107,0.5888,0.393,0.7307,0.8672,0.9359,0.482,-2.3624
-0.0445,-0.3048,0.366,-0.7332,-0.5917,0.189,-0.05,-0.2184,-0.2748,0.5554,0.7559,1.2199,0.5268,-0.1013,-0.4012,-0.3672,-0.4343,-0.7077,-0.1812,-0.3871,-0.5489,-0.2226,-0.2802,0.5174,0.4843,0.828,0.8968,0.9114,0.6878,-2.5105
-0.0086,-0.0897,0.3904,-0.5315,-0.3658,0.3536,0.1339,-0.1111,-0.0929,0.7444,0.8744,1.1846,0.5991,-0.0893,-0.49,-0.2795,-0.6246,-0.7383,-0.4848,-0.3809,-0.5853,-0.5854,-0.408,0.5118,0.5858,0.9364,0.9499,0.8966,0.8468,-2.6276
0.0397,0.088,0.4206,-0.3424,-0.1418,0.5051,0.3305,0.0256,0.0928,0.9079,0.9613,1.1374,0.7212,0.0129,-0.5459,-0.2044,-0.727,-0.7733,-0.6879,-0.3343,-0.5242,-0.7931,-0.4771,0.5852,0.6965,1.0539,1.0275,0.8923,0.9448,-2.7018
0.0994,0.2245,0.4511,-0.167,0.0753,0.6332,0.5248,0.1796,0.2677,1.0317,1.005,1.0744,0.8866,0.2056,-0.5638,-0.1377,-0.7337,-0.8027,-0.7718,-0.2382,-0.3577,-0.8276,-0.4758,0.7337,0.8099,1.1717,1.1216,0.8944,0.9763,-2.7172
0.1683,0.3218,0.4748,-0.0046,0.2788,0.7271,0.6949,0.3299,0.4111,1.1007,0.9966,0.9917,1.0759,0.4704,-0.5405,-0.0714,-0.6492,-0.8116,-0.7304,-0.0889,-0.0947,-0.694,-0.3992,0.936,0.9151,1.2757,1.2159,0.8952,0.9439,-2.6606
0.2457,0.3907,0.4886,0.1477,0.4619,0.7803,0.8173,0.4522,0.5019,1.1038,0.9327,0.8873,1.2602,0.7739,-0.4725,0.0058,-0.488,-0.7822,-0.5724,0.1104,0.2393,-0.4201,-0.2509,1.1575,0.998,1.3484,1.2885,0.8847,0.8582,-2.5315
0.3351,0.4503,0.4978,0.2956,0.6199,0.7941,0.8734,0.5258,0.5252,1.037,0.8181,0.7626,1.4073,1.074,-0.3539,0.1067,-0.2704,-0.6978,-0.3208,0.3492,0.6065,-0.0515,-0.0423,1.3569,1.0448,1.3737,1.317,0.8534,0.7357,-2.3478
0.4442,0.5252,0.5155,0.4457,0.7513,0.7785,0.8552,0.5391,0.4768,0.9067,0.6667,0.6233,1.4887,1.3281,-0.1774,0.2424,-0.0183,-0.5481,-0.0094,0.6111,0.9638,0.3572,0.208,1.4952,1.0452,1.3406,1.2834,0.7953,0.5958,-2.1464
