FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.906,-1.0263,-0.5847,-0.4701,0.9379,0.2968,1.5457,1.1207,1.1868,1.5278,1.2206,0.7309,0.8864,0.6991,-1.2207,-1.1704,-1.3771,-1.2109,-1.0197,-0.7642,0.2602,-0.2144,-0.4157,0.6158,0.5191,0.9376,1.045,1.1003,-0.7385,-0.7084
-0.7202,-0.738,-0.4568,-0.2845,0.8625,0.2678,1.233,0.7521,0.8543,1.2029,0.9418,0.5988,0.8644,0.7039,-0.9964,-0.8323,-1.0647,-0.9328,-0.7999,-0.5086,0.3526,-0.1771,-0.2601,0.6915,0.6047,0.9604,1.0538,1.0294,-0.6454,-0.5665
-0.5438,-0.4625,-0.3347,-0.1108,0.7882,0.2434,0.9352,0.4179,0.5451,0.8878,0.6746,0.4715,0.8314,0.6912,-0.7774,-0.5102,-0.7693,-0.6734,-0.5999,-0.2667,0.4287,-0.1542,-0.1226,0.7482,0.6751,0.9713,1.0492,0.9556,-0.5553,-0.4397
-0.3855,-0.2147,-0.2246,0.0368,0.7128,0.2274,0.6664,0.1482,0.2788,0.5936,0.4299,0.3534,0.7783,0.6454,-0.5719,-0.2234,-0.508,-0.4499,-0.4382,-0.0574,0.469,-0.1583,-0.0195,0.7692,0.717,0.9595,1.0206,0.8761,-0.4725,-0.3395
-0.2536,-0.0105,-0.1332,0.1434,0.6304,0.2204,0.4373,-0.0358,0.0699,0.3304,0.217,0.2463,0.6973,0.555,-0.3902,0.0077,-0.2962,-0.2765,-0.3292,0.098,0.4558,-0.1985,0.0365,0.7415,0.719,0.9158,0.958,0.7865,-0.4013,-0.2738
-0.1543,0.1353,-0.0668,0.1958,0.5327,0.2193,0.2546,-0.1249,-0.0736,0.1064,0.0426,0.1495,0.5837,0.4154,-0.2434,0.1645,-0.1459,-0.1615,-0.2807,0.1795,0.3757,-0.2784,0.038,0.6584,0.6731,0.834,0.8542,0.6827,-0.3455,-0.2456
-0.091,0.2121,-0.03,0.1856,0.4114,0.2191,0.1207,-0.1222,-0.1509,-0.0723,-0.0892,0.0615,0.4377,0.2298,-0.1411,0.2345,-0.0628,-0.1068,-0.292,0.173,0.2234,-0.3941,-0.0151,0.5207,0.5773,0.7127,0.7074,0.5622,-0.3075,-0.2524
-0.063,0.2168,-0.0253,0.1117,0.2618,0.214,0.0338,-0.0427,-0.1684,-0.202,-0.1768,-0.0188,0.2655,0.0101,-0.0892,0.2151,-0.0454,-0.1067,-0.3532,0.0761,0.0042,-0.534,-0.1151,0.3382,0.4366,0.5567,0.5234,0.4268,-0.2881,-0.2857
-0.0659,0.1556,-0.0518,-0.0181,0.0856,0.1991,-0.0106,0.0898,-0.1385,-0.2822,-0.2213,-0.0907,0.0794,-0.2249,-0.0883,0.1157,-0.0845,-0.1502,-0.447,-0.0992,-0.2645,-0.6797,-0.2468,0.1283,0.2638,0.3776,0.3167,0.2835,-0.2862,-0.3334
-0.0915,0.0444,-0.105,-0.186,-0.1076,0.1727,-0.0191,0.2469,-0.0776,-0.3147,-0.2261,-0.151,-0.1028,-0.4512,-0.1322,-0.0419,-0.1645,-0.2222,-0.551,-0.3258,-0.5544,-0.8087,-0.3896,-0.0851,0.0785,0.1926,0.1096,0.1437,-0.299,-0.3818
-0.1292,-0.0933,-0.1763,-0.3672,-0.3002,0.1363,0.0006,0.4002,-0.0036,-0.3039,-0.1968,-0.1947,-0.2605,-0.6436,-0.2083,-0.2266,-0.2654,-0.307,-0.6417,-0.5655,-0.83,-0.8978,-0.5209,-0.276,-0.0959,0.0216,-0.0719,0.0215,-0.3223,-0.4183
