FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
1.5359,1.7923,1.0504,1.7374,1.4139,0.8883,0.6368,-0.1439,-0.0051,0.5377,0.3227,0.3984,1.1809,1.7585,1.5678,2.2993,1.8149,1.2179,1.6937,2.3141,2.1798,1.2739,0.8326,0.737,0.236,-0.0178,0.588,0.3844,-0.4655,-0.766
1.5752,1.8899,1.0696,1.8446,1.4755,0.9293,0.7118,-0.1031,0.0374,0.5966,0.3999,0.4891,1.2654,1.8664,1.6158,2.3893,1.8223,1.2133,1.7621,2.411,2.275,1.3344,0.8623,0.8048,0.2328,0.0109,0.6711,0.4701,-0.4397,-0.8726
1.6003,1.9639,1.0891,1.9254,1.5111,0.955,0.7607,-0.076,0.0579,0.6222,0.4484,0.5546,1.3136,1.9338,1.6414,2.4463,1.7912,1.185,1.7992,2.4763,2.337,1.3662,0.8751,0.8526,0.2159,0.0286,0.727,0.5248,-0.3993,-0.9665
1.6152,2.0188,1.1201,1.9831,1.5262,0.9695,0.7844,-0.0624,0.0577,0.6134,0.4644,0.5915,1.3272,1.9645,1.6413,2.4769,1.7371,1.1374,1.8096,2.5183,2.3725,1.3711,0.8701,0.8793,0.1871,0.035,0.7549,0.5454,-0.3461,-1.0391
1.6285,2.0642,1.1736,2.0264,1.5321,0.9798,0.7905,-0.0587,0.0442,0.5777,0.4523,0.6032,1.315,1.9694,1.6203,2.4948,1.6816,1.0814,1.8056,2.5507,2.3938,1.3585,0.8504,0.8881,0.1505,0.0321,0.7591,0.535,-0.2835,-1.0857
1.6521,2.1117,1.2586,2.0682,1.5437,0.9951,0.7913,-0.0588,0.029,0.5291,0.4238,0.5985,1.2909,1.9644,1.5927,2.519,1.6497,1.0334,1.8051,2.591,2.416,1.3431,0.8236,0.8861,0.1117,0.0239,0.7477,0.5018,-0.2163,-1.1072
1.6974,2.1731,1.3782,2.1221,1.5767,1.0253,0.8007,-0.0557,0.0243,0.4853,0.3938,0.5893,1.2712,1.9666,1.5793,2.5701,1.6646,1.0127,1.8283,2.6564,2.4542,1.3423,0.8003,0.8827,0.0769,0.0151,0.7307,0.4565,-0.1508,-1.1111
1.7723,2.2569,1.5268,2.1995,1.6435,1.0782,0.8306,-0.0435,0.0396,0.4625,0.3764,0.5871,1.271,1.9905,1.6025,2.6662,1.7436,1.0378,1.8929,2.7601,2.5197,1.3724,0.7927,0.8876,0.052,0.0106,0.718,0.4105,-0.0937,-1.1099
1.8785,2.3665,1.6887,2.3059,1.7499,1.1575,0.8871,-0.0186,0.0783,0.4718,0.3797,0.5993,1.3009,2.0451,1.6786,2.8179,1.8951,1.1211,2.0105,2.9079,2.6173,1.4446,0.8115,0.9087,0.042,0.0147,0.7176,0.374,-0.0514,-1.1181
2.0104,2.5,1.8398,2.4396,1.8929,1.2612,0.9692,0.0189,0.1368,0.5157,0.4039,0.6277,1.3649,2.1316,1.8126,3.0248,2.1163,1.2655,2.1834,3.0959,2.744,1.5631,0.8641,0.951,0.0502,0.0307,0.7347,0.3547,-0.0283,-1.1478
2.1557,2.6499,1.9525,2.5919,2.0605,1.3807,1.0687,0.0657,0.2052,0.5882,0.4407,0.668,1.4595,2.2443,1.9945,3.2749,2.394,1.4617,2.4033,3.3105,2.8891,1.7232,0.9527,1.0156,0.0779,0.0609,0.7711,0.3575,-0.0256,-1.2058
2.2974,2.8049,2.003,2.7479,2.2339,1.5019,1.1724,0.1162,0.2709,0.6772,0.4772,0.7117,1.5752,2.3713,2.2016,3.5452,2.7052,1.689,2.6526,3.5305,3.0368,1.9131,1.0745,1.1003,0.1245,0.1059,0.8259,0.3833,-0.0408,-1.2915
2.4153,2.9504,1.9772,2.8893,2.3907,1.6069,1.2658,0.164,0.3219,0.7682,0.5001,0.7497,1.699,2.498,2.4026,3.805,3.0203,1.9182,2.9061,3.7299,3.1685,2.1146,1.2211,1.2005,0.1878,0.1654,0.8961,0.4305,-0.0682,-1.3972
2.4892,3.0698,1.8743,2.9961,2.508,1.6771,1.3361,0.2036,0.3511,0.8483,0.5007,0.7751,1.8172,2.6089,2.5637,4.02,3.3054,2.1168,3.134,3.8816,3.2653,2.306,1.3798,1.3101,0.2646,0.238,0.9776,0.4947,-0.1001,-1.5095
