FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-1.1398,-0.7355,-0.767,-0.6444,-1.4043,-0.752,-0.6874,-0.3949,0.1339,-0.4249,-0.1625,-0.4232,-0.9276,-1.5031,-0.6921,-1.2874,-1.4728,-0.403,-1.8316,-1.562,-1.5989,-2.2372,-1.8347,-1.0645,-0.557,-0.4666,-0.637,-0.2989,-0.1989,-0.4856
-0.9637,-0.6475,-0.5218,-0.6438,-1.1631,-0.6541,-0.5742,-0.2199,0.0722,-0.3917,-0.2071,-0.3961,-0.7112,-1.0284,-0.6502,-1.0518,-1.3381,-0.3784,-1.6134,-1.2664,-1.2342,-1.8736,-1.5501,-0.7124,-0.3791,-0.2785,-0.4817,-0.249,-0.3025,-0.4749
-0.8061,-0.5673,-0.2991,-0.6437,-0.9336,-0.5587,-0.45,-0.0439,0.0314,-0.3427,-0.2294,-0.3681,-0.5015,-0.5895,-0.6099,-0.835,-1.2112,-0.3626,-1.404,-0.9925,-0.8928,-1.5277,-1.2835,-0.385,-0.219,-0.1159,-0.3356,-0.2107,-0.3973,-0.4652
-0.6844,-0.504,-0.1238,-0.6452,-0.7282,-0.4706,-0.3085,0.1298,0.0271,-0.2674,-0.2152,-0.3375,-0.3051,-0.2175,-0.5755,-0.6554,-1.1,-0.3639,-1.2128,-0.7606,-0.5969,-1.2139,-1.0476,-0.1028,-0.0891,0.0034,-0.2038,-0.1896,-0.4794,-0.4589
-0.6102,-0.4649,-0.0129,-0.651,-0.5574,-0.3941,-0.1491,0.296,0.0683,-0.1617,-0.1589,-0.3016,-0.1279,0.0655,-0.5515,-0.5268,-1.0111,-0.3853,-1.0481,-0.5851,-0.3637,-0.943,-0.8508,0.1197,0.0036,0.0709,-0.0885,-0.1855,-0.5465,-0.4572
-0.5868,-0.4546,0.0276,-0.6649,-0.4281,-0.332,0.0227,0.4482,0.1555,-0.0286,-0.064,-0.257,0.0256,0.2497,-0.5411,-0.4563,-0.9481,-0.4236,-0.915,-0.4727,-0.2034,-0.7204,-0.6956,0.2761,0.0588,0.0895,0.0118,-0.1916,-0.5984,-0.4596
-0.6089,-0.4737,0.0017,-0.6889,-0.3425,-0.2853,0.1966,0.5793,0.2813,0.1225,0.0579,-0.2006,0.1529,0.3379,-0.5452,-0.4429,-0.9109,-0.4701,-0.815,-0.4223,-0.1176,-0.5451,-0.5783,0.3678,0.0824,0.0716,0.1009,-0.1968,-0.6356,-0.4638
-0.6636,-0.5183,-0.0781,-0.7222,-0.2972,-0.2527,0.3594,0.6833,0.4318,0.2778,0.1902,-0.1307,0.2532,0.3436,-0.5622,-0.4779,-0.8945,-0.5131,-0.7446,-0.4255,-0.0999,-0.4112,-0.4907,0.4035,0.0842,0.0353,0.1839,-0.1886,-0.6594,-0.4661
-0.7339,-0.5816,-0.195,-0.7609,-0.2848,-0.2319,0.4967,0.7562,0.5886,0.4213,0.3145,-0.0486,0.3264,0.2868,-0.588,-0.5473,-0.8902,-0.5413,-0.697,-0.4694,-0.1378,-0.3098,-0.4217,0.3957,0.0754,0.0002,0.264,-0.1574,-0.6712,-0.4627
-0.803,-0.6555,-0.3311,-0.7985,-0.2958,-0.2202,0.5944,0.7964,0.7311,0.5369,0.4141,0.0407,0.3716,0.1889,-0.6171,-0.6348,-0.888,-0.5468,-0.6639,-0.5402,-0.2162,-0.2317,-0.3611,0.3572,0.0654,-0.0182,0.3412,-0.0995,-0.673,-0.4508
-0.858,-0.7321,-0.4704,-0.8278,-0.3213,-0.2165,0.6404,0.8045,0.8393,0.6101,0.4761,0.1282,0.3856,0.0675,-0.6442,-0.725,-0.8786,-0.527,-0.6375,-0.6254,-0.3206,-0.1711,-0.3017,0.2976,0.06,-0.0113,0.4101,-0.0191,-0.6672,-0.4297
-0.8914,-0.8047,-0.6001,-0.8425,-0.3549,-0.2206,0.6264,0.7823,0.8964,0.63,0.4933,0.2021,0.3629,-0.0657,-0.6648,-0.8058,-0.8565,-0.4854,-0.613,-0.7157,-0.4395,-0.1266,-0.2418,0.2214,0.0596,0.0204,0.4606,0.0719,-0.6563,-0.4008
-0.9022,-0.8677,-0.7105,-0.8385,-0.3927,-0.233,0.5497,0.7336,0.8919,0.5912,0.4649,0.2505,0.2977,-0.2057,-0.6762,-0.8695,-0.8202,-0.4303,-0.5886,-0.8051,-0.5649,-0.1015,-0.1857,0.1278,0.0604,0.0681,0.4793,0.1563,-0.6431,-0.3682
-0.8932,-0.9163,-0.7941,-0.8147,-0.4325,-0.2542,0.415,0.6633,0.8237,0.4954,0.3967,0.2637,0.1864,-0.3519,-0.6776,-0.9124,-0.7725,-0.3726,-0.5659,-0.8898,-0.692,-0.1021,-0.1428,0.0126,0.0549,0.1173,0.4528,0.2153,-0.6294,-0.3365
-0.8687,-0.9462,-0.8454,-0.7729,-0.4722,-0.2826,0.2353,0.5773,0.6984,0.3519,0.2997,0.2373,0.0304,-0.505,-0.6689,-0.9339,-0.7186,-0.3233,-0.5475,-0.9666,-0.8169,-0.1349,-0.1243,-0.1283,0.0352,0.1512,0.3714,0.2324,-0.6153,-0.3103
-0.8319,-0.9533,-0.8602,-0.717,-0.5086,-0.3149,0.0304,0.4827,0.5309,0.1767,0.1884,0.1729,-0.1618,-0.6637,-0.6504,-0.9346,-0.664,-0.2906,-0.5356,-1.0315,-0.9347,-0.2028,-0.1394,-0.2958,-0.0054,0.1548,0.2324,0.1976,-0.5991,-0.292
-0.7836,-0.9336,-0.8369,-0.6511,-0.5363,-0.3454,-0.1755,0.3864,0.3416,-0.0095,0.0775,0.0786,-0.374,-0.822,-0.6218,-0.9153,-0.6122,-0.2784,-0.5302,-1.0784,-1.0382,-0.3024,-0.1917,-0.4845,-0.0694,0.1182,0.0428,0.1094,-0.5777,-0.2817
-0.7221,-0.8833,-0.7766,-0.578,-0.5478,-0.3666,-0.3572,0.2955,0.1534,-0.1847,-0.0202,-0.0321,-0.5839,-0.9684,-0.5817,-0.8749,-0.5632,-0.2849,-0.528,-1.0991,-1.1167,-0.4222,-0.2761,-0.6813,-0.154,0.0391,-0.1804,-0.0242,-0.5467,-0.2767
-0.6441,-0.7985,-0.6827,-0.4976,-0.5349,-0.3709,-0.4926,0.2158,-0.012,-0.3284,-0.0957,-0.1429,-0.7655,-1.086,-0.5274,-0.8105,-0.5134,-0.3029,-0.5221,-1.0834,-1.1562,-0.5433,-0.3785,-0.8656,-0.2509,-0.0761,-0.411,-0.1864,-0.5018,-0.2728
-0.5466,-0.6767,-0.5603,-0.4071,-0.4906,-0.3515,-0.5665,0.1517,-0.1381,-0.4249,-0.1449,-0.2369,-0.8934,-1.1557,-0.4561,-0.7188,-0.4564,-0.3211,-0.504,-1.022,-1.1423,-0.6421,-0.4778,-1.0115,-0.3465,-0.2128,-0.6174,-0.3538,-0.4398,-0.2649
-0.429,-0.5184,-0.4154,-0.3034,-0.4121,-0.3054,-0.5731,0.1043,-0.2161,-0.4659,-0.168,-0.2998,-0.9471,-1.1598,-0.3666,-0.5976,-0.3859,-0.3272,-0.4658,-0.9092,-1.0632,-0.696,-0.5511,-1.0933,-0.4245,-0.3503,-0.7683,-0.5008,-0.3598,-0.2491
