FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
1.0134,1.0736,0.4638,1.2645,1.1668,0.9857,0.8287,0.3291,0.4145,0.9002,0.7019,0.8356,1.1142,1.4153,0.8637,1.3259,1.0853,0.3576,0.9833,1.4799,1.4214,1.0041,0.9333,1.2361,0.575,1.0189,1.3943,0.8699,-0.17,-0.22
0.924,0.9705,0.3553,1.1975,1.1274,0.9569,0.8708,0.3244,0.3895,0.9509,0.7149,0.8101,1.1449,1.4364,0.7765,1.2807,1.1126,0.3244,1.0518,1.4248,1.3912,1.0876,1.0061,1.2928,0.5898,1.0205,1.434,0.8094,-0.192,-0.1994
0.8112,0.8356,0.2292,1.0726,1.0352,0.8754,0.8633,0.2702,0.3337,0.9514,0.6889,0.7474,1.1258,1.4009,0.6607,1.1954,1.1135,0.2774,1.0955,1.3198,1.3122,1.1514,1.0529,1.2987,0.5779,0.9892,1.4169,0.7058,-0.2114,-0.1608
0.6932,0.6835,0.0951,0.9068,0.902,0.7477,0.8047,0.1628,0.249,0.8984,0.6252,0.6527,1.0593,1.3158,0.5347,1.0828,1.0945,0.2262,1.1133,1.1839,1.1962,1.1938,1.0733,1.2542,0.5431,0.9311,1.3437,0.5691,-0.2267,-0.1119
0.5895,0.5296,-0.0374,0.72,0.7431,0.5851,0.6984,0.0075,0.14,0.7935,0.5278,0.5322,0.9506,1.1918,0.4188,0.9579,1.0636,0.18,1.107,1.0381,1.0572,1.2152,1.0686,1.1631,0.49,0.851,1.219,0.4083,-0.2361,-0.0631
0.5172,0.3894,-0.1585,0.5332,0.5767,0.4035,0.5538,-0.1801,0.0142,0.6447,0.4043,0.3926,0.8088,1.0436,0.3313,0.8372,1.0298,0.1458,1.0829,0.9036,0.9111,1.2191,1.0429,1.0337,0.4239,0.7526,1.0516,0.232,-0.2377,-0.0251
0.4897,0.2782,-0.258,0.368,0.4228,0.2242,0.3865,-0.3757,-0.1176,0.4669,0.2653,0.2427,0.6477,0.8886,0.2854,0.7377,1.0026,0.128,1.0511,0.8001,0.7757,1.2126,1.0031,0.8784,0.3509,0.6396,0.8556,0.0489,-0.2308,-0.0064
0.5149,0.2109,-0.3245,0.245,0.3028,0.071,0.2176,-0.5502,-0.2419,0.2808,0.1244,0.0931,0.4855,0.7465,0.2881,0.6755,0.991,0.1279,1.0252,0.7444,0.67,1.2055,0.9589,0.7143,0.2777,0.5184,0.6501,-0.1298,-0.2155,-0.0119
0.5958,0.2004,-0.3472,0.1821,0.2364,-0.0317,0.0708,-0.6758,-0.3445,0.11,-0.0035,-0.0432,0.3431,0.6373,0.3403,0.6649,1.0029,0.1442,1.0193,0.7496,0.6125,1.208,0.921,0.5612,0.2115,0.398,0.4576,-0.2908,-0.1939,-0.0424
0.7306,0.2568,-0.3168,0.1924,0.24,-0.0641,-0.0316,-0.7317,-0.4126,-0.0226,-0.1042,-0.1528,0.2411,0.5789,0.4385,0.7171,1.0448,0.1745,1.0451,0.8238,0.6188,1.2288,0.8989,0.4385,0.1586,0.2897,0.301,-0.419,-0.1688,-0.0947
0.9151,0.3861,-0.2274,0.2825,0.3242,-0.0132,-0.0721,-0.7087,-0.4368,-0.0991,-0.1662,-0.2232,0.1961,0.5842,0.5774,0.8392,1.1209,0.2161,1.1092,0.9696,0.6988,1.2725,0.8996,0.3627,0.1229,0.2055,0.1997,-0.5004,-0.1436,-0.1635
1.1428,0.5893,-0.0777,0.4528,0.4923,0.1246,-0.0412,-0.6104,-0.413,-0.1098,-0.1825,-0.2456,0.2186,0.6593,0.7513,1.0338,1.2337,0.2679,1.2127,1.1845,0.8552,1.3395,0.9262,0.3443,0.1061,0.1557,0.1666,-0.524,-0.1213,-0.2419
1.406,0.862,0.1285,0.6969,0.7396,0.3432,0.0614,-0.4518,-0.3426,-0.0542,-0.1516,-0.2164,0.3101,0.8024,0.9551,1.2982,1.3839,0.3294,1.3512,1.4603,1.0823,1.4268,0.9784,0.386,0.1077,0.1469,0.2051,-0.4852,-0.1038,-0.3235
1.6948,1.1929,0.3817,1.0021,1.0524,0.627,0.2262,-0.2557,-0.2327,0.0583,-0.0782,-0.1387,0.463,1.0034,1.1827,1.6227,1.5692,0.4006,1.5165,1.7829,1.3657,1.5294,1.0529,0.4827,0.1256,0.1809,0.3088,-0.3869,-0.092,-0.4022
1.9954,1.5623,0.6668,1.3476,1.4076,0.9516,0.4342,-0.0485,-0.0956,0.2101,0.0272,-0.0219,0.6602,1.2437,1.4251,1.9885,1.7825,0.4796,1.6967,2.1314,1.6826,1.6406,1.1438,0.6212,0.1571,0.2533,0.4616,-0.2403,-0.0857,-0.4728
2.2886,1.9407,0.9619,1.704,1.7724,1.2847,0.6594,0.1439,0.0522,0.3779,0.1489,0.1183,0.8771,1.4972,1.6678,2.3667,2.0102,0.5616,1.8763,2.4768,2.0025,1.7517,1.242,0.7822,0.1992,0.3546,0.6404,-0.0636,-0.0839,-0.5306
2.55,2.2891,1.2387,2.0325,2.1058,1.588,0.8708,0.2988,0.1913,0.5353,0.2685,0.2632,1.0835,1.7323,1.8911,2.718,2.2303,0.6377,2.0356,2.7831,2.2891,1.8505,1.335,0.9419,0.2485,0.4714,0.8185,0.1207,-0.0857,-0.5719
2.7512,2.5623,1.4643,2.2886,2.3632,1.8208,1.037,0.3986,0.3024,0.6575,0.3668,0.3928,1.2485,1.9152,2.071,2.9967,2.4143,0.6958,2.1517,3.0102,2.5038,1.9216,1.4077,1.0758,0.3012,0.5885,0.9697,0.2896,-0.0905,-0.5937
2.8644,2.7158,1.604,2.4282,2.5021,1.9453,1.1308,0.4316,0.3686,0.725,0.4279,0.4902,1.3444,2.0143,2.1834,3.1567,2.5309,0.722,2.2011,3.1196,2.6109,1.948,1.444,1.1623,0.353,0.6919,1.073,0.4232,-0.098,-0.5953
2.8681,2.7142,1.6285,2.4161,2.4907,1.9335,1.1343,0.3925,0.3789,0.7273,0.4421,0.5437,1.3528,2.0063,2.2087,3.1603,2.552,0.7034,2.164,3.0818,2.5838,1.9144,1.4303,1.1866,0.3993,0.7706,1.1161,0.5079,-0.1081,-0.5775
2.7519,2.5408,1.5201,2.234,2.3151,1.7735,1.0419,0.2832,0.3307,0.6645,0.408,0.55,1.268,1.8809,2.1363,2.9865,2.4593,0.6307,2.0296,2.8837,2.4113,1.812,1.3584,1.1434,0.4358,0.8184,1.0972,0.5386,-0.1206,-0.5436
2.5208,2.2028,1.2792,1.8867,1.9846,1.4744,0.8626,0.1146,0.2308,0.5478,0.333,0.5137,1.099,1.644,1.9667,2.638,2.2493,0.5009,1.7995,2.5332,2.101,1.6414,1.2284,1.0386,0.4587,0.8335,1.0253,0.5181,-0.1347,-0.4974
2.1952,1.733,0.9267,1.4039,1.5324,1.0668,0.6183,-0.0941,0.0943,0.3972,0.2316,0.4465,0.8682,1.318,1.7132,2.1425,1.9354,0.3184,1.4887,2.0603,1.6804,1.4134,1.0486,0.8871,0.4647,0.8186,0.9173,0.4567,-0.1492,-0.4434
1.8087,1.1853,0.5023,0.8362,1.0112,0.5989,0.34,-0.3163,-0.0583,0.2367,0.1217,0.364,0.6067,0.9376,1.3993,1.5502,1.5466,0.0959,1.1242,1.5136,1.1931,1.1472,0.8341,0.7095,0.4507,0.7783,0.7941,0.3683,-0.1627,-0.3855
1.403,0.6259,0.0582,0.2478,0.4842,0.1285,0.0623,-0.5231,-0.2059,0.0895,0.0205,0.2814,0.3485,0.5443,1.057,0.9262,1.1232,-0.1473,0.7408,0.9521,0.6917,0.8667,0.6036,0.5274,0.4138,0.7175,0.6755,0.2672,-0.1736,-0.3273
1.0215,0.1217,-0.3502,-0.2943,0.0135,-0.2877,-0.1838,-0.6879,-0.3301,-0.0268,-0.0594,0.21,0.1232,0.1785,0.7222,0.3397,0.7101,-0.3872,0.375,0.4362,0.2292,0.5954,0.3758,0.3581,0.3509,0.6399,0.5756,0.165,-0.1802,-0.2722
0.7044,-0.2697,-0.6732,-0.7306,-0.3494,-0.6033,-0.3747,-0.792,-0.4185,-0.1032,-0.112,0.1552,-0.0489,-0.1268,0.4308,-0.1467,0.3505,-0.5988,0.0601,0.0178,-0.1493,0.3533,0.1669,0.2126,0.2597,0.5476,0.5005,0.0692,-0.1808,-0.2242
0.4842,-0.5085,-0.8743,-1.0173,-0.5707,-0.7887,-0.4976,-0.8271,-0.4653,-0.1389,-0.137,0.1178,-0.1584,-0.3491,0.2152,-0.4851,0.0797,-0.7594,-0.1774,-0.2655,-0.4123,0.1553,-0.011,0.0945,0.1402,0.4425,0.4487,-0.0159,-0.1736,-0.1878
0.3842,-0.5761,-0.9342,-1.1309,-0.6364,-0.8329,-0.5491,-0.7949,-0.4696,-0.1391,-0.1379,0.0957,-0.2066,-0.4781,0.1002,-0.6477,-0.0779,-0.852,-0.3206,-0.3939,-0.5435,0.0113,-0.1493,0.0027,-0.004,0.3287,0.4141,-0.0869,-0.1567,-0.1679
0.4165,-0.4751,-0.8519,-1.0693,-0.5506,-0.7423,-0.534,-0.7048,-0.4347,-0.1123,-0.1194,0.087,-0.202,-0.5143,0.1006,-0.6277,-0.1111,-0.8678,-0.3622,-0.3654,-0.5422,-0.0734,-0.2431,-0.0666,-0.1646,0.2136,0.3887,-0.1396,-0.129,-0.1688
0.5806,-0.2264,-0.6437,-0.8498,-0.3329,-0.5376,-0.4627,-0.5713,-0.3662,-0.0675,-0.0853,0.0907,-0.1584,-0.4681,0.2179,-0.439,-0.023,-0.8077,-0.3055,-0.1947,-0.4206,-0.0982,-0.2912,-0.1178,-0.3296,0.1066,0.3653,-0.17,-0.0905,-0.1929
0.8616,0.1341,-0.3404,-0.5062,-0.0144,-0.2499,-0.3504,-0.4116,-0.2721,-0.0138,-0.0392,0.1065,-0.0922,-0.3577,0.4395,-0.1134,0.1695,-0.6835,-0.1645,0.0896,-0.2027,-0.0682,-0.2966,-0.156,-0.485,0.0174,0.3382,-0.1751,-0.0429,-0.2397
1.2299,0.561,0.0161,-0.0841,0.3654,0.0833,-0.2155,-0.2441,-0.1632,0.0395,0.0145,0.133,-0.0216,-0.2078,0.7387,0.3032,0.437,-0.5158,0.0369,0.4481,0.0791,0.0045,-0.2675,-0.187,-0.6182,-0.0466,0.3031,-0.155,0.01,-0.3052
1.6431,1.0042,0.3786,0.3656,0.763,0.4213,-0.0792,-0.0881,-0.0527,0.0829,0.0698,0.1664,0.0354,-0.047,1.0777,0.7567,0.7408,-0.3317,0.2672,0.8344,0.3859,0.1016,-0.2169,-0.2176,-0.7194,-0.0826,0.2571,-0.1144,0.0629,-0.3818
2.0504,1.4147,0.7008,0.7922,1.1342,0.7252,0.0363,0.038,0.0438,0.1063,0.1177,0.1997,0.0618,0.095,1.4131,1.1907,1.0377,-0.1604,0.4911,1.2004,0.6768,0.2008,-0.1609,-0.2552,-0.7839,-0.0924,0.1977,-0.062,0.1097,-0.4601
2.4005,1.749,0.9439,1.1513,1.4391,0.9607,0.1099,0.1177,0.1103,0.0997,0.1471,0.223,0.0439,0.1913,1.7017,1.5532,1.2848,-0.0289,0.6738,1.5016,0.9126,0.2791,-0.1166,-0.3073,-0.8118,-0.0823,0.1232,-0.0099,0.1445,-0.5299
2.6494,1.9735,1.081,1.4089,1.6452,1.1024,0.1247,0.1388,0.1327,0.0549,0.1467,0.2252,-0.0276,0.2207,1.9073,1.8021,1.4456,0.0426,0.7861,1.7017,1.0609,0.3166,-0.0992,-0.3797,-0.808,-0.0621,0.0324,0.0279,0.1628,-0.583
2.7676,2.0663,1.1006,1.5428,1.7308,1.135,0.0702,0.0956,0.1012,-0.0326,0.1073,0.1958,-0.1552,0.1708,2.0054,1.9088,1.4938,0.0428,0.8077,1.7756,1.0993,0.2997,-0.1204,-0.476,-0.7807,-0.043,-0.0751,0.0379,0.1624,-0.6139
2.7441,2.0175,1.0062,1.5429,1.6863,1.0548,-0.0549,-0.0091,0.0132,-0.1622,0.0247,0.1284,-0.3344,0.0396,1.9852,1.8601,1.4156,-0.0287,0.7286,1.7117,1.0186,0.2219,-0.1864,-0.5955,-0.7396,-0.0356,-0.198,0.0091,0.1435,-0.6207
2.5858,1.8287,0.8148,1.4099,1.5145,0.8691,-0.2424,-0.1641,-0.1259,-0.3267,-0.0986,0.0225,-0.5532,-0.1646,1.8491,1.6572,1.2104,-0.1632,0.5498,1.5111,0.8231,0.0851,-0.2975,-0.7333,-0.6943,-0.0481,-0.3326,-0.0637,0.1084,-0.6046
2.3139,1.5106,0.5517,1.1535,1.2298,0.5946,-0.4753,-0.3516,-0.3027,-0.5134,-0.2536,-0.1155,-0.7939,-0.4249,1.61,1.3137,0.8895,-0.3445,0.2812,1.1859,0.5288,-0.1029,-0.449,-0.8809,-0.6524,-0.0843,-0.473,-0.1791,0.061,-0.5685
1.9578,1.0809,0.2459,0.7908,0.8557,0.2545,-0.731,-0.5496,-0.4986,-0.706,-0.4266,-0.2741,-1.0363,-0.7192,1.2872,0.852,0.4728,-0.5536,-0.0604,0.7559,0.1596,-0.3302,-0.6327,-1.0279,-0.6194,-0.1435,-0.6117,-0.3292,0.0059,-0.5165
1.548,0.5615,-0.0761,0.3443,0.4215,-0.1244,-0.9854,-0.7361,-0.693,-0.888,-0.6023,-0.4394,-1.2617,-1.0246,0.9032,0.2999,-0.0149,-0.7726,-0.4545,0.2455,-0.2575,-0.5841,-0.8387,-1.1649,-0.5984,-0.2221,-0.7415,-0.5012,-0.0528,-0.453
1.1113,-0.0231,-0.3941,-0.16,-0.0416,-0.5157,-1.2174,-0.8921,-0.8677,-1.0463,-0.7677,-0.5984,-1.4559,-1.3218,0.48,-0.313,-0.547,-0.9874,-0.8795,-0.3199,-0.6966,-0.853,-1.0575,-1.2859,-0.5908,-0.3145,-0.8568,-0.6804,-0.1113,-0.3823
0.6683,-0.6465,-0.6959,-0.6939,-0.504,-0.8961,-1.4125,-1.0046,-1.0101,-1.1738,-0.9138,-0.7418,-1.6124,-1.5971,0.0383,-0.957,-1.0977,-1.1898,-1.3142,-0.915,-1.1362,-1.1271,-1.2808,-1.3888,-0.597,-0.4153,-0.9545,-0.8529,-0.1669,-0.3091
0.2333,-1.2812,-0.9767,-1.2295,-0.9404,-1.2474,-1.5647,-1.069,-1.1146,-1.2699,-1.0368,-0.8644,-1.7313,-1.8433,-0.4028,-1.6031,-1.6424,-1.3762,-1.7383,-1.5152,-1.5593,-1.3982,-1.5012,-1.4753,-0.6164,-0.5196,-1.0342,-1.0077,-0.2174,-0.2374
-0.1833,-1.8981,-1.2357,-1.7398,-1.332,-1.5572,-1.6755,-1.0886,-1.1819,-1.3396,-1.1369,-0.965,-1.8183,-2.058,-0.8254,-2.2229,-2.1578,-1.5454,-2.1323,-2.0954,-1.952,-1.6569,-1.7108,-1.5484,-0.6475,-0.6228,-1.0966,-1.137,-0.2611,-0.1711
-0.5717,-2.4667,-1.4724,-2.2006,-1.6662,-1.818,-1.7516,-1.0727,-1.2171,-1.3907,-1.2156,-1.0438,-1.8809,-2.2408,-1.2119,-2.7881,-2.621,-1.696,-2.4771,-2.6295,-2.3009,-1.8917,-1.8999,-1.6097,-0.6876,-0.7205,-1.1425,-1.236,-0.296,-0.1134
-0.92,-2.9563,-1.6829,-2.5903,-1.9355,-2.0254,-1.8013,-1.0337,-1.227,-1.4302,-1.2742,-1.101,-1.9254,-2.3905,-1.5445,-3.2708,-3.0094,-1.8243,-2.754,-3.0897,-2.5917,-2.0875,-2.0571,-1.6577,-0.7325,-0.8077,-1.1712,-1.3025,-0.3202,-0.0665
-1.2137,-3.3382,-1.8594,-2.8908,-2.1365,-2.1769,-1.8314,-0.9835,-1.2179,-1.4626,-1.3126,-1.1357,-1.9547,-2.5035,-1.8066,-3.645,-3.3027,-1.9239,-2.9465,-3.4487,-2.8089,-2.2277,-2.1696,-1.6874,-0.7778,-0.8798,-1.1808,-1.3358,-0.3314,-0.0317
-1.4366,-3.5889,-1.9911,-3.0881,-2.2676,-2.2703,-1.8453,-0.9308,-1.1951,-1.4882,-1.3297,-1.1462,-1.9684,-2.5739,-1.9843,-3.8893,-3.4841,-1.9869,-3.0426,-3.6825,-2.9382,-2.2974,-2.2265,-1.6922,-0.819,-0.933,-1.1695,-1.3372,-0.3281,-0.0098
-1.5739,-3.6939,-2.0678,-3.1737,-2.329,-2.3043,-1.8434,-0.881,-1.163,-1.5051,-1.3249,-1.1317,-1.9638,-2.596,-2.0687,-3.9902,-3.5443,-2.0062,-3.0377,-3.7754,-2.9704,-2.2877,-2.2211,-1.6666,-0.8525,-0.9653,-1.1368,-1.3093,-0.3101,-0.0007
-1.6149,-3.6513,-2.0831,-3.1467,-2.3223,-2.2798,-1.8248,-0.8372,-1.126,-1.5101,-1.2994,-1.0932,-1.9388,-2.5672,-2.0582,-3.9448,-3.4831,-1.9782,-2.9356,-3.7235,-2.9047,-2.1984,-2.1536,-1.6089,-0.8767,-0.9772,-1.0847,-1.2567,-0.2788,-0.0043
-1.5569,-3.4733,-2.0375,-3.0148,-2.2519,-2.2012,-1.7891,-0.8012,-1.0887,-1.5019,-1.2572,-1.0344,-1.8938,-2.4903,-1.9589,-3.7627,-3.3107,-1.9045,-2.7494,-3.5372,-2.7515,-2.0399,-2.0319,-1.5232,-0.8919,-0.9712,-1.0182,-1.1852,-0.2377,-0.0196
-1.4063,-3.1852,-1.9385,-2.7951,-2.1253,-2.0774,-1.7389,-0.7754,-1.0557,-1.4815,-1.2036,-0.9615,-1.8332,-2.3748,-1.7854,-3.4649,-3.0464,-1.7927,-2.4993,-3.2404,-2.5308,-1.8313,-1.8705,-1.4191,-0.9002,-0.9509,-0.9442,-1.1016,-0.1915,-0.0445
-1.1791,-2.8215,-1.7996,-2.5122,-1.9538,-1.9209,-1.6791,-0.7623,-1.0303,-1.4526,-1.1449,-0.8814,-1.7648,-2.2357,-1.5581,-3.0815,-2.7166,-1.6549,-2.2103,-2.867,-2.2696,-1.5975,-1.6882,-1.31,-0.9045,-0.9196,-0.8703,-1.012,-0.1456,-0.0758
-0.8982,-2.4199,-1.6366,-2.1948,-1.7516,-1.7468,-1.6171,-0.7637,-1.0135,-1.4206,-1.0862,-0.8007,-1.6985,-2.0906,-1.3006,-2.6477,-2.3504,-1.5059,-1.9076,-2.4551,-1.9963,-1.3648,-1.505,-1.2103,-0.9076,-0.8797,-0.8029,-0.9215,-0.1048,-0.1086
