FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-2.134,-2.44,-2.0561,-2.4234,-0.9464,-0.8012,0.3743,0.7285,0.1554,0.8571,0.5207,0.1443,-1.0719,-1.6787,-2.2081,-3.139,-2.2322,-2.1165,-3.2641,-2.4594,-2.5039,-2.5762,-1.8081,-0.9827,-0.7796,0.5191,-0.2996,0.5859,0.1073,-0.0614
-2.2989,-2.682,-2.105,-2.6461,-1.0264,-0.9085,0.0832,0.355,-0.2743,0.4523,0.0591,-0.2923,-1.384,-1.9362,-2.1995,-3.3603,-2.2859,-2.0191,-3.2485,-2.884,-2.7308,-2.5561,-1.8395,-1.2154,-0.977,-0.0466,-0.8458,-0.1611,0.0804,0.0616
-2.3921,-2.8217,-2.0701,-2.7523,-1.1073,-1.0298,-0.2852,-0.0837,-0.7699,-0.0869,-0.4763,-0.7543,-1.6868,-2.1382,-2.0825,-3.4086,-2.2152,-1.8424,-3.0892,-3.136,-2.8241,-2.4322,-1.8191,-1.3966,-1.1263,-0.6007,-1.374,-0.9049,0.0264,0.14
-2.3873,-2.8365,-1.9477,-2.7329,-1.1937,-1.1615,-0.7121,-0.5605,-1.294,-0.729,-1.0446,-1.2215,-1.9652,-2.2789,-1.8645,-3.2768,-2.0214,-1.6045,-2.7961,-3.2005,-2.7889,-2.2094,-1.7436,-1.5313,-1.2384,-1.1271,-1.8656,-1.6121,-0.0388,0.169
-2.2587,-2.7061,-1.7314,-2.5825,-1.2767,-1.2879,-1.1642,-1.0397,-1.8,-1.4176,-1.5958,-1.6681,-2.1958,-2.3479,-1.5572,-2.9693,-1.7164,-1.3234,-2.3843,-3.0733,-2.6328,-1.8966,-1.6077,-1.6214,-1.3247,-1.6109,-2.2977,-2.249,-0.0943,0.1526
-1.9915,-2.4222,-1.4173,-2.3033,-1.3362,-1.3862,-1.599,-1.4821,-2.2401,-2.0801,-2.0782,-2.0635,-2.3496,-2.3302,-1.1773,-2.505,-1.3232,-1.0132,-1.8734,-2.7638,-2.3649,-1.5062,-1.4033,-1.6624,-1.3889,-2.0352,-2.6425,-2.781,-0.1219,0.1028
-1.5921,-1.9964,-1.0106,-1.9095,-1.3476,-1.4323,-1.9715,-1.8513,-2.5729,-2.6406,-2.4474,-2.3755,-2.3977,-2.2105,-0.7479,-1.9191,-0.8735,-0.6835,-1.2875,-2.2969,-1.9961,-1.054,-1.1229,-1.6433,-1.4228,-2.3796,-2.8714,-3.1748,-0.1115,0.0379
-1.0921,-1.4638,-0.5296,-1.4293,-1.289,-1.4076,-2.2411,-2.1191,-2.769,-3.033,-2.672,-2.5739,-2.3184,-1.9788,-0.2972,-1.2621,-0.405,-0.34,-0.6563,-1.7141,-1.5422,-0.56,-0.7641,-1.5509,-1.4077,-2.6219,-2.9596,-3.4022,-0.066,-0.0219
-0.5453,-0.8801,-0.0066,-0.9041,-1.1482,-1.3026,-2.3788,-2.2674,-2.813,-3.2114,-2.7372,-2.6352,-2.1034,-1.6358,0.1425,-0.5957,0.0429,0.0123,-0.0164,-1.0715,-1.0268,-0.0485,-0.335,-1.3745,-1.3197,-2.7416,-2.8918,-3.4455,0,-0.0578
-0.0191,-0.314,0.5142,-0.3846,-0.9281,-1.1205,-2.3705,-2.2898,-2.7021,-3.1565,-2.644,-2.5451,-1.7611,-1.197,0.5374,0.0131,0.4326,0.3637,0.5892,-0.4347,-0.4831,0.4514,0.1428,-1.1114,-1.1378,-2.7235,-2.6665,-3.3005,0.0641,-0.0557
0.4192,0.1644,0.982,0.0755,-0.6484,-0.8774,-2.2186,-2.1899,-2.4444,-2.8758,-2.406,-2.3011,-1.3164,-0.6929,0.855,0.5009,0.7306,0.6964,1.1141,0.1282,0.0467,0.9078,0.6338,-0.7699,-0.8516,-2.5609,-2.2965,-2.9781,0.1031,-0.0097
0.7146,0.4953,1.3465,0.4273,-0.3424,-0.6007,-1.9408,-1.9813,-2.0556,-2.4,-2.0452,-1.913,-0.8075,-0.1655,1.0673,0.8163,0.9112,0.9838,1.5139,0.5566,0.5166,1.2887,1.0939,-0.3691,-0.4655,-2.2555,-1.807,-2.5014,0.1002,0.0767
0.8344,0.6405,1.5653,0.6356,-0.0511,-0.3248,-1.5662,-1.6851,-1.5579,-1.7765,-1.587,-1.402,-0.2791,0.3378,1.1554,0.929,0.9599,1.1943,1.7544,0.8074,0.8833,1.5666,1.4786,0.0637,-0.0006,-1.8178,-1.2314,-1.9025,0.0501,0.1903
0.7733,0.5908,1.6127,0.6859,0.1864,-0.0841,-1.1305,-1.3279,-0.9786,-1.0618,-1.0578,-0.7992,0.2248,0.7729,1.1147,0.8364,0.8772,1.2996,1.8195,0.8623,1.1153,1.7236,1.7517,0.4975,0.5078,-1.2658,-0.6062,-1.2187,-0.0395,0.3101
0.5527,0.3686,1.4845,0.5878,0.3423,0.0948,-0.6709,-0.9391,-0.3488,-0.3145,-0.4833,-0.1422,0.6672,1.1053,0.9577,0.5656,0.6798,1.283,1.7154,0.7306,1.1991,1.7543,1.8918,0.9015,1.0143,-0.6242,0.0327,-0.4895,-0.1489,0.4117
0.2166,0.0241,1.1999,0.3737,0.4054,0.1984,-0.2221,-0.5476,0.2987,0.4109,0.1116,0.5275,1.0227,1.3146,0.7126,0.169,0.3987,1.1456,1.4703,0.4463,1.1411,1.6665,1.8944,1.2485,1.4695,0.0762,0.652,0.2453,-0.2515,0.4727
-0.1778,-0.3751,0.7988,0.0914,0.3817,0.2289,0.186,-0.1802,0.9301,1.0677,0.701,1.1678,1.2777,1.3953,0.4188,-0.2851,0.0722,0.9065,1.1281,0.0591,0.9649,1.4773,1.7696,1.517,1.8261,0.7993,1.2221,0.9463,-0.32,0.4788
-0.57,-0.7573,0.3341,-0.2063,0.2897,0.2008,0.5288,0.1387,1.5123,1.6182,1.2569,1.7395,1.429,1.3544,0.1181,-0.726,-0.2628,0.5988,0.7381,-0.377,0.704,1.2083,1.5372,1.6907,2.0462,1.5044,1.7165,1.5768,-0.3327,0.4281
-0.9064,-1.0619,-0.1372,-0.4735,0.1534,0.1354,0.7868,0.387,2.0136,2.0353,1.7494,2.2083,1.4803,1.2078,-0.1534,-1.0935,-0.5777,0.2615,0.3453,-0.8133,0.3938,0.8806,1.2217,1.7592,2.1065,2.1486,2.1117,2.1043,-0.2789,0.3323
-1.1474,-1.2493,-0.5632,-0.6785,-0.0054,0.0535,0.9459,0.5447,2.4051,2.3024,2.1484,2.548,1.4399,0.9774,-0.3713,-1.3463,-0.8558,-0.0671,-0.0155,-1.2132,0.0655,0.514,0.8494,1.7184,2.0033,2.6894,2.3881,2.5038,-0.1605,0.2146
-1.2709,-1.3051,-0.9034,-0.8066,-0.17,-0.0289,0.9983,0.5964,2.6634,2.4147,2.4278,2.7419,1.3201,0.6895,-0.5244,-1.4646,-1.0888,-0.3542,-0.3203,-1.5518,-0.2557,0.1282,0.4483,1.5718,1.7538,3.0889,2.5321,2.7587,0.0083,0.1035
-1.2704,-1.2361,-1.132,-0.8563,-0.3291,-0.1019,0.9442,0.5351,2.7734,2.3795,2.569,2.7841,1.1377,0.3749,-0.6113,-1.446,-1.2699,-0.5734,-0.5515,-1.8127,-0.5478,-0.2526,0.0496,1.3316,1.3946,3.3178,2.5386,2.8618,0.2052,0.0264
-1.1506,-1.0606,-1.2361,-0.8312,-0.4723,-0.159,0.7942,0.366,2.732,2.2156,2.5643,2.6798,0.915,0.0693,-0.6347,-1.2981,-1.3858,-0.7037,-0.6923,-1.9813,-0.7885,-0.5969,-0.3114,1.0205,0.9762,3.3594,2.413,2.814,0.4044,0.0015
-0.9217,-0.7967,-1.2135,-0.7329,-0.5862,-0.1938,0.5692,0.1093,2.5502,1.9522,2.4182,2.4447,0.6804,-0.189,-0.595,-1.0313,-1.4129,-0.7295,-0.7225,-2.0414,-0.9518,-0.8663,-0.5966,0.6703,0.5545,3.2123,2.1728,2.6239,0.5818,0.0328
-0.5955,-0.4542,-1.0685,-0.5567,-0.6525,-0.197,0.2992,-0.2012,2.2534,1.6256,2.148,2.1046,0.4655,-0.3625,-0.4868,-0.6537,-1.3188,-0.6408,-0.6198,-1.975,-1.0104,-1.02,-0.7701,0.3197,0.1824,2.8935,1.8469,2.3075,0.719,0.108
