FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
2.18,0.6726,2.8778,2.2534,2.4617,2.704,4.0355,1.5186,0.7926,3.2903,0.3531,1.5134,3.967,3.3779,1.7633,2.0922,1.8712,0.2614,2.0153,3.098,3.3498,1.3796,0.6817,3.2614,1.8622,2.1451,3.181,2.2824,1.6582,2.1786
2.0603,0.6625,2.4789,2.195,2.5066,2.5714,4.2019,1.771,1.1708,3.5564,0.8795,1.7579,4.15,3.5193,1.7623,1.9446,1.8047,0.3221,1.9169,2.9264,3.2463,1.2293,0.287,3.0301,1.5195,2.0823,3.0388,2.4132,1.5611,1.6688
1.921,0.6206,2.1085,2.1278,2.5148,2.4254,4.3134,1.9896,1.5136,3.7557,1.3577,1.9694,4.2625,3.5991,1.7337,1.7759,1.7204,0.3721,1.7927,2.7278,3.1067,1.0587,-0.0886,2.7631,1.1753,1.9961,2.8586,2.5034,1.4596,1.1923
1.7374,0.5141,1.7821,2.0307,2.4444,2.2463,4.3104,2.1368,1.7815,3.8238,1.7384,2.1148,4.2376,3.5578,1.6448,1.5606,1.5907,0.3944,1.6125,2.4681,2.8901,0.8448,-0.4332,2.4281,0.8287,1.8646,2.6065,2.5157,1.3461,0.7708
1.4906,0.3222,1.5001,1.8822,2.2647,2.0177,4.1488,2.1836,1.9421,3.7161,1.9834,2.17,4.0299,3.3544,1.4715,1.2818,1.3941,0.3735,1.3555,2.1223,2.5685,0.5705,-0.7402,2.0072,0.4846,1.6784,2.2641,2.4277,1.2098,0.417
1.1684,0.0383,1.2455,1.6613,1.9585,1.7268,3.8051,2.1118,1.973,3.4129,2.0694,2.1216,3.6214,2.9706,1.2006,0.9325,1.1171,0.2955,1.013,1.6775,2.129,0.2272,-1.0083,1.5,0.155,1.4422,1.8318,2.2341,1.0382,0.1337
0.7657,-0.3331,0.9876,1.3484,1.5217,1.3644,3.2772,1.9148,1.8635,2.9205,1.9905,1.9681,3.0213,2.4123,0.8296,0.5152,0.7546,0.149,0.5887,1.1325,1.5736,-0.1838,-1.2405,0.9234,-0.144,1.1718,1.3275,1.9458,0.8197,-0.0865
0.2853,-0.7787,0.6913,0.9286,0.9628,0.9255,2.5841,1.5969,1.616,2.2678,1.758,1.7188,2.2636,1.7075,0.366,0.0396,0.3098,-0.0732,0.0972,0.4985,0.9176,-0.6504,-1.4408,0.308,-0.3961,0.8891,0.7813,1.5854,0.5481,-0.258
-0.2603,-1.2794,0.3301,0.3975,0.3029,0.4124,1.7633,1.1728,1.2466,1.5017,1.399,1.3921,1.4018,0.9043,-0.1729,-0.4776,-0.2057,-0.3719,-0.4372,-0.2012,0.1882,-1.1491,-1.611,-0.3067,-0.5882,0.6159,0.2299,1.1833,0.2258,-0.3975
-0.8468,-1.8102,-0.102,-0.2325,-0.423,-0.1607,0.8676,0.6676,0.785,0.6814,0.9535,1.0146,0.5031,0.0662,-0.7597,-1.0129,-0.7707,-0.7376,-0.9824,-0.9304,-0.5754,-1.6454,-1.7486,-0.8776,-0.7137,0.3699,-0.289,0.7727,-0.134,-0.5198
