FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
2.8982,4.2401,2.4499,4.5029,3.8456,3.981,3.343,1.1752,1.7643,3.5311,1.6054,1.3616,3.6941,3.9923,3.322,4.6759,3.3537,3.2076,3.8594,5.0082,5.0795,3.3852,2.3303,2.2271,1.1728,-0.5691,0.9647,0.6066,1.8165,1.6921
2.8541,4.1824,2.2961,4.399,3.6012,3.8271,3.1391,0.8952,1.4871,3.1987,1.3512,1.1058,3.4379,3.8795,3.0153,4.6523,3.1208,2.8915,3.6582,4.9799,5.0765,3.1638,1.9326,1.9798,0.8775,-0.758,0.6818,0.2292,1.8397,1.6858
2.7201,3.9563,2.1267,4.1329,3.1951,3.509,2.7644,0.5206,1.1202,2.7282,0.99,0.7776,3.0585,3.6108,2.6343,4.5149,2.8731,2.5138,3.3337,4.7988,4.8563,2.8377,1.5159,1.6381,0.5648,-0.8833,0.3508,-0.1629,1.8075,1.6688
2.5152,3.5991,1.9759,3.7526,2.677,3.0628,2.2747,0.0976,0.7018,2.187,0.5733,0.4192,2.6034,3.2346,2.2413,4.2994,2.6484,2.1272,2.9299,4.505,4.4588,2.4505,1.1264,1.2443,0.2832,-0.9367,0.0077,-0.5294,1.7188,1.648
2.2524,3.1493,1.8572,3.3022,2.0951,2.5243,1.7291,-0.321,0.2767,1.6375,0.155,0.0722,2.1126,2.7952,1.879,4.0259,2.4512,1.7635,2.4827,4.1291,3.928,2.0339,0.7899,0.8355,0.0674,-0.9238,-0.3168,-0.8366,1.57,1.6125
1.9385,2.641,1.7617,2.8163,1.4917,1.9274,1.1821,-0.6845,-0.1108,1.1277,-0.218,-0.2305,1.6122,2.3255,1.5626,3.6968,2.2548,1.4301,2.0127,3.6879,3.3038,1.6026,0.5102,0.4371,-0.07,-0.8632,-0.6028,-1.0639,1.3581,1.5376
1.5752,2.099,1.6623,2.316,0.8999,1.3017,0.6776,-0.9532,-0.4248,0.6862,-0.5132,-0.4698,1.1132,1.8429,1.2794,3.2997,2.0125,1.1121,1.5255,3.1844,2.6165,1.1549,0.2713,0.0603,-0.1393,-0.7818,-0.8441,-1.2068,1.0832,1.3917
1.1623,1.5369,1.5228,1.8067,0.3418,0.672,0.2445,-1.1048,-0.6434,0.3211,-0.7166,-0.6433,0.6128,1.3499,0.9951,2.8144,1.6739,0.7797,1.0152,2.6116,1.8843,0.6784,0.0437,-0.2966,-0.1675,-0.7076,-1.0464,-1.2764,0.75,1.1474
0.7005,0.957,1.3092,1.2808,-0.1718,0.0572,-0.1049,-1.1386,-0.7625,0.0222,-0.8321,-0.7636,0.1013,0.839,0.6653,2.221,1.2017,0.4002,0.4716,1.9584,1.1151,0.1586,-0.2062,-0.6416,-0.1874,-0.6611,-1.2223,-1.2939,0.3691,0.7915
0.1957,0.3551,0.9993,0.7234,-0.6385,-0.5283,-0.3739,-1.074,-0.7957,-0.2322,-0.8784,-0.8527,-0.4309,0.2996,0.2494,1.5091,0.5852,-0.0512,-0.112,1.2172,0.3123,-0.4112,-0.506,-0.982,-0.2248,-0.6496,-1.3845,-1.2838,-0.043,0.3316
