FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.9626,-2.3216,-0.2316,-1.4902,-0.885,-2.204,-0.9497,-0.4716,0.6706,0.2553,0.5326,0.976,-1.073,-1.2899,-1.1294,-1.4225,-1.5321,-0.9493,-1.4678,-1.2762,-1.6686,-0.3344,-0.2273,-0.1198,0.0972,0.6797,0.0398,0.6314,-0.4143,0.4947
-0.7951,-2.1554,-0.097,-1.3174,-0.7291,-2.0014,-0.9068,-0.4308,0.6237,0.3624,0.4777,1.0044,-0.9109,-1.1415,-0.9914,-1.277,-1.3578,-0.655,-1.2498,-1.1117,-1.4014,-0.1448,0.0465,-0.0126,0.2242,0.7859,0.0891,0.6832,-0.4224,0.4258
-0.5452,-1.864,0.1396,-1.0206,-0.4949,-1.6867,-0.799,-0.3656,0.6139,0.4975,0.4315,1.0032,-0.682,-0.885,-0.7692,-1.0679,-1.0905,-0.2812,-0.9476,-0.8104,-0.9903,0.1633,0.3816,0.1721,0.3754,0.9062,0.1745,0.7601,-0.4066,0.3538
-0.225,-1.4575,0.4808,-0.6116,-0.1812,-1.2786,-0.6286,-0.2801,0.6319,0.6516,0.3989,0.9721,-0.4015,-0.5324,-0.479,-0.7988,-0.7457,0.1468,-0.5753,-0.3848,-0.4519,0.5787,0.7676,0.4284,0.5419,1.0471,0.2917,0.8641,-0.3718,0.2798
0.1395,-0.9715,0.9088,-0.1296,0.1926,-0.8164,-0.4112,-0.1851,0.6616,0.8089,0.3797,0.9111,-0.0976,-0.1163,-0.151,-0.4859,-0.3528,0.5953,-0.1591,0.1272,0.1686,1.0671,1.1829,0.732,0.7083,1.2074,0.427,0.9887,-0.3271,0.2074
0.5136,-0.4606,1.3871,0.3665,0.5898,-0.3533,-0.1735,-0.0952,0.6837,0.9507,0.3697,0.8218,0.1921,0.3152,0.176,-0.1548,0.0512,1.0266,0.2662,0.6695,0.8049,1.5771,1.596,1.0447,0.8556,1.3768,0.5599,1.1207,-0.2823,0.1421
0.8603,0.0131,1.8682,0.8106,0.9629,0.0539,0.0521,-0.0255,0.6812,1.0598,0.3633,0.711,0.4293,0.708,0.4626,0.1648,0.4291,1.4044,0.6628,1.1791,1.3827,2.0507,1.9705,1.3227,0.9644,1.5385,0.668,1.2441,-0.2451,0.0914
1.148,0.3927,2.3017,1.1443,1.2644,0.3556,0.235,0.0127,0.6439,1.1252,0.3562,0.5909,0.5829,1.0142,0.6756,0.4452,0.751,1.6986,0.9962,1.5999,1.8346,2.4353,2.2708,1.5264,1.0198,1.6742,0.7324,1.3448,-0.2184,0.0624
1.356,0.6389,2.6441,1.3292,1.4577,0.5186,0.3537,0.0148,0.5725,1.1457,0.3469,0.4799,0.6373,1.2021,0.7951,0.6664,0.9987,1.8896,1.241,1.893,2.115,2.6936,2.4694,1.6305,1.0144,1.7696,0.743,1.4151,-0.2007,0.0593
1.478,0.7375,2.8654,1.3541,1.5255,0.5315,0.4004,-0.0149,0.4801,1.1306,0.3381,0.3993,0.5959,1.2633,0.818,0.8203,1.1677,1.9704,1.3846,2.0442,2.2085,2.8105,2.5518,1.6297,0.9504,1.8194,0.7008,1.4555,-0.187,0.0803
