FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.61,-1.7468,-0.8357,-2.1339,-2.1152,-2.1924,-1.559,-0.5056,-0.6843,-1.3634,-0.4884,0.4809,-0.2398,-1.6761,-0.1242,-2.4369,-1.9063,-0.9249,-2.4211,-2.5837,-2.2296,-2.7662,-2.8557,-1.8784,-1.5648,-0.6378,-0.6658,0.204,0.3195,1.1713
-0.7158,-1.9113,-0.9747,-2.3655,-2.4073,-2.3763,-1.9386,-0.647,-0.7193,-1.7386,-0.6618,0.1869,-0.7764,-2.0616,-0.156,-2.663,-2.0705,-1.0328,-2.6251,-2.8238,-2.5273,-3.0043,-3.0365,-2.0589,-1.5758,-0.5683,-0.8641,0.0023,0.4003,1.2626
-0.8921,-2.123,-1.1723,-2.6158,-2.7331,-2.6011,-2.2763,-0.7695,-0.7128,-2.0259,-0.7816,-0.0666,-1.2946,-2.444,-0.2803,-2.9381,-2.259,-1.1697,-2.8311,-3.0985,-2.8312,-3.2237,-3.1999,-2.2048,-1.5635,-0.4491,-1.0147,-0.1475,0.4946,1.3707
-1.1085,-2.3419,-1.391,-2.8492,-3.0451,-2.8367,-2.516,-0.8462,-0.6477,-2.1815,-0.822,-0.2414,-1.7353,-2.7745,-0.4628,-3.2206,-2.4428,-1.3256,-3.0086,-3.3688,-3.0991,-3.3943,-3.3309,-2.3011,-1.5404,-0.3127,-1.1064,-0.2305,0.5803,1.4696
-1.3159,-2.5123,-1.5746,-3.0167,-3.2806,-3.0342,-2.6001,-0.8537,-0.5177,-2.1666,-0.7632,-0.3035,-2.0292,-2.9947,-0.6505,-3.455,-2.5831,-1.4791,-3.1198,-3.5841,-3.2793,-3.4788,-3.4056,-2.3261,-1.5178,-0.1983,-1.1251,-0.2372,0.6321,1.5308
-1.4502,-2.5678,-1.6547,-3.06,-3.368,-3.1307,-2.4778,-0.7773,-0.3311,-1.9529,-0.5935,-0.2256,-2.1017,-3.0396,-0.7763,-3.5752,-2.6314,-1.5931,-3.1193,-3.6835,-3.3124,-3.4332,-3.3884,-2.2499,-1.5014,-0.1414,-1.0522,-0.1616,0.6278,1.5287
-1.4411,-2.441,-1.5615,-2.919,-3.2387,-3.0596,-2.1148,-0.6155,-0.1103,-1.5275,-0.3121,0.0085,-1.883,-2.8454,-0.7685,-3.5111,-2.5325,-1.6155,-2.9566,-3.6015,-3.1364,-3.2102,-3.2344,-2.0378,-1.4891,-0.165,-0.8665,-0.0005,0.5552,1.444
-1.2245,-2.0757,-1.2384,-2.5431,-2.8404,-2.7654,-1.5032,-0.3822,0.11,-0.8982,0.0694,0.4004,-1.3229,-2.3607,-0.561,-3.1995,-2.2317,-1.4856,-2.5833,-3.2773,-2.6969,-2.7661,-2.8962,-1.6576,-1.4701,-0.2751,-0.5496,0.2459,0.4188,1.2676
-0.7565,-1.4401,-0.6568,-1.9044,-2.1505,-2.2182,-0.6673,-0.1059,0.2878,-0.0973,0.5261,0.9327,-0.4062,-1.56,-0.1054,-2.5971,-1.6856,-1.145,-1.962,-2.6679,-1.9598,-2.0721,-2.3347,-1.0896,-1.4281,-0.46,-0.0935,0.5715,0.2423,1.0004
-0.0248,-0.5361,0.1729,-1.0075,-1.186,-1.4254,0.3349,0.1748,0.3808,0.8183,1.0206,1.5675,0.8356,-0.4561,0.6187,-1.6926,-0.874,-0.5526,-1.0787,-1.7605,-0.9243,-1.1248,-1.5317,-0.3374,-1.3464,-0.6949,0.4912,0.9615,0.0652,0.6539
0.9446,0.5962,1.1984,0.1047,-0.0055,-0.4348,1.4162,0.418,0.3543,1.7707,1.5064,2.2482,2.3192,0.8939,1.597,-0.5153,0.19,0.3027,0.0481,-0.5827,0.369,0.045,-0.5007,0.5656,-1.2142,-0.9498,1.1704,1.389,-0.0655,0.2477
2.0871,1.88,2.3307,1.353,1.2954,0.6687,2.471,0.5869,0.1887,2.6702,1.9338,2.9056,3.9162,2.3893,2.7771,0.862,1.4537,1.3915,1.3608,0.7945,1.8359,1.369,0.7064,1.5552,-1.0318,-1.1966,1.8867,1.816,-0.1069,-0.1912
3.3053,3.2095,3.4562,2.6292,2.5955,1.7745,3.3898,0.6566,-0.115,3.4267,2.2569,3.4672,5.4686,3.8953,4.0697,2.3279,2.8249,2.6409,2.7645,2.2602,3.3558,2.7454,2.0012,2.5431,-0.813,-1.4151,2.5653,2.1965,-0.0318,-0.6304
4.4801,4.4619,4.4546,3.8106,3.7639,2.7627,4.0743,0.618,-0.5329,3.9616,2.4411,3.8689,6.8112,5.2598,5.3555,3.7444,4.1809,3.9389,4.1352,3.6754,4.785,4.0506,3.2673,3.4289,-0.5833,-1.595,3.1258,2.4839,0.164,-1.0339
5.4861,5.5127,5.2161,4.7758,4.6772,3.5218,4.4503,0.4779,-1.0225,4.2187,2.4674,4.0642,7.7966,6.3348,6.4975,4.9648,5.3829,5.1477,5.3359,4.8918,5.977,5.1557,4.3765,4.1172,-0.3749,-1.7344,3.4959,2.6393,0.4608,-1.3637
6.209,6.2514,5.6574,5.4222,5.236,3.966,4.4772,0.2554,-1.5293,4.1706,2.3341,4.0307,8.3174,6.9978,7.3584,5.8545,6.2962,6.1242,6.2353,5.7728,6.8027,5.9453,5.2083,4.5326,-0.218,-1.8354,3.6247,2.6382,0.819,-1.5837
6.5621,6.5966,5.7322,5.6802,5.378,4.048,4.1516,-0.0229,-1.9977,3.8211,2.0553,3.7711,8.321,7.1704,7.8215,6.3111,6.8106,6.7436,6.7293,6.2148,7.1704,6.3357,5.6695,4.6333,-0.1337,-1.8994,3.4918,2.4751,1.189,-1.6635
6.5001,6.5086,5.4369,5.5238,5.087,3.7655,3.5072,-0.3284,-2.3794,3.2031,1.6575,3.3108,7.8156,6.8301,7.8108,6.2804,6.8599,6.9226,6.7583,6.164,7.0399,6.289,5.7116,4.4177,-0.1267,-1.9234,3.1114,2.1635,1.5205,-1.5839
6.0264,5.9968,4.8099,4.9752,4.3963,3.1608,2.6096,-0.633,-2.6402,2.3742,1.1755,2.6925,6.8663,6.0144,7.3082,5.7669,6.4342,6.6364,6.3203,5.6268,6.4301,5.82,5.341,3.9247,-0.183,-1.8981,2.5296,1.7345,1.7731,-1.3434
5.1938,5.1215,3.9251,4.1032,3.3853,2.3136,1.5494,-0.9113,-2.7618,1.4095,0.648,1.9696,5.5833,4.8149,6.3611,4.8347,5.5847,5.925,5.4728,4.6708,5.4171,4.9957,4.6209,3.2276,-0.2719,-1.8086,1.8169,1.2316,1.9218,-0.961
4.0972,3.9871,2.8822,3.0139,2.1698,1.3284,0.4306,-1.1405,-2.7401,0.3928,0.1143,1.199,4.104,3.364,5.078,3.5994,4.4172,4.8871,4.3263,3.4157,4.1239,3.925,3.6617,2.4213,-0.3526,-1.6391,1.0557,0.7044,1.9597,-0.4756
2.8594,2.7268,1.7924,1.8348,0.8856,0.3186,-0.6415,-1.301,-2.5824,-0.5931,-0.3904,0.4335,2.5721,1.8147,3.6119,2.21,3.0754,3.6623,3.0256,2.0144,2.7007,2.7414,2.6018,1.6066,-0.3836,-1.3776,0.3274,0.201,1.8971,0.0598
