FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.2662,1.6571,1.5386,-0.4621,-0.2884,-0.3306,-0.065,-2.6053,-2.043,-0.4955,0.2842,0.2937,1.5632,2.9191,1.0691,1.6873,1.3577,-0.9739,1.1587,2.8896,3.4639,0.9264,0.2526,1.1685,-0.0903,-0.5354,0.6015,0.1295,-1.0234,-1.2815
0.711,2.1716,1.8204,0.2855,0.5067,0.3786,0.0106,-2.1469,-2.0462,-0.4966,0.5988,0.7738,1.7132,3.0734,1.2627,2.1417,1.6016,-0.4593,1.4918,3.1559,3.6421,1.407,0.6368,1.6599,0.1652,0.2565,1.4589,1.0083,-0.7192,-1.2318
1.0891,2.6042,2.0369,0.9373,1.2186,1.0191,0.0271,-1.7468,-2.0746,-0.5636,0.8185,1.1668,1.8066,3.2037,1.4192,2.5398,1.807,0.004,1.7875,3.393,3.8041,1.8509,0.9885,2.0791,0.3934,0.9531,2.1962,1.7612,-0.4481,-1.1967
1.3564,2.9015,2.1399,1.4219,1.7801,1.5339,-0.0481,-1.4464,-2.1366,-0.7333,0.8844,1.4093,1.8073,3.2931,1.515,2.8417,1.9501,0.3763,2.0218,3.582,3.9381,2.2319,1.2857,2.3717,0.5721,1.4722,2.7162,2.2891,-0.2326,-1.183
1.4843,3.0242,2.0954,1.692,2.1457,1.8802,-0.22,-1.2657,-2.2307,-1.0103,0.7734,1.4699,1.7031,3.3311,1.5325,3.0171,2.0116,0.6247,2.1727,3.7048,4.0314,2.5284,1.5099,2.5069,0.6905,1.7699,2.9628,2.5383,-0.0827,-1.1897
1.4659,2.9555,1.8914,1.734,2.2983,2.0372,-0.4634,-1.201,-2.3422,-1.3637,0.504,1.3538,1.5088,3.3147,1.4634,3.0506,1.981,0.7296,2.2245,3.7471,4.0722,2.7264,1.6496,2.4827,0.7504,1.8449,2.9294,2.5078,0.005,-1.2079
1.3188,2.7089,1.5449,1.5732,2.2529,2.0115,-0.7281,-1.2276,-2.4437,-1.735,0.1313,1.0997,1.2625,3.2494,1.3121,2.946,1.8611,0.6909,2.1737,3.7031,4.0519,2.8226,1.7043,2.3253,0.7636,1.7329,2.6556,2.2436,0.0464,-1.2234
1.084,2.332,1.1024,1.2738,2.0541,1.8382,-0.9506,-1.3074,-2.499,-2.0526,-0.267,0.7679,1.0163,3.1474,1.0977,2.7291,1.6712,0.5318,2.0338,3.58,3.9694,2.8268,1.6875,2.0817,0.7476,1.4902,2.2141,1.8229,0.064,-1.2215
0.8195,1.901,0.6333,0.9292,1.769,1.575,-1.0697,-1.3987,-2.471,-2.25,-0.6101,0.4242,0.8222,3.0247,0.8527,2.4447,1.4462,0.2977,1.8364,3.3997,3.832,2.7609,1.6257,1.8088,0.7186,1.1755,1.6918,1.3321,0.0796,-1.1919
0.5888,1.5064,0.2156,0.6434,1.474,1.2906,-1.0411,-1.4648,-2.3311,-2.2819,-0.8338,0.1242,0.72,2.8969,0.6184,2.1493,1.2303,0.0487,1.6262,3.1948,3.655,2.6548,1.5535,1.56,0.6863,0.8343,1.1704,0.8461,0.1065,-1.1327
