FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
5.6256,7.1092,6.2819,8.6707,7.9646,6.3693,3.6259,2.6256,1.5871,4.544,1.4617,3.1567,6.8852,9.5529,5.9961,7.1589,8.5857,6.4234,8.3006,9.054,9.8492,8.5255,8.1734,6.1567,5.1568,2.6631,5.3648,2.5268,4.9953,0.3001
5.5149,6.9406,6.0137,8.4166,7.7514,6.1789,3.3776,2.4417,1.4262,4.387,1.4072,3.0777,6.6858,9.2983,5.8268,7.0159,8.4452,6.255,8.1303,8.8441,9.6181,8.3719,8.0004,5.9416,5.054,2.4975,5.184,2.4894,4.8785,0.2929
5.3464,6.7533,5.7562,8.1406,7.5427,6.0236,3.1765,2.3086,1.3067,4.2654,1.3895,2.9772,6.5046,9.0349,5.6013,6.8202,8.2473,6.0411,7.9145,8.6019,9.3649,8.1739,7.7789,5.7052,4.9038,2.2836,5.0295,2.4364,4.7043,0.2399
5.1545,6.5882,5.5542,7.8934,7.3782,5.9374,3.0556,2.2507,1.2461,4.2055,1.412,2.8821,6.3792,8.8123,5.3536,6.6111,8.0298,5.8123,7.6879,8.3756,9.1396,7.9627,7.5381,5.4889,4.7227,2.0472,4.921,2.3821,4.5096,0.1595
4.9693,6.474,5.4329,7.7147,7.2871,5.9394,3.0335,2.2793,1.2508,4.2215,1.4685,2.8164,6.3383,8.6715,5.1116,6.4225,7.8257,5.5959,7.4834,8.2055,8.9858,7.7681,7.3072,5.3309,4.5331,1.8144,4.8697,2.3386,4.3271,0.0664
4.8093,6.4211,5.3932,7.6235,7.2798,6.0283,3.1094,2.3897,1.3156,4.3115,1.5441,2.7952,6.3925,8.6327,4.8928,6.2748,7.6556,5.409,7.3233,8.1134,8.9277,7.6106,7.1077,5.2565,4.3582,1.6068,4.8746,2.3114,4.1795,-0.0308
4.6782,6.4207,5.4147,7.6146,7.3456,6.1836,3.2625,2.5623,1.4241,4.4583,1.6175,2.8215,6.5305,8.6906,4.7042,6.172,7.5249,5.2571,7.2159,8.0988,8.9641,7.4965,6.9496,5.272,4.2182,1.4376,4.9236,2.2973,4.0772,-0.1301
4.5687,6.4512,5.4644,7.6639,7.4575,6.3723,3.4576,2.7678,1.5538,4.6323,1.6658,2.8852,6.7213,8.8164,4.5458,6.1045,7.4278,5.1364,7.1558,8.1415,9.0695,7.4181,6.831,5.3634,4.1265,1.3108,4.996,2.2856,4.0191,-0.2317
4.469,6.4877,5.5097,7.7373,7.5802,6.5583,3.6543,2.9734,1.68,4.7989,1.6699,2.966,6.9222,8.9664,4.4162,6.0569,7.3545,5.0414,7.1295,8.2105,9.2032,7.3591,6.7424,5.5013,4.0886,1.2226,5.0687,2.2615,3.9972,-0.334
4.372,6.5118,5.5303,7.8035,7.6813,6.7124,3.8167,3.1493,1.7803,4.9256,1.6188,3.0384,7.0893,9.0947,4.3182,6.0168,7.2991,4.9717,7.1232,8.2757,9.3219,7.3023,6.6729,5.6489,4.1029,1.1643,5.1214,2.2105,4.0008,-0.4293
4.2816,6.519,5.5253,7.8431,7.7398,6.8186,3.9207,3.2733,1.8382,4.9882,1.5115,3.0771,7.1885,9.1654,4.261,5.9819,7.2655,4.9366,7.1295,8.3179,9.3928,7.2375,6.617,5.7727,4.1621,1.1251,5.1416,2.1234,4.0212,-0.5028
4.215,6.5204,5.5138,7.8551,7.7513,6.8773,3.958,3.3328,1.8437,4.9757,1.3579,3.0636,7.2027,9.1615,4.2595,5.9631,7.2684,4.9547,7.1519,8.3349,9.4034,7.1669,6.5787,5.85,4.256,1.0959,5.1261,1.9999,4.0542,-0.5343
4.2,6.5388,5.5276,7.8564,7.7289,6.9027,3.9354,3.3263,1.7946,4.8913,1.1757,2.9899,7.1358,9.0892,4.3297,5.9819,7.3289,5.0474,7.2042,8.3421,9.3648,7.1055,6.5719,5.8749,4.3738,1.0709,5.0811,1.8496,4.0999,-0.5029
4.267,6.6009,5.6005,7.877,7.6988,6.918,3.8708,3.2612,1.6946,4.7515,0.987,2.8605,7.0108,8.9756,4.4828,6.0635,7.4682,5.2308,7.3054,8.3674,9.3088,7.0777,6.6165,5.8584,4.5054,1.0487,5.0198,1.6904,4.1607,-0.3924
4.4393,6.728,5.7555,7.9517,7.6932,6.9473,3.7871,3.1523,1.5532,4.5812,0.8136,2.6911,6.8641,8.8613,4.7206,6.2289,7.6988,5.508,7.4733,8.4432,9.279,7.11,6.7317,5.8242,4.6415,1.0321,4.9588,1.5455,4.2387,-0.1958
4.724,6.9282,5.996,8.1102,7.7415,7.009,3.7067,3.0178,1.384,4.4083,0.6731,2.5049,6.7366,8.7903,5.0321,6.4863,8.0193,5.8654,7.716,8.5961,9.3183,7.2229,6.9281,5.8014,4.7725,1.0266,4.9141,1.4369,4.3321,0.0811
5.1064,7.1928,6.3022,8.3688,7.862,7.1103,3.6462,2.8767,1.2029,4.2579,0.5765,2.3274,6.6639,8.7979,5.3937,6.8271,8.4109,6.2746,8.0274,8.8386,9.4566,7.423,7.2024,5.8155,4.8876,1.0381,4.8975,1.3815,4.4335,0.4201
5.5503,7.4967,6.6349,8.724,8.0565,7.245,3.614,2.7451,1.0274,4.1471,0.5273,2.1808,6.6682,8.9021,5.7724,7.2243,8.8394,6.6978,8.3855,9.1633,9.7008,7.6999,7.534,5.8808,4.9735,1.0703,4.9145,1.3861,4.5299,0.7919
6.0037,7.8035,6.9429,9.1525,8.3084,7.3954,3.6096,2.6348,0.8744,4.0826,0.5228,2.0802,6.7532,9.0975,6.1301,7.6369,9.261,7.0963,8.7549,9.5423,10.0305,8.0252,7.8878,5.9954,5.0156,1.1226,4.9627,1.4473,4.605,1.1615
6.4092,8.0733,7.1757,9.6137,8.5855,7.5356,3.6245,2.5513,0.7577,4.0615,0.5565,2.0315,6.9027,9.3553,6.4296,8.0165,9.6292,7.437,9.0936,9.9304,10.4004,8.3574,8.22,6.1416,5.0006,1.19,5.0332,1.552,4.6431,1.4941
6.7144,8.2701,7.2932,10.0567,8.8446,7.6363,3.6435,2.4941,0.6861,4.072,0.6194,2.0312,7.0844,9.6287,6.6398,8.3162,9.9028,7.6965,9.3603,10.2737,10.7483,8.6492,8.4869,6.29,4.9202,1.2637,5.1124,1.6811,4.6325,1.7607
6.8813,8.3675,7.2741,10.4292,9.0398,7.6696,3.6479,2.4568,0.6615,4.0979,0.7019,2.0695,7.2562,9.8618,6.7384,8.4979,10.0522,7.8616,9.5221,10.5191,11.0082,8.8558,8.6528,6.4066,4.7755,1.3342,5.1855,1.8142,4.5662,1.9419
6.8912,8.3513,7.1184,10.6859,9.1302,7.6128,3.6188,2.4285,0.6777,4.1215,0.7947,2.1321,7.3757,10.0019,6.7134,8.5377,10.062,7.9269,9.5587,10.6245,11.1245,8.9432,8.696,6.461,4.5783,1.3935,5.2391,1.9332,4.4416,2.0292
6.7453,8.2196,6.8451,10.7966,9.088,7.4524,3.5414,2.3963,0.7227,4.1279,0.8894,2.2048,7.4094,10.0113,6.5619,8.4282,9.9325,7.8923,9.4655,10.5667,11.0638,8.8934,8.6111,6.4333,4.35,1.4372,5.2645,2.0262,4.2584,2.0223
6.4617,7.982,6.4861,10.7517,8.9041,7.1868,3.4094,2.3492,0.7816,4.109,0.9795,2.2763,7.3412,9.876,6.2909,8.1795,9.6781,7.7613,9.2527,10.3467,10.8235,8.7079,8.4083,6.3186,4.117,1.4647,5.2592,2.0889,4.018,1.9272
6.0718,7.6577,6.0789,10.564,8.5924,6.8291,3.2289,2.2817,0.842,4.066,1.0624,2.3407,7.1764,9.6104,5.917,7.8175,9.3255,7.5411,8.9442,9.9904,10.4334,8.407,8.1109,6.1285,3.9053,1.4801,5.228,2.1252,3.7244,1.754
5.615,7.2755,5.6599,10.2676,8.1891,6.4084,3.0197,2.1976,0.8978,4.0106,1.1394,2.3991,6.9428,9.2554,5.4685,7.3821,8.9123,7.2447,8.5746,9.5457,9.9512,8.0283,7.7526,5.8899,3.7376,1.491,5.1833,2.1455,3.3868,1.5164
5.1351,6.872,5.2608,9.9128,7.7484,5.9675,2.8144,2.1103,0.9521,3.964,1.2166,2.4577,6.6855,8.8721,4.9859,6.9243,8.4838,6.8938,8.1866,9.0766,9.4528,7.623,7.3745,5.6417,3.6316,1.5085,5.1436,2.1653,3.0226,1.2329
4.6765,6.4904,4.9074,9.559,7.3345,5.5593,2.6536,2.0415,1.0163,3.9537,1.3022,2.5263,6.4595,8.5303,4.5203,6.5013,8.0898,6.5189,7.8265,8.6543,9.0195,7.2504,7.0222,5.4298,3.602,1.546,5.1319,2.2013,2.6584,0.9276
4.2797,6.1757,4.6198,9.2647,7.0108,5.2389,2.579,2.0164,1.107,4.0082,1.4052,2.6144,6.3185,8.2964,4.1279,6.1696,7.7796,6.158,7.5396,8.3466,8.724,6.9708,6.741,5.3005,3.662,1.618,5.1721,2.2683,2.3286,0.6292
3.9769,5.9686,4.4124,9.0787,6.8289,5.0546,2.6253,2.0585,1.2419,4.1518,1.5327,2.7286,6.3055,8.2216,3.8614,5.9763,7.5952,5.8505,7.3633,8.2076,8.6183,6.8361,6.5704,5.2937,3.8241,1.7374,5.2854,2.377,2.0699,0.3686
3.7875,5.8969,4.2917,9.0313,6.8193,5.0377,2.8127,2.1834,1.4344,4.3991,1.6882,2.8718,6.4445,8.3331,3.7592,5.951,7.5634,5.6287,7.3211,8.2684,8.7262,6.8813,6.5369,5.435,4.0975,1.913,5.4864,2.5315,1.9132,0.1727
3.7142,5.9693,4.2551,9.1298,6.986,5.1959,3.1424,2.3957,1.6906,4.7521,1.8717,3.0422,6.7369,8.6303,3.8358,6.099,7.6903,5.5102,7.4172,8.5315,9.04,7.1158,6.6481,5.7309,4.4838,2.1474,5.7793,2.7299,1.8752,0.0581
3.7422,6.1717,4.2891,9.3576,7.3066,5.5103,3.5961,2.6869,2.0068,5.1986,2.0797,3.2351,7.1621,9.0862,4.0773,6.3997,7.9583,5.4925,7.6349,8.9703,9.5244,7.5209,6.8897,6.1653,4.9722,2.4354,6.1558,2.9649,1.9522,0.0259
3.8408,6.469,4.3701,9.6787,7.7366,5.9383,4.1392,3.0372,2.3704,5.7142,2.3062,3.444,7.6818,9.6533,4.4419,6.8101,8.3281,5.553,7.9394,9.5335,10.124,8.0511,7.2265,6.7017,5.5368,2.7639,6.5955,3.2255,2.1187,0.0595
3.9699,6.8123,4.4678,10.0453,8.219,6.4217,4.7264,3.4187,2.7616,6.2653,2.5434,3.6617,8.2477,10.2727,4.8682,7.2722,8.7461,5.6546,8.2842,10.1552,10.774,8.643,7.609,7.2888,6.138,3.114,7.068,3.4985,2.332,0.128
