FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
2.5251,2.1786,2.6969,3.9169,3.3301,2.5773,7.039,5.2539,4.7755,7.7765,6.2552,5.222,8.833,7.9901,2.3237,0.8495,1.4722,1.5677,3.8571,3.5672,5.5182,5.1629,4.7297,6.6076,3.5941,5.3458,6.6963,5.536,-0.0853,1.3575
2.2381,2.0399,2.6361,3.9255,3.4849,2.6695,7.3214,5.6019,5.1634,8.2751,6.5993,5.344,9.1509,8.1479,1.8831,0.7021,1.1803,1.2883,3.6223,3.5146,5.5965,5.0188,4.6695,6.786,3.9965,5.7659,7.0847,5.7307,0.0435,1.8479
2.0907,2.0268,2.6318,4.0283,3.7573,2.8271,7.6674,5.9607,5.5302,8.7903,6.8645,5.3121,9.5206,8.3996,1.6601,0.6983,1.0523,1.1253,3.5247,3.5831,5.7954,5.0007,4.7118,7.0196,4.3931,6.1176,7.4127,5.7857,0.1681,2.2049
2.0701,2.125,2.6704,4.1919,4.1002,3.0213,8.0293,6.2936,5.8502,9.2605,7.0233,5.1266,9.8945,8.7017,1.6563,0.8182,1.0804,1.0779,3.5522,3.7486,6.073,5.0901,4.8439,7.2778,4.7846,6.3899,7.6551,5.6951,0.2803,2.4138
2.1539,2.3094,2.7351,4.3756,4.4541,3.2142,8.3493,6.558,6.0937,9.6229,7.0681,4.8232,10.2243,9.004,1.8459,1.0325,1.2409,1.1358,3.6813,3.9794,6.3798,5.2586,5.0459,7.5222,5.1697,6.5764,7.7945,5.4751,0.37,2.4655
2.316,2.5493,2.8089,4.5399,4.7561,3.3653,8.5685,6.7105,6.2286,9.8205,7.007,4.4618,10.4676,9.2565,2.1823,1.3088,1.4991,1.2814,3.8832,4.2415,6.6673,5.4739,5.2945,7.7127,5.5429,6.6739,7.821,5.1579,0.4264,2.3547
2.533,2.8134,2.8788,4.6539,4.9525,3.4402,8.6372,6.7134,6.2235,9.8101,6.8555,4.1071,10.5924,9.4183,2.6086,1.6168,1.817,1.494,4.1281,4.505,6.8968,5.7058,5.5671,7.8127,5.8928,6.6806,7.73,4.7813,0.44,2.0819
2.7878,3.0755,2.9384,4.702,5.0082,3.4179,8.5234,6.5413,6.0538,9.5674,6.6264,3.8079,10.5798,9.4626,3.0682,1.9336,2.159,1.7536,4.3903,4.7481,7.0448,5.9297,5.8439,7.7935,6.2023,6.5941,7.5202,4.3782,0.4054,1.6566
3.0708,3.3166,2.9888,4.6865,4.914,3.2964,8.2193,6.1868,5.7068,9.0911,6.3228,3.5804,10.4245,9.3805,3.5136,2.2446,2.4967,2.0424,4.6498,4.9599,7.1061,6.1276,6.1084,7.6379,6.4505,6.4119,7.1916,3.968,0.3233,1.1023
3.376,3.5259,3.0367,4.6249,4.6875,3.0934,7.7415,5.6639,5.1881,8.4028,5.9371,3.4041,10.1336,9.18,3.9099,2.5434,2.8091,2.3444,4.8918,5.1392,7.0911,6.2877,6.3463,7.3417,6.6168,6.133,6.7471,3.5548,0.2008,0.4593
3.6954,3.6988,3.0899,4.545,4.3681,2.8422,7.1288,5.0088,4.5239,7.5443,5.4559,3.2306,9.7244,8.8827,4.2343,2.8278,3.0812,2.6424,5.1042,5.2922,7.0211,6.4012,6.5449,6.9146,6.6852,5.7616,6.1961,3.1315,0.0502,-0.2159
4.0139,3.8343,3.1534,4.4761,4.0083,2.5845,6.435,4.2759,3.7613,6.5738,4.8707,3.004,9.2222,8.519,4.4734,3.0966,3.3009,2.9159,5.2758,5.4271,6.921,6.4607,6.6924,6.3806,6.6482,5.3117,5.5595,2.6896,-0.1128,-0.8559
4.3079,3.9316,3.2259,4.4413,3.6623,2.3616,5.7221,3.5313,2.9631,5.5597,4.1885,2.6832,8.6586,8.1232,4.6194,3.3461,3.4575,3.1415,5.3956,5.5505,6.8136,6.4601,6.7794,5.7767,6.5091,4.8094,4.8724,2.2289,-0.2722,-1.393
4.5483,3.9899,3.3,4.4532,3.3762,2.2061,5.0518,2.8437,2.1997,4.5751,3.4394,2.2608,8.0711,7.7289,4.6692,3.5696,3.5427,3.2968,5.4545,5.6652,6.7158,6.3968,6.8008,5.1508,6.2814,4.2911,4.1838,1.7649,-0.414,-1.771
4.707,4.0078,3.3645,4.5121,3.1818,2.1376,4.4803,2.2754,1.5396,3.692,2.6768,1.7683,7.5012,7.3671,4.6257,3.7584,3.5523,3.3655,5.4489,5.7701,6.6388,6.2748,6.7589,4.5567,5.9867,3.7996,3.5518,1.3282,-0.5279,-1.9571
4.7641,3.9858,3.4087,4.6088,3.0947,2.1607,4.0526,1.8741,1.0384,2.9752,1.9716,1.2696,6.9936,7.0654,4.4995,3.9043,3.4897,3.3432,5.3833,5.8619,6.5894,6.108,6.6639,4.0489,5.6508,3.3763,3.0352,0.9593,-0.6085,-1.9495
