FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.1001,0.1198,-0.0753,-0.0469,-0.0477,-0.0419,-0.0687,0.0434,0.1189,-0.1069,-0.0697,0.113,-0.046,-0.127,0.047,-0.2132,-0.1327,0.155,-0.2402,-0.2644,-0.2698,-0.0782,-0.0914,-0.0556,0.0793,0.0407,0.0111,0.0889,0.0798,0.2119
-0.1891,0.0567,-0.0994,-0.0631,-0.1031,-0.0769,-0.1326,0.0024,0.0384,-0.1683,-0.1031,0.0711,-0.1456,-0.2185,-0.0063,-0.2293,-0.1879,0.1458,-0.3027,-0.3091,-0.3324,-0.1353,-0.1115,-0.1361,0.0339,-0.0126,-0.0487,0.0306,0.0799,0.214
-0.2777,-0.019,-0.1181,-0.0778,-0.1617,-0.1076,-0.1946,-0.0423,-0.0585,-0.2315,-0.1443,0.02,-0.2479,-0.3031,-0.067,-0.2451,-0.2383,0.1234,-0.3572,-0.3462,-0.3825,-0.1919,-0.1325,-0.2182,-0.0166,-0.0765,-0.1149,-0.0358,0.0754,0.2064
-0.3588,-0.0997,-0.1313,-0.0904,-0.2173,-0.1327,-0.2498,-0.0868,-0.1622,-0.292,-0.1904,-0.0363,-0.3416,-0.3732,-0.1286,-0.2554,-0.2772,0.0894,-0.3962,-0.3709,-0.4143,-0.2405,-0.15,-0.2944,-0.0673,-0.1444,-0.1808,-0.105,0.0701,0.1899
-0.4248,-0.1776,-0.1393,-0.1005,-0.2637,-0.1513,-0.2935,-0.1273,-0.2615,-0.3444,-0.2363,-0.0918,-0.4159,-0.4235,-0.1844,-0.2562,-0.2983,0.0474,-0.4138,-0.3803,-0.4249,-0.2746,-0.1597,-0.3569,-0.1129,-0.2084,-0.2389,-0.1702,0.0668,0.1656
-0.4692,-0.245,-0.1435,-0.107,-0.2954,-0.1631,-0.3216,-0.1596,-0.3463,-0.3834,-0.2756,-0.1401,-0.4624,-0.4509,-0.2287,-0.2448,-0.2972,0.0022,-0.4066,-0.3726,-0.4141,-0.2903,-0.1581,-0.3991,-0.1491,-0.2604,-0.2819,-0.2248,0.0671,0.1347
-0.4875,-0.2959,-0.1449,-0.1088,-0.3086,-0.1678,-0.3315,-0.1807,-0.4091,-0.4044,-0.3015,-0.1752,-0.4762,-0.4544,-0.257,-0.2205,-0.272,-0.0407,-0.3745,-0.3479,-0.3841,-0.2863,-0.1431,-0.4162,-0.1726,-0.2937,-0.3044,-0.2633,0.0713,0.0986
-0.478,-0.326,-0.1446,-0.1043,-0.3015,-0.1655,-0.3223,-0.1888,-0.4465,-0.4045,-0.3086,-0.193,-0.4565,-0.4346,-0.267,-0.184,-0.2244,-0.0768,-0.3207,-0.3069,-0.3382,-0.2642,-0.1148,-0.4064,-0.1819,-0.3037,-0.3031,-0.2821,0.0784,0.0594
-0.4421,-0.3332,-0.1429,-0.0923,-0.2744,-0.1565,-0.2951,-0.1839,-0.4591,-0.383,-0.2942,-0.1916,-0.4066,-0.3934,-0.2583,-0.1369,-0.1591,-0.1025,-0.2509,-0.2512,-0.2803,-0.2277,-0.075,-0.3713,-0.1773,-0.2893,-0.2784,-0.2805,0.0876,0.0197
-0.3842,-0.3172,-0.1395,-0.0716,-0.2298,-0.1416,-0.253,-0.1675,-0.4511,-0.3414,-0.2582,-0.1721,-0.3327,-0.3335,-0.2327,-0.0819,-0.0835,-0.1166,-0.1722,-0.183,-0.2141,-0.1819,-0.0272,-0.3153,-0.1604,-0.2522,-0.2336,-0.2602,0.0981,-0.0171
