FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.1356,-0.1549,0.0521,-0.112,-0.1671,0.012,-0.171,-0.0219,-0.1844,-0.1902,-0.4566,-0.2867,-0.2118,-0.1984,-0.2062,-0.2741,-0.1334,-0.0016,-0.1405,-0.3064,-0.2878,-0.1281,-0.0123,-0.0744,0.046,0.004,0.0107,-0.1314,0.046,0.1204
-0.1399,-0.1818,0.0098,-0.1237,-0.1819,-0.0156,-0.1588,0.0134,-0.1456,-0.1541,-0.4047,-0.2412,-0.2052,-0.1944,-0.198,-0.2774,-0.1574,-0.0586,-0.1644,-0.3016,-0.2891,-0.1577,-0.072,-0.0795,0.0134,-0.0117,0.0018,-0.1371,0.0642,0.1223
-0.1556,-0.2163,-0.041,-0.1486,-0.2072,-0.0546,-0.1562,0.0431,-0.1015,-0.1258,-0.3452,-0.1908,-0.2109,-0.2057,-0.1983,-0.2922,-0.1961,-0.1349,-0.2039,-0.3104,-0.3073,-0.2044,-0.147,-0.1019,-0.0295,-0.0335,-0.0204,-0.1442,0.0818,0.1271
-0.1799,-0.2516,-0.0944,-0.1803,-0.2385,-0.1007,-0.1639,0.0637,-0.0575,-0.108,-0.2868,-0.1401,-0.2261,-0.2277,-0.2059,-0.3129,-0.2437,-0.2245,-0.2537,-0.3265,-0.3362,-0.2619,-0.2296,-0.1383,-0.0773,-0.0584,-0.0515,-0.1508,0.0968,0.1326
-0.208,-0.2808,-0.144,-0.2114,-0.2696,-0.1484,-0.1793,0.0741,-0.018,-0.1001,-0.2353,-0.0921,-0.2452,-0.253,-0.2186,-0.3332,-0.2935,-0.3192,-0.3071,-0.3426,-0.3671,-0.3222,-0.3106,-0.1831,-0.1244,-0.0831,-0.0857,-0.1543,0.1073,0.1372
-0.233,-0.2977,-0.1831,-0.235,-0.2937,-0.1909,-0.1976,0.0752,0.0137,-0.0992,-0.1934,-0.0489,-0.261,-0.2733,-0.2324,-0.3466,-0.3387,-0.4093,-0.3564,-0.3513,-0.3904,-0.3762,-0.381,-0.2296,-0.1656,-0.1047,-0.1172,-0.1525,0.1125,0.1395
-0.2476,-0.297,-0.2057,-0.2447,-0.3042,-0.2213,-0.2128,0.0698,0.0357,-0.1013,-0.1602,-0.0113,-0.2672,-0.2807,-0.2426,-0.3468,-0.372,-0.4848,-0.3944,-0.3453,-0.397,-0.4156,-0.4331,-0.2712,-0.1972,-0.1211,-0.1413,-0.144,0.1117,0.1385
-0.2447,-0.2749,-0.2078,-0.2359,-0.2956,-0.2336,-0.22,0.0612,0.0476,-0.1022,-0.1329,0.0203,-0.259,-0.2698,-0.2438,-0.3282,-0.3867,-0.5376,-0.4143,-0.3186,-0.3797,-0.4337,-0.4613,-0.3025,-0.2177,-0.1314,-0.1553,-0.1289,0.1053,0.1335
-0.2192,-0.2293,-0.1873,-0.2054,-0.2648,-0.2242,-0.216,0.0527,0.0502,-0.0991,-0.1072,0.0458,-0.2348,-0.2381,-0.2313,-0.2864,-0.3778,-0.5626,-0.4116,-0.2674,-0.3349,-0.4266,-0.4635,-0.3203,-0.2275,-0.1364,-0.1591,-0.1087,0.094,0.1236
-0.169,-0.1603,-0.1453,-0.1527,-0.2115,-0.1923,-0.2007,0.0464,0.0447,-0.0911,-0.0794,0.0649,-0.1963,-0.1872,-0.2022,-0.2196,-0.3427,-0.5586,-0.3844,-0.1907,-0.2629,-0.3942,-0.4408,-0.3236,-0.2286,-0.1376,-0.1551,-0.0864,0.0788,0.1079
-0.0963,-0.0709,-0.0857,-0.0798,-0.1383,-0.1406,-0.1762,0.0428,0.0329,-0.0787,-0.0473,0.0769,-0.1477,-0.1213,-0.1558,-0.129,-0.2822,-0.5284,-0.3338,-0.0914,-0.1682,-0.3394,-0.3975,-0.3136,-0.224,-0.1375,-0.1471,-0.0658,0.0611,0.0859
-0.0069,0.0332,-0.0151,0.0087,-0.0509,-0.0747,-0.1467,0.0409,0.0163,-0.0639,-0.0105,0.0817,-0.0951,-0.0469,-0.0942,-0.0195,-0.2012,-0.4774,-0.2642,0.0244,-0.0586,-0.2683,-0.3403,-0.2926,-0.2165,-0.138,-0.1392,-0.0505,0.0419,0.0575
