FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.9973,1.3213,1.0608,1.3281,1.1556,0.998,0.7406,0.3563,0.1994,0.2848,-0.0563,0.0595,0.5673,0.9173,1.3777,1.4653,1.3161,0.914,1.1472,1.4083,1.1893,0.9352,1.005,0.5378,0.3952,0.0336,0.2395,-0.0224,-0.0269,-0.8027
1.06,1.4338,1.1353,1.4146,1.2037,0.9912,0.735,0.3533,0.2082,0.2884,-0.0774,0.0584,0.5946,0.9509,1.4515,1.5567,1.408,0.9455,1.2634,1.4896,1.2498,1.0275,1.0567,0.5858,0.4119,0.0587,0.2574,-0.0195,0.0079,-0.8904
1.1068,1.5332,1.1907,1.481,1.237,0.9765,0.7128,0.3433,0.2042,0.2873,-0.1005,0.0449,0.6141,0.9806,1.5043,1.627,1.4771,0.9652,1.3652,1.5549,1.3003,1.1108,1.1065,0.6226,0.4219,0.0706,0.2648,-0.0367,0.0499,-0.9553
1.1342,1.6106,1.2191,1.5217,1.2549,0.9564,0.6793,0.3281,0.1896,0.2808,-0.1216,0.0203,0.6276,1.0087,1.529,1.6722,1.516,0.9709,1.4409,1.6025,1.3402,1.1809,1.1518,0.6483,0.4277,0.0689,0.263,-0.0708,0.0954,-0.99
1.1432,1.663,1.2193,1.5378,1.2621,0.9365,0.6435,0.3114,0.1699,0.2697,-0.1358,-0.0111,0.6395,1.0395,1.5237,1.6942,1.5245,0.9635,1.4857,1.6354,1.3732,1.2379,1.1923,0.6654,0.4339,0.0563,0.256,-0.1153,0.14,-0.9927
1.1389,1.6933,1.1971,1.5374,1.268,0.9249,0.6173,0.2985,0.1529,0.2573,-0.1377,-0.042,0.6561,1.0786,1.4935,1.7003,1.5104,0.9486,1.5034,1.6611,1.406,1.2862,1.2305,0.6794,0.447,0.0393,0.2502,-0.1615,0.1799,-0.9689
1.1295,1.71,1.1642,1.5332,1.285,0.9314,0.6127,0.2951,0.1467,0.2496,-0.1221,-0.0633,0.6838,1.1314,1.4503,1.7016,1.488,0.9356,1.5047,1.6891,1.447,1.3332,1.2709,0.6979,0.4746,0.0269,0.2535,-0.199,0.2117,-0.9313
1.1238,1.7237,1.1353,1.5395,1.3243,0.9645,0.6389,0.3049,0.1574,0.2538,-0.0859,-0.0659,0.7271,1.2005,1.4104,1.7093,1.4743,0.9362,1.5053,1.7282,1.503,1.3869,1.3189,0.7287,0.5242,0.0294,0.2739,-0.218,0.2329,-0.8973
1.1293,1.7445,1.1244,1.5671,1.3922,1.0288,0.6985,0.3287,0.1867,0.2762,-0.0294,-0.0429,0.7861,1.2843,1.3909,1.732,1.4844,0.9607,1.5203,1.7836,1.5763,1.4531,1.3778,0.7774,0.6006,0.056,0.3172,-0.2108,0.2416,-0.8848
1.1501,1.7786,1.1404,1.6209,1.4871,1.122,0.7858,0.3623,0.2304,0.3193,0.0432,0.0081,0.8559,1.3756,1.4046,1.7739,1.5278,1.0148,1.5607,1.8556,1.6635,1.5326,1.4473,0.8454,0.7039,0.1123,0.3851,-0.1735,0.2368,-0.9071
