FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
1.4789,1.5615,1.0174,1.3177,0.7682,0.2316,0.1287,-0.4522,0.3056,0.4209,0.1805,0.3451,0.6578,0.9278,1.8024,1.9878,1.8936,1.0807,1.4856,1.7731,1.3953,1.1108,0.8356,0.6044,0.2553,0.6169,0.5338,0.4159,-0.5891,-0.904
1.4067,1.5504,1.0008,1.3198,0.8133,0.2465,0.1634,-0.4813,0.3532,0.4824,0.2456,0.353,0.6985,0.9471,1.7859,1.9719,1.8665,1.0607,1.448,1.7361,1.3916,1.0573,0.8238,0.6177,0.2597,0.6333,0.5756,0.428,-0.6273,-0.9617
1.3106,1.5054,0.9602,1.2949,0.8391,0.2463,0.1824,-0.519,0.3872,0.5215,0.2958,0.3544,0.7168,0.9384,1.7383,1.9161,1.7992,1.025,1.3825,1.6612,1.3584,0.9799,0.7915,0.6105,0.2455,0.6321,0.6053,0.4305,-0.6577,-1.0018
1.2129,1.4459,0.9118,1.2622,0.8554,0.2402,0.1869,-0.5662,0.401,0.5353,0.3244,0.3482,0.7189,0.9146,1.6781,1.8403,1.7122,0.9879,1.31,1.5685,1.3147,0.9051,0.7555,0.5907,0.2123,0.6161,0.6259,0.4242,-0.6771,-1.0267
1.1362,1.3945,0.8735,1.2436,0.8746,0.24,0.1799,-0.6205,0.3905,0.5247,0.3281,0.3339,0.7134,0.8913,1.6249,1.7669,1.6283,0.9651,1.252,1.4817,1.2816,0.8594,0.7334,0.568,0.1616,0.5886,0.6415,0.4103,-0.6826,-1.039
1.0982,1.3719,0.8622,1.2591,0.9087,0.2583,0.1676,-0.6755,0.3567,0.4952,0.3081,0.3127,0.7101,0.8833,1.5944,1.7164,1.5675,0.9706,1.2277,1.4238,1.2783,0.8644,0.7407,0.5524,0.0977,0.5545,0.6571,0.3907,-0.6732,-1.042
1.1082,1.3922,0.8895,1.3219,0.9681,0.3067,0.1584,-0.7208,0.3057,0.4571,0.2712,0.2891,0.7184,0.9024,1.5956,1.7033,1.5442,1.0136,1.2501,1.4129,1.3179,0.9329,0.7882,0.5531,0.0288,0.5199,0.6776,0.3692,-0.65,-1.0388
1.1642,1.4593,0.9594,1.4352,1.0586,0.3931,0.1619,-0.7432,0.2494,0.4232,0.2286,0.2703,0.7459,0.9547,1.6277,1.7333,1.5639,1.0958,1.3243,1.4581,1.4047,1.0665,0.8804,0.5774,-0.0331,0.4932,0.7079,0.3515,-0.6173,-1.0331
1.2535,1.5664,1.0671,1.5911,1.1796,0.519,0.1873,-0.7297,0.203,0.4067,0.194,0.2654,0.7961,1.0396,1.6813,1.8027,1.6239,1.2112,1.447,1.5576,1.5328,1.2546,1.0146,0.6291,-0.0738,0.484,0.7515,0.345,-0.5823,-1.0284
1.3558,1.6982,1.1999,1.7723,1.324,0.6784,0.2398,-0.6716,0.1817,0.4172,0.1797,0.2827,0.8674,1.1487,1.7419,1.9003,1.7154,1.3482,1.6075,1.699,1.6868,1.477,1.181,0.7075,-0.0798,0.5015,0.8093,0.3567,-0.5545,-1.0277
1.4505,1.8366,1.3401,1.9567,1.478,0.857,0.3187,-0.568,0.1963,0.4576,0.193,0.3263,0.9522,1.2674,1.7963,2.0121,1.828,1.4937,1.7909,1.863,1.8443,1.7068,1.3637,0.8063,-0.0427,0.5512,0.8782,0.3905,-0.5448,-1.0324
1.5235,1.9662,1.4705,2.1231,1.6242,1.0348,0.4159,-0.4282,0.2498,0.5224,0.233,0.3937,1.0372,1.376,1.8392,2.1266,1.9546,1.6382,1.9818,2.029,1.9809,1.9152,1.5433,0.9135,0.0373,0.6326,0.9507,0.4453,-0.5629,-1.041
1.5734,2.08,1.5778,2.2571,1.7448,1.1895,0.5162,-0.2713,0.335,0.5975,0.2908,0.4745,1.1054,1.4541,1.8772,2.2393,2.0943,1.7793,2.1679,2.1797,2.0746,2.077,1.6995,1.0128,0.1497,0.7366,1.0147,0.5128,-0.6147,-1.0489
1.6122,2.1805,1.6562,2.353,1.8246,1.3007,0.6002,-0.1225,0.4356,0.6635,0.3499,0.5519,1.1391,1.4828,1.9289,2.3533,2.2521,1.9219,2.3409,2.3043,2.1096,2.1741,1.8142,1.0855,0.2745,0.8462,1.0554,0.5781,-0.6999,-1.0473
1.6618,2.2763,1.7062,2.413,1.8531,1.3531,0.6467,-0.0088,0.5288,0.6986,0.3904,0.6055,1.1226,1.4481,2.0183,2.4753,2.4345,2.074,2.4949,2.3982,2.0777,2.1971,1.8734,1.1132,0.3853,0.9384,1.0572,0.6217,-0.8098,-1.0251
