FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.9544,-1.1015,-0.5424,-0.9584,-0.8218,-0.6698,-0.296,-0.0025,-0.0244,-0.1265,0.0371,-0.0022,-0.4262,-0.8525,-1.0948,-1.1765,-1.0868,-1.0115,-1.0159,-1.2196,-1.086,-0.7128,-0.3918,-0.2228,0.1275,0.113,-0.042,0.0647,-0.3043,-0.5001
-0.9283,-0.9945,-0.4842,-0.8763,-0.783,-0.6196,-0.2924,0.0513,-0.0152,-0.1406,-0.007,-0.0468,-0.4343,-0.8407,-1.0398,-1.1082,-1.038,-0.9184,-0.9585,-1.1489,-1.0567,-0.6882,-0.4059,-0.2547,0.0608,0.0522,-0.0769,0.0166,-0.3313,-0.4768
-0.8958,-0.8932,-0.4265,-0.7967,-0.7456,-0.569,-0.2903,0.0987,-0.0115,-0.1544,-0.0489,-0.0895,-0.4415,-0.8267,-0.979,-1.0392,-0.9856,-0.8251,-0.8995,-1.0785,-1.025,-0.6612,-0.4141,-0.2825,-0.0022,-0.0054,-0.1098,-0.0309,-0.3498,-0.4494
-0.8528,-0.8022,-0.3694,-0.7218,-0.7113,-0.5184,-0.2908,0.1343,-0.0171,-0.168,-0.0864,-0.1284,-0.4473,-0.8095,-0.9088,-0.97,-0.9274,-0.7318,-0.8385,-1.0097,-0.9899,-0.6307,-0.4125,-0.3037,-0.0586,-0.057,-0.1397,-0.0765,-0.3524,-0.4143
-0.7976,-0.7249,-0.313,-0.6535,-0.6808,-0.469,-0.2938,0.155,-0.0329,-0.1805,-0.1175,-0.1614,-0.4513,-0.7885,-0.8282,-0.9022,-0.8636,-0.6395,-0.7769,-0.9446,-0.9515,-0.5974,-0.4,-0.3176,-0.1067,-0.1016,-0.1666,-0.1194,-0.3351,-0.3689
-0.731,-0.6628,-0.258,-0.5933,-0.6541,-0.4217,-0.298,0.1607,-0.0569,-0.1909,-0.1406,-0.1871,-0.453,-0.7642,-0.7393,-0.8382,-0.7969,-0.5501,-0.7174,-0.8858,-0.9115,-0.5636,-0.3778,-0.3255,-0.1469,-0.1399,-0.1915,-0.1589,-0.2976,-0.3125
-0.657,-0.6161,-0.2057,-0.5426,-0.6308,-0.3783,-0.3014,0.1539,-0.0849,-0.198,-0.1553,-0.2044,-0.4524,-0.7379,-0.6471,-0.7809,-0.7319,-0.4664,-0.6637,-0.8361,-0.8722,-0.5325,-0.3493,-0.33,-0.1804,-0.1735,-0.2159,-0.1945,-0.2438,-0.2467
-0.5815,-0.5835,-0.1583,-0.502,-0.6103,-0.3404,-0.3025,0.1383,-0.1121,-0.2014,-0.162,-0.2131,-0.45,-0.7113,-0.558,-0.7329,-0.6736,-0.3915,-0.6195,-0.7972,-0.8366,-0.5072,-0.3191,-0.3344,-0.2093,-0.2043,-0.2412,-0.2254,-0.1808,-0.1756
-0.5112,-0.5627,-0.1187,-0.4718,-0.5924,-0.3099,-0.3006,0.1183,-0.134,-0.2016,-0.1622,-0.2135,-0.4468,-0.6862,-0.4786,-0.6957,-0.6259,-0.3282,-0.5868,-0.7698,-0.8065,-0.4899,-0.2915,-0.3415,-0.2346,-0.2331,-0.2678,-0.2504,-0.1172,-0.105
-0.4525,-0.5508,-0.0898,-0.4515,-0.5771,-0.2884,-0.296,0.0972,-0.1484,-0.2,-0.1582,-0.2063,-0.4441,-0.6641,-0.4143,-0.6691,-0.5905,-0.2779,-0.5655,-0.752,-0.7824,-0.4805,-0.2694,-0.3525,-0.2564,-0.2588,-0.2949,-0.2678,-0.0611,-0.0418
