FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.0255,0.0554,-0.0124,0.0794,-0.1155,0.0796,-0.0809,0.0809,0.0706,0.011,-0.0393,-0.0547,0.0217,0.0981,0.1104,-0.033,-0.0213,0.0311,0.0799,0.0065,-0.0079,-0.0598,0.0076,0.0108,0.0165,-0.0461,-0.1447,-0.1867,-0.0565,-0.0101
0.0204,0.0699,0.016,0.076,-0.1047,0.0842,-0.0297,0.0686,0.0511,-0.0166,-0.0663,-0.0873,0.0331,0.0989,0.129,0.0068,-0.0619,0.0225,0.11,0.0247,-0.0007,-0.0654,-0.0124,0.0034,0.0119,-0.0159,-0.0814,-0.1653,-0.0532,-0.0379
0.0684,0.0801,0.0405,0.0638,-0.0981,0.0763,0.012,0.0528,0.027,-0.0426,-0.0964,-0.1125,0.0385,0.0889,0.1177,0.0441,-0.0865,0.0087,0.1319,0.0381,0.0015,-0.0688,-0.0311,-0.0046,0.0094,0.0171,-0.0098,-0.1348,-0.0453,-0.0601
0.1163,0.0861,0.0605,0.0464,-0.0954,0.06,0.0407,0.0339,-0.0015,-0.0661,-0.1276,-0.1293,0.0347,0.0707,0.0762,0.0774,-0.0916,-0.01,0.1455,0.048,-0.0002,-0.0696,-0.0491,-0.0135,0.0094,0.0491,0.061,-0.0986,-0.0335,-0.0768
0.1595,0.0852,0.0737,0.0256,-0.0972,0.0393,0.0545,0.0131,-0.0334,-0.0876,-0.1568,-0.1378,0.0187,0.0458,0.0108,0.1033,-0.0811,-0.0335,0.1497,0.0533,-0.0061,-0.0696,-0.0681,-0.0245,0.0105,0.0764,0.1214,-0.0598,-0.0209,-0.0916
0.1909,0.0734,0.0767,0.0017,-0.1045,0.0173,0.0533,-0.0081,-0.066,-0.108,-0.1806,-0.1389,-0.0106,0.0152,-0.0666,0.1174,-0.0639,-0.0612,0.1445,0.0517,-0.0181,-0.0721,-0.0902,-0.0402,0.0102,0.0956,0.1623,-0.0213,-0.0118,-0.1103
0.2026,0.0478,0.0672,-0.0248,-0.1176,-0.0032,0.0395,-0.0278,-0.096,-0.1282,-0.196,-0.1347,-0.0523,-0.0204,-0.1404,0.1166,-0.0502,-0.0908,0.132,0.0411,-0.0375,-0.0796,-0.1161,-0.0626,0.0054,0.104,0.1767,0.0135,-0.0101,-0.138
0.1877,0.0089,0.0459,-0.0521,-0.1351,-0.0199,0.0167,-0.0443,-0.1201,-0.148,-0.2016,-0.1275,-0.103,-0.0593,-0.1958,0.101,-0.0469,-0.1185,0.1172,0.0217,-0.064,-0.0928,-0.1443,-0.0926,-0.0061,0.1005,0.1607,0.041,-0.0172,-0.1765
0.1442,-0.0378,0.0173,-0.0766,-0.1532,-0.0305,-0.0094,-0.0565,-0.136,-0.166,-0.1977,-0.1201,-0.1569,-0.0987,-0.2229,0.0748,-0.0548,-0.1394,0.1072,-0.0034,-0.0945,-0.1091,-0.1706,-0.1288,-0.0249,0.0848,0.114,0.0577,-0.0306,-0.2228
0.0767,-0.0828,-0.011,-0.0929,-0.1669,-0.0334,-0.0327,-0.0643,-0.1431,-0.1797,-0.1865,-0.1147,-0.2068,-0.1343,-0.2198,0.0461,-0.068,-0.1487,0.1099,-0.0281,-0.1237,-0.1236,-0.1892,-0.1674,-0.0502,0.0579,0.0403,0.0611,-0.0448,-0.2695
-0.0034,-0.1144,-0.0304,-0.0951,-0.1706,-0.0276,-0.0475,-0.0681,-0.1426,-0.1859,-0.1712,-0.1126,-0.2458,-0.1613,-0.1932,0.0248,-0.0759,-0.1436,0.1311,-0.0447,-0.1446,-0.1295,-0.1942,-0.2033,-0.0797,0.0216,-0.0533,0.0499,-0.053,-0.3071
-0.0807,-0.1218,-0.0342,-0.0789,-0.1599,-0.0132,-0.0496,-0.0692,-0.1369,-0.1818,-0.1552,-0.114,-0.2681,-0.1753,-0.1551,0.0203,-0.0674,-0.1238,0.172,-0.0457,-0.1504,-0.1212,-0.182,-0.2312,-0.1106,-0.022,-0.1572,0.0245,-0.0496,-0.3273
-0.1403,-0.0977,-0.0193,-0.0424,-0.1324,0.0088,-0.0377,-0.069,-0.1292,-0.1656,-0.1409,-0.1182,-0.271,-0.1735,-0.1183,0.039,-0.0352,-0.0917,0.2284,-0.0265,-0.1368,-0.0957,-0.1528,-0.2468,-0.1405,-0.0703,-0.2606,-0.0125,-0.032,-0.3249
-0.1719,-0.0408,0.0128,0.0132,-0.0884,0.0375,-0.0135,-0.0687,-0.1223,-0.1373,-0.1295,-0.1238,-0.2548,-0.1553,-0.0921,0.0821,0.0216,-0.0519,0.2907,0.0142,-0.1025,-0.0541,-0.1112,-0.2485,-0.1674,-0.121,-0.3523,-0.0572,-0.0014,-0.2996
